 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 84175 CORUND,0- 4 ani, Masculin, Harghita, Anul 2009, Numar persoane,224
 84175 CORUND,0- 4 ani, Masculin, Harghita, Anul 2010, Numar persoane,234
 84175 CORUND,0- 4 ani, Masculin, Harghita, Anul 2011, Numar persoane,231
 84175 CORUND,0- 4 ani, Masculin, Harghita, Anul 2012, Numar persoane,233
 84175 CORUND,0- 4 ani, Masculin, Harghita, Anul 2013, Numar persoane,231
 84175 CORUND,0- 4 ani, Masculin, Harghita, Anul 2014, Numar persoane,230
 84175 CORUND,0- 4 ani, Masculin, Harghita, Anul 2015, Numar persoane,228
 84175 CORUND,0- 4 ani, Masculin, Harghita, Anul 2016, Numar persoane,219
 84175 CORUND,0- 4 ani, Masculin, Harghita, Anul 2017, Numar persoane,215
 84175 CORUND,5- 9 ani, Masculin, Harghita, Anul 2009, Numar persoane,220
 84175 CORUND,5- 9 ani, Masculin, Harghita, Anul 2010, Numar persoane,207
 84175 CORUND,5- 9 ani, Masculin, Harghita, Anul 2011, Numar persoane,201
 84175 CORUND,5- 9 ani, Masculin, Harghita, Anul 2012, Numar persoane,213
 84175 CORUND,5- 9 ani, Masculin, Harghita, Anul 2013, Numar persoane,217
 84175 CORUND,5- 9 ani, Masculin, Harghita, Anul 2014, Numar persoane,220
 84175 CORUND,5- 9 ani, Masculin, Harghita, Anul 2015, Numar persoane,225
 84175 CORUND,5- 9 ani, Masculin, Harghita, Anul 2016, Numar persoane,220
 84175 CORUND,5- 9 ani, Masculin, Harghita, Anul 2017, Numar persoane,226
 84175 CORUND,10-14 ani, Masculin, Harghita, Anul 2009, Numar persoane,233
 84175 CORUND,10-14 ani, Masculin, Harghita, Anul 2010, Numar persoane,245
 84175 CORUND,10-14 ani, Masculin, Harghita, Anul 2011, Numar persoane,245
 84175 CORUND,10-14 ani, Masculin, Harghita, Anul 2012, Numar persoane,240
 84175 CORUND,10-14 ani, Masculin, Harghita, Anul 2013, Numar persoane,219
 84175 CORUND,10-14 ani, Masculin, Harghita, Anul 2014, Numar persoane,220
 84175 CORUND,10-14 ani, Masculin, Harghita, Anul 2015, Numar persoane,205
 84175 CORUND,10-14 ani, Masculin, Harghita, Anul 2016, Numar persoane,198
 84175 CORUND,10-14 ani, Masculin, Harghita, Anul 2017, Numar persoane,208
 84175 CORUND,15-19 ani, Masculin, Harghita, Anul 2009, Numar persoane,252
 84175 CORUND,15-19 ani, Masculin, Harghita, Anul 2010, Numar persoane,238
 84175 CORUND,15-19 ani, Masculin, Harghita, Anul 2011, Numar persoane,239
 84175 CORUND,15-19 ani, Masculin, Harghita, Anul 2012, Numar persoane,228
 84175 CORUND,15-19 ani, Masculin, Harghita, Anul 2013, Numar persoane,236
 84175 CORUND,15-19 ani, Masculin, Harghita, Anul 2014, Numar persoane,222
 84175 CORUND,15-19 ani, Masculin, Harghita, Anul 2015, Numar persoane,236
 84175 CORUND,15-19 ani, Masculin, Harghita, Anul 2016, Numar persoane,234
 84175 CORUND,15-19 ani, Masculin, Harghita, Anul 2017, Numar persoane,229
 84175 CORUND,20-24 ani, Masculin, Harghita, Anul 2009, Numar persoane,310
 84175 CORUND,20-24 ani, Masculin, Harghita, Anul 2010, Numar persoane,299
 84175 CORUND,20-24 ani, Masculin, Harghita, Anul 2011, Numar persoane,280
 84175 CORUND,20-24 ani, Masculin, Harghita, Anul 2012, Numar persoane,277
 84175 CORUND,20-24 ani, Masculin, Harghita, Anul 2013, Numar persoane,256
 84175 CORUND,20-24 ani, Masculin, Harghita, Anul 2014, Numar persoane,248
 84175 CORUND,20-24 ani, Masculin, Harghita, Anul 2015, Numar persoane,227
 84175 CORUND,20-24 ani, Masculin, Harghita, Anul 2016, Numar persoane,234
 84175 CORUND,20-24 ani, Masculin, Harghita, Anul 2017, Numar persoane,220
 84175 CORUND,25-29 ani, Masculin, Harghita, Anul 2009, Numar persoane,308
 84175 CORUND,25-29 ani, Masculin, Harghita, Anul 2010, Numar persoane,309
 84175 CORUND,25-29 ani, Masculin, Harghita, Anul 2011, Numar persoane,315
 84175 CORUND,25-29 ani, Masculin, Harghita, Anul 2012, Numar persoane,307
 84175 CORUND,25-29 ani, Masculin, Harghita, Anul 2013, Numar persoane,305
 84175 CORUND,25-29 ani, Masculin, Harghita, Anul 2014, Numar persoane,308
 84175 CORUND,25-29 ani, Masculin, Harghita, Anul 2015, Numar persoane,297
 84175 CORUND,25-29 ani, Masculin, Harghita, Anul 2016, Numar persoane,273
 84175 CORUND,25-29 ani, Masculin, Harghita, Anul 2017, Numar persoane,265
 84175 CORUND,30-34 ani, Masculin, Harghita, Anul 2009, Numar persoane,270
 84175 CORUND,30-34 ani, Masculin, Harghita, Anul 2010, Numar persoane,284
 84175 CORUND,30-34 ani, Masculin, Harghita, Anul 2011, Numar persoane,280
 84175 CORUND,30-34 ani, Masculin, Harghita, Anul 2012, Numar persoane,292
 84175 CORUND,30-34 ani, Masculin, Harghita, Anul 2013, Numar persoane,300
 84175 CORUND,30-34 ani, Masculin, Harghita, Anul 2014, Numar persoane,304
 84175 CORUND,30-34 ani, Masculin, Harghita, Anul 2015, Numar persoane,305
 84175 CORUND,30-34 ani, Masculin, Harghita, Anul 2016, Numar persoane,314
 84175 CORUND,30-34 ani, Masculin, Harghita, Anul 2017, Numar persoane,306
 84175 CORUND,35-39 ani, Masculin, Harghita, Anul 2009, Numar persoane,243
 84175 CORUND,35-39 ani, Masculin, Harghita, Anul 2010, Numar persoane,237
 84175 CORUND,35-39 ani, Masculin, Harghita, Anul 2011, Numar persoane,238
 84175 CORUND,35-39 ani, Masculin, Harghita, Anul 2012, Numar persoane,242
 84175 CORUND,35-39 ani, Masculin, Harghita, Anul 2013, Numar persoane,251
 84175 CORUND,35-39 ani, Masculin, Harghita, Anul 2014, Numar persoane,256
 84175 CORUND,35-39 ani, Masculin, Harghita, Anul 2015, Numar persoane,276
 84175 CORUND,35-39 ani, Masculin, Harghita, Anul 2016, Numar persoane,276
 84175 CORUND,35-39 ani, Masculin, Harghita, Anul 2017, Numar persoane,290
 84175 CORUND,40-44 ani, Masculin, Harghita, Anul 2009, Numar persoane,218
 84175 CORUND,40-44 ani, Masculin, Harghita, Anul 2010, Numar persoane,230
 84175 CORUND,40-44 ani, Masculin, Harghita, Anul 2011, Numar persoane,237
 84175 CORUND,40-44 ani, Masculin, Harghita, Anul 2012, Numar persoane,245
 84175 CORUND,40-44 ani, Masculin, Harghita, Anul 2013, Numar persoane,241
 84175 CORUND,40-44 ani, Masculin, Harghita, Anul 2014, Numar persoane,237
 84175 CORUND,40-44 ani, Masculin, Harghita, Anul 2015, Numar persoane,229
 84175 CORUND,40-44 ani, Masculin, Harghita, Anul 2016, Numar persoane,229
 84175 CORUND,40-44 ani, Masculin, Harghita, Anul 2017, Numar persoane,229
 84175 CORUND,45-49 ani, Masculin, Harghita, Anul 2009, Numar persoane,158
 84175 CORUND,45-49 ani, Masculin, Harghita, Anul 2010, Numar persoane,159
 84175 CORUND,45-49 ani, Masculin, Harghita, Anul 2011, Numar persoane,167
 84175 CORUND,45-49 ani, Masculin, Harghita, Anul 2012, Numar persoane,171
 84175 CORUND,45-49 ani, Masculin, Harghita, Anul 2013, Numar persoane,186
 84175 CORUND,45-49 ani, Masculin, Harghita, Anul 2014, Numar persoane,211
 84175 CORUND,45-49 ani, Masculin, Harghita, Anul 2015, Numar persoane,223
 84175 CORUND,45-49 ani, Masculin, Harghita, Anul 2016, Numar persoane,231
 84175 CORUND,45-49 ani, Masculin, Harghita, Anul 2017, Numar persoane,241
 84175 CORUND,50-54 ani, Masculin, Harghita, Anul 2009, Numar persoane,175
 84175 CORUND,50-54 ani, Masculin, Harghita, Anul 2010, Numar persoane,166
 84175 CORUND,50-54 ani, Masculin, Harghita, Anul 2011, Numar persoane,166
 84175 CORUND,50-54 ani, Masculin, Harghita, Anul 2012, Numar persoane,168
 84175 CORUND,50-54 ani, Masculin, Harghita, Anul 2013, Numar persoane,163
 84175 CORUND,50-54 ani, Masculin, Harghita, Anul 2014, Numar persoane,147
 84175 CORUND,50-54 ani, Masculin, Harghita, Anul 2015, Numar persoane,147
 84175 CORUND,50-54 ani, Masculin, Harghita, Anul 2016, Numar persoane,157
 84175 CORUND,50-54 ani, Masculin, Harghita, Anul 2017, Numar persoane,162
 84175 CORUND,55-59 ani, Masculin, Harghita, Anul 2009, Numar persoane,146
 84175 CORUND,55-59 ani, Masculin, Harghita, Anul 2010, Numar persoane,160
 84175 CORUND,55-59 ani, Masculin, Harghita, Anul 2011, Numar persoane,156
 84175 CORUND,55-59 ani, Masculin, Harghita, Anul 2012, Numar persoane,141
 84175 CORUND,55-59 ani, Masculin, Harghita, Anul 2013, Numar persoane,147
 84175 CORUND,55-59 ani, Masculin, Harghita, Anul 2014, Numar persoane,159
 84175 CORUND,55-59 ani, Masculin, Harghita, Anul 2015, Numar persoane,158
 84175 CORUND,55-59 ani, Masculin, Harghita, Anul 2016, Numar persoane,159
 84175 CORUND,55-59 ani, Masculin, Harghita, Anul 2017, Numar persoane,159
 84175 CORUND,60-64 ani, Masculin, Harghita, Anul 2009, Numar persoane,113
 84175 CORUND,60-64 ani, Masculin, Harghita, Anul 2010, Numar persoane,113
 84175 CORUND,60-64 ani, Masculin, Harghita, Anul 2011, Numar persoane,112
 84175 CORUND,60-64 ani, Masculin, Harghita, Anul 2012, Numar persoane,125
 84175 CORUND,60-64 ani, Masculin, Harghita, Anul 2013, Numar persoane,132
 84175 CORUND,60-64 ani, Masculin, Harghita, Anul 2014, Numar persoane,137
 84175 CORUND,60-64 ani, Masculin, Harghita, Anul 2015, Numar persoane,144
 84175 CORUND,60-64 ani, Masculin, Harghita, Anul 2016, Numar persoane,141
 84175 CORUND,60-64 ani, Masculin, Harghita, Anul 2017, Numar persoane,126
 84175 CORUND,65-69 ani, Masculin, Harghita, Anul 2009, Numar persoane,112
 84175 CORUND,65-69 ani, Masculin, Harghita, Anul 2010, Numar persoane,115
 84175 CORUND,65-69 ani, Masculin, Harghita, Anul 2011, Numar persoane,116
 84175 CORUND,65-69 ani, Masculin, Harghita, Anul 2012, Numar persoane,112
 84175 CORUND,65-69 ani, Masculin, Harghita, Anul 2013, Numar persoane,98
 84175 CORUND,65-69 ani, Masculin, Harghita, Anul 2014, Numar persoane,94
 84175 CORUND,65-69 ani, Masculin, Harghita, Anul 2015, Numar persoane,92
 84175 CORUND,65-69 ani, Masculin, Harghita, Anul 2016, Numar persoane,94
 84175 CORUND,65-69 ani, Masculin, Harghita, Anul 2017, Numar persoane,107
 84175 CORUND,70-74 ani, Masculin, Harghita, Anul 2009, Numar persoane,93
 84175 CORUND,70-74 ani, Masculin, Harghita, Anul 2010, Numar persoane,88
 84175 CORUND,70-74 ani, Masculin, Harghita, Anul 2011, Numar persoane,82
 84175 CORUND,70-74 ani, Masculin, Harghita, Anul 2012, Numar persoane,81
 84175 CORUND,70-74 ani, Masculin, Harghita, Anul 2013, Numar persoane,86
 84175 CORUND,70-74 ani, Masculin, Harghita, Anul 2014, Numar persoane,95
 84175 CORUND,70-74 ani, Masculin, Harghita, Anul 2015, Numar persoane,94
 84175 CORUND,70-74 ani, Masculin, Harghita, Anul 2016, Numar persoane,96
 84175 CORUND,70-74 ani, Masculin, Harghita, Anul 2017, Numar persoane,90
 84175 CORUND,75-79 ani, Masculin, Harghita, Anul 2009, Numar persoane,54
 84175 CORUND,75-79 ani, Masculin, Harghita, Anul 2010, Numar persoane,55
 84175 CORUND,75-79 ani, Masculin, Harghita, Anul 2011, Numar persoane,59
 84175 CORUND,75-79 ani, Masculin, Harghita, Anul 2012, Numar persoane,66
 84175 CORUND,75-79 ani, Masculin, Harghita, Anul 2013, Numar persoane,73
 84175 CORUND,75-79 ani, Masculin, Harghita, Anul 2014, Numar persoane,70
 84175 CORUND,75-79 ani, Masculin, Harghita, Anul 2015, Numar persoane,67
 84175 CORUND,75-79 ani, Masculin, Harghita, Anul 2016, Numar persoane,66
 84175 CORUND,75-79 ani, Masculin, Harghita, Anul 2017, Numar persoane,61
 84175 CORUND,80-84 ani, Masculin, Harghita, Anul 2009, Numar persoane,29
 84175 CORUND,80-84 ani, Masculin, Harghita, Anul 2010, Numar persoane,33
 84175 CORUND,80-84 ani, Masculin, Harghita, Anul 2011, Numar persoane,31
 84175 CORUND,80-84 ani, Masculin, Harghita, Anul 2012, Numar persoane,31
 84175 CORUND,80-84 ani, Masculin, Harghita, Anul 2013, Numar persoane,29
 84175 CORUND,80-84 ani, Masculin, Harghita, Anul 2014, Numar persoane,35
 84175 CORUND,80-84 ani, Masculin, Harghita, Anul 2015, Numar persoane,34
 84175 CORUND,80-84 ani, Masculin, Harghita, Anul 2016, Numar persoane,35
 84175 CORUND,80-84 ani, Masculin, Harghita, Anul 2017, Numar persoane,35
 84175 CORUND,85 ani si peste, Masculin, Harghita, Anul 2009, Numar persoane,18
 84175 CORUND,85 ani si peste, Masculin, Harghita, Anul 2010, Numar persoane,15
 84175 CORUND,85 ani si peste, Masculin, Harghita, Anul 2011, Numar persoane,15
 84175 CORUND,85 ani si peste, Masculin, Harghita, Anul 2012, Numar persoane,14
 84175 CORUND,85 ani si peste, Masculin, Harghita, Anul 2013, Numar persoane,16
