 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 84237 DANESTI,0- 4 ani, Masculin, Harghita, Anul 2009, Numar persoane,56
 84237 DANESTI,0- 4 ani, Masculin, Harghita, Anul 2010, Numar persoane,54
 84237 DANESTI,0- 4 ani, Masculin, Harghita, Anul 2011, Numar persoane,48
 84237 DANESTI,0- 4 ani, Masculin, Harghita, Anul 2012, Numar persoane,49
 84237 DANESTI,0- 4 ani, Masculin, Harghita, Anul 2013, Numar persoane,41
 84237 DANESTI,0- 4 ani, Masculin, Harghita, Anul 2014, Numar persoane,42
 84237 DANESTI,0- 4 ani, Masculin, Harghita, Anul 2015, Numar persoane,43
 84237 DANESTI,0- 4 ani, Masculin, Harghita, Anul 2016, Numar persoane,41
 84237 DANESTI,0- 4 ani, Masculin, Harghita, Anul 2017, Numar persoane,45
 84237 DANESTI,5- 9 ani, Masculin, Harghita, Anul 2009, Numar persoane,56
 84237 DANESTI,5- 9 ani, Masculin, Harghita, Anul 2010, Numar persoane,53
 84237 DANESTI,5- 9 ani, Masculin, Harghita, Anul 2011, Numar persoane,49
 84237 DANESTI,5- 9 ani, Masculin, Harghita, Anul 2012, Numar persoane,49
 84237 DANESTI,5- 9 ani, Masculin, Harghita, Anul 2013, Numar persoane,55
 84237 DANESTI,5- 9 ani, Masculin, Harghita, Anul 2014, Numar persoane,55
 84237 DANESTI,5- 9 ani, Masculin, Harghita, Anul 2015, Numar persoane,52
 84237 DANESTI,5- 9 ani, Masculin, Harghita, Anul 2016, Numar persoane,44
 84237 DANESTI,5- 9 ani, Masculin, Harghita, Anul 2017, Numar persoane,45
 84237 DANESTI,10-14 ani, Masculin, Harghita, Anul 2009, Numar persoane,77
 84237 DANESTI,10-14 ani, Masculin, Harghita, Anul 2010, Numar persoane,77
 84237 DANESTI,10-14 ani, Masculin, Harghita, Anul 2011, Numar persoane,71
 84237 DANESTI,10-14 ani, Masculin, Harghita, Anul 2012, Numar persoane,62
 84237 DANESTI,10-14 ani, Masculin, Harghita, Anul 2013, Numar persoane,54
