 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 84656 LUNCA DE JOS,0- 4 ani, Masculin, Harghita, Anul 2009, Numar persoane,207
 84656 LUNCA DE JOS,0- 4 ani, Masculin, Harghita, Anul 2010, Numar persoane,205
 84656 LUNCA DE JOS,0- 4 ani, Masculin, Harghita, Anul 2011, Numar persoane,218
 84656 LUNCA DE JOS,0- 4 ani, Masculin, Harghita, Anul 2012, Numar persoane,209
 84656 LUNCA DE JOS,0- 4 ani, Masculin, Harghita, Anul 2013, Numar persoane,211
 84656 LUNCA DE JOS,0- 4 ani, Masculin, Harghita, Anul 2014, Numar persoane,201
 84656 LUNCA DE JOS,0- 4 ani, Masculin, Harghita, Anul 2015, Numar persoane,194
 84656 LUNCA DE JOS,0- 4 ani, Masculin, Harghita, Anul 2016, Numar persoane,185
 84656 LUNCA DE JOS,0- 4 ani, Masculin, Harghita, Anul 2017, Numar persoane,189
 84656 LUNCA DE JOS,5- 9 ani, Masculin, Harghita, Anul 2009, Numar persoane,196
 84656 LUNCA DE JOS,5- 9 ani, Masculin, Harghita, Anul 2010, Numar persoane,192
 84656 LUNCA DE JOS,5- 9 ani, Masculin, Harghita, Anul 2011, Numar persoane,187
 84656 LUNCA DE JOS,5- 9 ani, Masculin, Harghita, Anul 2012, Numar persoane,204
 84656 LUNCA DE JOS,5- 9 ani, Masculin, Harghita, Anul 2013, Numar persoane,206
 84656 LUNCA DE JOS,5- 9 ani, Masculin, Harghita, Anul 2014, Numar persoane,207
 84656 LUNCA DE JOS,5- 9 ani, Masculin, Harghita, Anul 2015, Numar persoane,209
 84656 LUNCA DE JOS,5- 9 ani, Masculin, Harghita, Anul 2016, Numar persoane,229
 84656 LUNCA DE JOS,5- 9 ani, Masculin, Harghita, Anul 2017, Numar persoane,218
 84656 LUNCA DE JOS,10-14 ani, Masculin, Harghita, Anul 2009, Numar persoane,217
 84656 LUNCA DE JOS,10-14 ani, Masculin, Harghita, Anul 2010, Numar persoane,210
 84656 LUNCA DE JOS,10-14 ani, Masculin, Harghita, Anul 2011, Numar persoane,196
 84656 LUNCA DE JOS,10-14 ani, Masculin, Harghita, Anul 2012, Numar persoane,183
 84656 LUNCA DE JOS,10-14 ani, Masculin, Harghita, Anul 2013, Numar persoane,179
 84656 LUNCA DE JOS,10-14 ani, Masculin, Harghita, Anul 2014, Numar persoane,193
 84656 LUNCA DE JOS,10-14 ani, Masculin, Harghita, Anul 2015, Numar persoane,187
 84656 LUNCA DE JOS,10-14 ani, Masculin, Harghita, Anul 2016, Numar persoane,179
 84656 LUNCA DE JOS,10-14 ani, Masculin, Harghita, Anul 2017, Numar persoane,200
 84656 LUNCA DE JOS,15-19 ani, Masculin, Harghita, Anul 2009, Numar persoane,203
 84656 LUNCA DE JOS,15-19 ani, Masculin, Harghita, Anul 2010, Numar persoane,198
 84656 LUNCA DE JOS,15-19 ani, Masculin, Harghita, Anul 2011, Numar persoane,199
 84656 LUNCA DE JOS,15-19 ani, Masculin, Harghita, Anul 2012, Numar persoane,195
 84656 LUNCA DE JOS,15-19 ani, Masculin, Harghita, Anul 2013, Numar persoane,194
 84656 LUNCA DE JOS,15-19 ani, Masculin, Harghita, Anul 2014, Numar persoane,208
 84656 LUNCA DE JOS,15-19 ani, Masculin, Harghita, Anul 2015, Numar persoane,208
 84656 LUNCA DE JOS,15-19 ani, Masculin, Harghita, Anul 2016, Numar persoane,197
 84656 LUNCA DE JOS,15-19 ani, Masculin, Harghita, Anul 2017, Numar persoane,181
 84656 LUNCA DE JOS,20-24 ani, Masculin, Harghita, Anul 2009, Numar persoane,244
 84656 LUNCA DE JOS,20-24 ani, Masculin, Harghita, Anul 2010, Numar persoane,237
 84656 LUNCA DE JOS,20-24 ani, Masculin, Harghita, Anul 2011, Numar persoane,238
 84656 LUNCA DE JOS,20-24 ani, Masculin, Harghita, Anul 2012, Numar persoane,233
 84656 LUNCA DE JOS,20-24 ani, Masculin, Harghita, Anul 2013, Numar persoane,227
 84656 LUNCA DE JOS,20-24 ani, Masculin, Harghita, Anul 2014, Numar persoane,196
 84656 LUNCA DE JOS,20-24 ani, Masculin, Harghita, Anul 2015, Numar persoane,194
 84656 LUNCA DE JOS,20-24 ani, Masculin, Harghita, Anul 2016, Numar persoane,200
 84656 LUNCA DE JOS,20-24 ani, Masculin, Harghita, Anul 2017, Numar persoane,201
 84656 LUNCA DE JOS,25-29 ani, Masculin, Harghita, Anul 2009, Numar persoane,224
 84656 LUNCA DE JOS,25-29 ani, Masculin, Harghita, Anul 2010, Numar persoane,249
 84656 LUNCA DE JOS,25-29 ani, Masculin, Harghita, Anul 2011, Numar persoane,234
 84656 LUNCA DE JOS,25-29 ani, Masculin, Harghita, Anul 2012, Numar persoane,221
 84656 LUNCA DE JOS,25-29 ani, Masculin, Harghita, Anul 2013, Numar persoane,229
 84656 LUNCA DE JOS,25-29 ani, Masculin, Harghita, Anul 2014, Numar persoane,235
 84656 LUNCA DE JOS,25-29 ani, Masculin, Harghita, Anul 2015, Numar persoane,235
 84656 LUNCA DE JOS,25-29 ani, Masculin, Harghita, Anul 2016, Numar persoane,232
 84656 LUNCA DE JOS,25-29 ani, Masculin, Harghita, Anul 2017, Numar persoane,225
 84656 LUNCA DE JOS,30-34 ani, Masculin, Harghita, Anul 2009, Numar persoane,224
 84656 LUNCA DE JOS,30-34 ani, Masculin, Harghita, Anul 2010, Numar persoane,224
 84656 LUNCA DE JOS,30-34 ani, Masculin, Harghita, Anul 2011, Numar persoane,224
 84656 LUNCA DE JOS,30-34 ani, Masculin, Harghita, Anul 2012, Numar persoane,228
 84656 LUNCA DE JOS,30-34 ani, Masculin, Harghita, Anul 2013, Numar persoane,208
 84656 LUNCA DE JOS,30-34 ani, Masculin, Harghita, Anul 2014, Numar persoane,215
 84656 LUNCA DE JOS,30-34 ani, Masculin, Harghita, Anul 2015, Numar persoane,233
 84656 LUNCA DE JOS,30-34 ani, Masculin, Harghita, Anul 2016, Numar persoane,228
 84656 LUNCA DE JOS,30-34 ani, Masculin, Harghita, Anul 2017, Numar persoane,221
 84656 LUNCA DE JOS,35-39 ani, Masculin, Harghita, Anul 2009, Numar persoane,249
 84656 LUNCA DE JOS,35-39 ani, Masculin, Harghita, Anul 2010, Numar persoane,217
 84656 LUNCA DE JOS,35-39 ani, Masculin, Harghita, Anul 2011, Numar persoane,211
 84656 LUNCA DE JOS,35-39 ani, Masculin, Harghita, Anul 2012, Numar persoane,228
 84656 LUNCA DE JOS,35-39 ani, Masculin, Harghita, Anul 2013, Numar persoane,229
 84656 LUNCA DE JOS,35-39 ani, Masculin, Harghita, Anul 2014, Numar persoane,221
 84656 LUNCA DE JOS,35-39 ani, Masculin, Harghita, Anul 2015, Numar persoane,220
 84656 LUNCA DE JOS,35-39 ani, Masculin, Harghita, Anul 2016, Numar persoane,220
 84656 LUNCA DE JOS,35-39 ani, Masculin, Harghita, Anul 2017, Numar persoane,221
 84656 LUNCA DE JOS,40-44 ani, Masculin, Harghita, Anul 2009, Numar persoane,197
 84656 LUNCA DE JOS,40-44 ani, Masculin, Harghita, Anul 2010, Numar persoane,207
 84656 LUNCA DE JOS,40-44 ani, Masculin, Harghita, Anul 2011, Numar persoane,232
 84656 LUNCA DE JOS,40-44 ani, Masculin, Harghita, Anul 2012, Numar persoane,233
 84656 LUNCA DE JOS,40-44 ani, Masculin, Harghita, Anul 2013, Numar persoane,236
 84656 LUNCA DE JOS,40-44 ani, Masculin, Harghita, Anul 2014, Numar persoane,246
 84656 LUNCA DE JOS,40-44 ani, Masculin, Harghita, Anul 2015, Numar persoane,217
 84656 LUNCA DE JOS,40-44 ani, Masculin, Harghita, Anul 2016, Numar persoane,207
 84656 LUNCA DE JOS,40-44 ani, Masculin, Harghita, Anul 2017, Numar persoane,224
 84656 LUNCA DE JOS,45-49 ani, Masculin, Harghita, Anul 2009, Numar persoane,183
 84656 LUNCA DE JOS,45-49 ani, Masculin, Harghita, Anul 2010, Numar persoane,197
 84656 LUNCA DE JOS,45-49 ani, Masculin, Harghita, Anul 2011, Numar persoane,183
 84656 LUNCA DE JOS,45-49 ani, Masculin, Harghita, Anul 2012, Numar persoane,187
 84656 LUNCA DE JOS,45-49 ani, Masculin, Harghita, Anul 2013, Numar persoane,183
 84656 LUNCA DE JOS,45-49 ani, Masculin, Harghita, Anul 2014, Numar persoane,191
 84656 LUNCA DE JOS,45-49 ani, Masculin, Harghita, Anul 2015, Numar persoane,201
 84656 LUNCA DE JOS,45-49 ani, Masculin, Harghita, Anul 2016, Numar persoane,231
 84656 LUNCA DE JOS,45-49 ani, Masculin, Harghita, Anul 2017, Numar persoane,226
 84656 LUNCA DE JOS,50-54 ani, Masculin, Harghita, Anul 2009, Numar persoane,179
 84656 LUNCA DE JOS,50-54 ani, Masculin, Harghita, Anul 2010, Numar persoane,172
 84656 LUNCA DE JOS,50-54 ani, Masculin, Harghita, Anul 2011, Numar persoane,182
 84656 LUNCA DE JOS,50-54 ani, Masculin, Harghita, Anul 2012, Numar persoane,185
 84656 LUNCA DE JOS,50-54 ani, Masculin, Harghita, Anul 2013, Numar persoane,197
 84656 LUNCA DE JOS,50-54 ani, Masculin, Harghita, Anul 2014, Numar persoane,178
 84656 LUNCA DE JOS,50-54 ani, Masculin, Harghita, Anul 2015, Numar persoane,187
 84656 LUNCA DE JOS,50-54 ani, Masculin, Harghita, Anul 2016, Numar persoane,174
 84656 LUNCA DE JOS,50-54 ani, Masculin, Harghita, Anul 2017, Numar persoane,181
 84656 LUNCA DE JOS,55-59 ani, Masculin, Harghita, Anul 2009, Numar persoane,141
 84656 LUNCA DE JOS,55-59 ani, Masculin, Harghita, Anul 2010, Numar persoane,137
 84656 LUNCA DE JOS,55-59 ani, Masculin, Harghita, Anul 2011, Numar persoane,130
