 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 84923 MARTINIS,0- 4 ani, Masculin, Harghita, Anul 2009, Numar persoane,73
 84923 MARTINIS,0- 4 ani, Masculin, Harghita, Anul 2010, Numar persoane,66
 84923 MARTINIS,0- 4 ani, Masculin, Harghita, Anul 2011, Numar persoane,72
 84923 MARTINIS,0- 4 ani, Masculin, Harghita, Anul 2012, Numar persoane,78
 84923 MARTINIS,0- 4 ani, Masculin, Harghita, Anul 2013, Numar persoane,82
 84923 MARTINIS,0- 4 ani, Masculin, Harghita, Anul 2014, Numar persoane,83
 84923 MARTINIS,0- 4 ani, Masculin, Harghita, Anul 2015, Numar persoane,85
 84923 MARTINIS,0- 4 ani, Masculin, Harghita, Anul 2016, Numar persoane,85
 84923 MARTINIS,0- 4 ani, Masculin, Harghita, Anul 2017, Numar persoane,83
 84923 MARTINIS,5- 9 ani, Masculin, Harghita, Anul 2009, Numar persoane,88
 84923 MARTINIS,5- 9 ani, Masculin, Harghita, Anul 2010, Numar persoane,83
 84923 MARTINIS,5- 9 ani, Masculin, Harghita, Anul 2011, Numar persoane,87
 84923 MARTINIS,5- 9 ani, Masculin, Harghita, Anul 2012, Numar persoane,84
 84923 MARTINIS,5- 9 ani, Masculin, Harghita, Anul 2013, Numar persoane,79
 84923 MARTINIS,5- 9 ani, Masculin, Harghita, Anul 2014, Numar persoane,74
 84923 MARTINIS,5- 9 ani, Masculin, Harghita, Anul 2015, Numar persoane,72
 84923 MARTINIS,5- 9 ani, Masculin, Harghita, Anul 2016, Numar persoane,75
 84923 MARTINIS,5- 9 ani, Masculin, Harghita, Anul 2017, Numar persoane,78
 84923 MARTINIS,10-14 ani, Masculin, Harghita, Anul 2009, Numar persoane,78
 84923 MARTINIS,10-14 ani, Masculin, Harghita, Anul 2010, Numar persoane,87
 84923 MARTINIS,10-14 ani, Masculin, Harghita, Anul 2011, Numar persoane,72
 84923 MARTINIS,10-14 ani, Masculin, Harghita, Anul 2012, Numar persoane,80
 84923 MARTINIS,10-14 ani, Masculin, Harghita, Anul 2013, Numar persoane,86
 84923 MARTINIS,10-14 ani, Masculin, Harghita, Anul 2014, Numar persoane,90
 84923 MARTINIS,10-14 ani, Masculin, Harghita, Anul 2015, Numar persoane,88
 84923 MARTINIS,10-14 ani, Masculin, Harghita, Anul 2016, Numar persoane,87
 84923 MARTINIS,10-14 ani, Masculin, Harghita, Anul 2017, Numar persoane,86
 84923 MARTINIS,15-19 ani, Masculin, Harghita, Anul 2009, Numar persoane,111
 84923 MARTINIS,15-19 ani, Masculin, Harghita, Anul 2010, Numar persoane,93
 84923 MARTINIS,15-19 ani, Masculin, Harghita, Anul 2011, Numar persoane,91
 84923 MARTINIS,15-19 ani, Masculin, Harghita, Anul 2012, Numar persoane,81
 84923 MARTINIS,15-19 ani, Masculin, Harghita, Anul 2013, Numar persoane,72
 84923 MARTINIS,15-19 ani, Masculin, Harghita, Anul 2014, Numar persoane,79
 84923 MARTINIS,15-19 ani, Masculin, Harghita, Anul 2015, Numar persoane,84
 84923 MARTINIS,15-19 ani, Masculin, Harghita, Anul 2016, Numar persoane,79
 84923 MARTINIS,15-19 ani, Masculin, Harghita, Anul 2017, Numar persoane,85
 84923 MARTINIS,20-24 ani, Masculin, Harghita, Anul 2009, Numar persoane,129
 84923 MARTINIS,20-24 ani, Masculin, Harghita, Anul 2010, Numar persoane,143
 84923 MARTINIS,20-24 ani, Masculin, Harghita, Anul 2011, Numar persoane,141
 84923 MARTINIS,20-24 ani, Masculin, Harghita, Anul 2012, Numar persoane,148
 84923 MARTINIS,20-24 ani, Masculin, Harghita, Anul 2013, Numar persoane,135
 84923 MARTINIS,20-24 ani, Masculin, Harghita, Anul 2014, Numar persoane,116
 84923 MARTINIS,20-24 ani, Masculin, Harghita, Anul 2015, Numar persoane,95
 84923 MARTINIS,20-24 ani, Masculin, Harghita, Anul 2016, Numar persoane,91
 84923 MARTINIS,20-24 ani, Masculin, Harghita, Anul 2017, Numar persoane,85
 84923 MARTINIS,25-29 ani, Masculin, Harghita, Anul 2009, Numar persoane,110
 84923 MARTINIS,25-29 ani, Masculin, Harghita, Anul 2010, Numar persoane,112
 84923 MARTINIS,25-29 ani, Masculin, Harghita, Anul 2011, Numar persoane,113
 84923 MARTINIS,25-29 ani, Masculin, Harghita, Anul 2012, Numar persoane,107
 84923 MARTINIS,25-29 ani, Masculin, Harghita, Anul 2013, Numar persoane,119
 84923 MARTINIS,25-29 ani, Masculin, Harghita, Anul 2014, Numar persoane,136
 84923 MARTINIS,25-29 ani, Masculin, Harghita, Anul 2015, Numar persoane,150
 84923 MARTINIS,25-29 ani, Masculin, Harghita, Anul 2016, Numar persoane,148
 84923 MARTINIS,25-29 ani, Masculin, Harghita, Anul 2017, Numar persoane,150
 84923 MARTINIS,30-34 ani, Masculin, Harghita, Anul 2009, Numar persoane,145
 84923 MARTINIS,30-34 ani, Masculin, Harghita, Anul 2010, Numar persoane,128
