 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 85243 OCLAND,0- 4 ani, Masculin, Harghita, Anul 2009, Numar persoane,47
 85243 OCLAND,0- 4 ani, Masculin, Harghita, Anul 2010, Numar persoane,46
 85243 OCLAND,0- 4 ani, Masculin, Harghita, Anul 2011, Numar persoane,41
 85243 OCLAND,0- 4 ani, Masculin, Harghita, Anul 2012, Numar persoane,39
 85243 OCLAND,0- 4 ani, Masculin, Harghita, Anul 2013, Numar persoane,41
 85243 OCLAND,0- 4 ani, Masculin, Harghita, Anul 2014, Numar persoane,45
 85243 OCLAND,0- 4 ani, Masculin, Harghita, Anul 2015, Numar persoane,45
 85243 OCLAND,0- 4 ani, Masculin, Harghita, Anul 2016, Numar persoane,48
 85243 OCLAND,0- 4 ani, Masculin, Harghita, Anul 2017, Numar persoane,51
 85243 OCLAND,5- 9 ani, Masculin, Harghita, Anul 2009, Numar persoane,44
 85243 OCLAND,5- 9 ani, Masculin, Harghita, Anul 2010, Numar persoane,49
 85243 OCLAND,5- 9 ani, Masculin, Harghita, Anul 2011, Numar persoane,46
 85243 OCLAND,5- 9 ani, Masculin, Harghita, Anul 2012, Numar persoane,50
 85243 OCLAND,5- 9 ani, Masculin, Harghita, Anul 2013, Numar persoane,49
 85243 OCLAND,5- 9 ani, Masculin, Harghita, Anul 2014, Numar persoane,54
 85243 OCLAND,5- 9 ani, Masculin, Harghita, Anul 2015, Numar persoane,51
 85243 OCLAND,5- 9 ani, Masculin, Harghita, Anul 2016, Numar persoane,44
 85243 OCLAND,5- 9 ani, Masculin, Harghita, Anul 2017, Numar persoane,42
 85243 OCLAND,10-14 ani, Masculin, Harghita, Anul 2009, Numar persoane,36
 85243 OCLAND,10-14 ani, Masculin, Harghita, Anul 2010, Numar persoane,33
 85243 OCLAND,10-14 ani, Masculin, Harghita, Anul 2011, Numar persoane,44
 85243 OCLAND,10-14 ani, Masculin, Harghita, Anul 2012, Numar persoane,43
 85243 OCLAND,10-14 ani, Masculin, Harghita, Anul 2013, Numar persoane,41
 85243 OCLAND,10-14 ani, Masculin, Harghita, Anul 2014, Numar persoane,45
 85243 OCLAND,10-14 ani, Masculin, Harghita, Anul 2015, Numar persoane,48
 85243 OCLAND,10-14 ani, Masculin, Harghita, Anul 2016, Numar persoane,52
 85243 OCLAND,10-14 ani, Masculin, Harghita, Anul 2017, Numar persoane,54
 85243 OCLAND,15-19 ani, Masculin, Harghita, Anul 2009, Numar persoane,45
 85243 OCLAND,15-19 ani, Masculin, Harghita, Anul 2010, Numar persoane,48
 85243 OCLAND,15-19 ani, Masculin, Harghita, Anul 2011, Numar persoane,47
 85243 OCLAND,15-19 ani, Masculin, Harghita, Anul 2012, Numar persoane,50
 85243 OCLAND,15-19 ani, Masculin, Harghita, Anul 2013, Numar persoane,52
 85243 OCLAND,15-19 ani, Masculin, Harghita, Anul 2014, Numar persoane,41
 85243 OCLAND,15-19 ani, Masculin, Harghita, Anul 2015, Numar persoane,36
 85243 OCLAND,15-19 ani, Masculin, Harghita, Anul 2016, Numar persoane,47
 85243 OCLAND,15-19 ani, Masculin, Harghita, Anul 2017, Numar persoane,50
 85243 OCLAND,20-24 ani, Masculin, Harghita, Anul 2009, Numar persoane,47
 85243 OCLAND,20-24 ani, Masculin, Harghita, Anul 2010, Numar persoane,46
 85243 OCLAND,20-24 ani, Masculin, Harghita, Anul 2011, Numar persoane,46
 85243 OCLAND,20-24 ani, Masculin, Harghita, Anul 2012, Numar persoane,39
