 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 85341 PRAID,0- 4 ani, Masculin, Harghita, Anul 2009, Numar persoane,188
 85341 PRAID,0- 4 ani, Masculin, Harghita, Anul 2010, Numar persoane,184
 85341 PRAID,0- 4 ani, Masculin, Harghita, Anul 2011, Numar persoane,179
 85341 PRAID,0- 4 ani, Masculin, Harghita, Anul 2012, Numar persoane,174
 85341 PRAID,0- 4 ani, Masculin, Harghita, Anul 2013, Numar persoane,190
 85341 PRAID,0- 4 ani, Masculin, Harghita, Anul 2014, Numar persoane,179
 85341 PRAID,0- 4 ani, Masculin, Harghita, Anul 2015, Numar persoane,182
 85341 PRAID,0- 4 ani, Masculin, Harghita, Anul 2016, Numar persoane,179
 85341 PRAID,0- 4 ani, Masculin, Harghita, Anul 2017, Numar persoane,189
 85341 PRAID,5- 9 ani, Masculin, Harghita, Anul 2009, Numar persoane,236
 85341 PRAID,5- 9 ani, Masculin, Harghita, Anul 2010, Numar persoane,240
 85341 PRAID,5- 9 ani, Masculin, Harghita, Anul 2011, Numar persoane,227
 85341 PRAID,5- 9 ani, Masculin, Harghita, Anul 2012, Numar persoane,199
 85341 PRAID,5- 9 ani, Masculin, Harghita, Anul 2013, Numar persoane,181
 85341 PRAID,5- 9 ani, Masculin, Harghita, Anul 2014, Numar persoane,183
 85341 PRAID,5- 9 ani, Masculin, Harghita, Anul 2015, Numar persoane,178
 85341 PRAID,5- 9 ani, Masculin, Harghita, Anul 2016, Numar persoane,173
 85341 PRAID,5- 9 ani, Masculin, Harghita, Anul 2017, Numar persoane,174
 85341 PRAID,10-14 ani, Masculin, Harghita, Anul 2009, Numar persoane,241
 85341 PRAID,10-14 ani, Masculin, Harghita, Anul 2010, Numar persoane,227
 85341 PRAID,10-14 ani, Masculin, Harghita, Anul 2011, Numar persoane,236
 85341 PRAID,10-14 ani, Masculin, Harghita, Anul 2012, Numar persoane,247
 85341 PRAID,10-14 ani, Masculin, Harghita, Anul 2013, Numar persoane,247
 85341 PRAID,10-14 ani, Masculin, Harghita, Anul 2014, Numar persoane,233
 85341 PRAID,10-14 ani, Masculin, Harghita, Anul 2015, Numar persoane,236
