 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 85528 SARMAS,0- 4 ani, Masculin, Harghita, Anul 2009, Numar persoane,106
 85528 SARMAS,0- 4 ani, Masculin, Harghita, Anul 2010, Numar persoane,99
 85528 SARMAS,0- 4 ani, Masculin, Harghita, Anul 2011, Numar persoane,96
 85528 SARMAS,0- 4 ani, Masculin, Harghita, Anul 2012, Numar persoane,85
 85528 SARMAS,0- 4 ani, Masculin, Harghita, Anul 2013, Numar persoane,81
 85528 SARMAS,0- 4 ani, Masculin, Harghita, Anul 2014, Numar persoane,80
 85528 SARMAS,0- 4 ani, Masculin, Harghita, Anul 2015, Numar persoane,80
 85528 SARMAS,0- 4 ani, Masculin, Harghita, Anul 2016, Numar persoane,79
 85528 SARMAS,0- 4 ani, Masculin, Harghita, Anul 2017, Numar persoane,83
 85528 SARMAS,5- 9 ani, Masculin, Harghita, Anul 2009, Numar persoane,128
 85528 SARMAS,5- 9 ani, Masculin, Harghita, Anul 2010, Numar persoane,128
 85528 SARMAS,5- 9 ani, Masculin, Harghita, Anul 2011, Numar persoane,114
 85528 SARMAS,5- 9 ani, Masculin, Harghita, Anul 2012, Numar persoane,113
 85528 SARMAS,5- 9 ani, Masculin, Harghita, Anul 2013, Numar persoane,109
 85528 SARMAS,5- 9 ani, Masculin, Harghita, Anul 2014, Numar persoane,112
 85528 SARMAS,5- 9 ani, Masculin, Harghita, Anul 2015, Numar persoane,103
 85528 SARMAS,5- 9 ani, Masculin, Harghita, Anul 2016, Numar persoane,103
 85528 SARMAS,5- 9 ani, Masculin, Harghita, Anul 2017, Numar persoane,86
 85528 SARMAS,10-14 ani, Masculin, Harghita, Anul 2009, Numar persoane,116
 85528 SARMAS,10-14 ani, Masculin, Harghita, Anul 2010, Numar persoane,106
 85528 SARMAS,10-14 ani, Masculin, Harghita, Anul 2011, Numar persoane,113
 85528 SARMAS,10-14 ani, Masculin, Harghita, Anul 2012, Numar persoane,114
 85528 SARMAS,10-14 ani, Masculin, Harghita, Anul 2013, Numar persoane,128
 85528 SARMAS,10-14 ani, Masculin, Harghita, Anul 2014, Numar persoane,127
 85528 SARMAS,10-14 ani, Masculin, Harghita, Anul 2015, Numar persoane,127
 85528 SARMAS,10-14 ani, Masculin, Harghita, Anul 2016, Numar persoane,113
 85528 SARMAS,10-14 ani, Masculin, Harghita, Anul 2017, Numar persoane,118
 85528 SARMAS,15-19 ani, Masculin, Harghita, Anul 2009, Numar persoane,143
 85528 SARMAS,15-19 ani, Masculin, Harghita, Anul 2010, Numar persoane,133
 85528 SARMAS,15-19 ani, Masculin, Harghita, Anul 2011, Numar persoane,126
 85528 SARMAS,15-19 ani, Masculin, Harghita, Anul 2012, Numar persoane,130
 85528 SARMAS,15-19 ani, Masculin, Harghita, Anul 2013, Numar persoane,108
 85528 SARMAS,15-19 ani, Masculin, Harghita, Anul 2014, Numar persoane,108
 85528 SARMAS,15-19 ani, Masculin, Harghita, Anul 2015, Numar persoane,103
 85528 SARMAS,15-19 ani, Masculin, Harghita, Anul 2016, Numar persoane,112
 85528 SARMAS,15-19 ani, Masculin, Harghita, Anul 2017, Numar persoane,110
 85528 SARMAS,20-24 ani, Masculin, Harghita, Anul 2009, Numar persoane,174
 85528 SARMAS,20-24 ani, Masculin, Harghita, Anul 2010, Numar persoane,169
 85528 SARMAS,20-24 ani, Masculin, Harghita, Anul 2011, Numar persoane,167
 85528 SARMAS,20-24 ani, Masculin, Harghita, Anul 2012, Numar persoane,163
 85528 SARMAS,20-24 ani, Masculin, Harghita, Anul 2013, Numar persoane,169
 85528 SARMAS,20-24 ani, Masculin, Harghita, Anul 2014, Numar persoane,144
 85528 SARMAS,20-24 ani, Masculin, Harghita, Anul 2015, Numar persoane,135
 85528 SARMAS,20-24 ani, Masculin, Harghita, Anul 2016, Numar persoane,127
 85528 SARMAS,20-24 ani, Masculin, Harghita, Anul 2017, Numar persoane,131
 85528 SARMAS,25-29 ani, Masculin, Harghita, Anul 2009, Numar persoane,145
 85528 SARMAS,25-29 ani, Masculin, Harghita, Anul 2010, Numar persoane,146
 85528 SARMAS,25-29 ani, Masculin, Harghita, Anul 2011, Numar persoane,144
 85528 SARMAS,25-29 ani, Masculin, Harghita, Anul 2012, Numar persoane,150
 85528 SARMAS,25-29 ani, Masculin, Harghita, Anul 2013, Numar persoane,149
 85528 SARMAS,25-29 ani, Masculin, Harghita, Anul 2014, Numar persoane,159
 85528 SARMAS,25-29 ani, Masculin, Harghita, Anul 2015, Numar persoane,160
 85528 SARMAS,25-29 ani, Masculin, Harghita, Anul 2016, Numar persoane,158
 85528 SARMAS,25-29 ani, Masculin, Harghita, Anul 2017, Numar persoane,150
 85528 SARMAS,30-34 ani, Masculin, Harghita, Anul 2009, Numar persoane,184
 85528 SARMAS,30-34 ani, Masculin, Harghita, Anul 2010, Numar persoane,182
 85528 SARMAS,30-34 ani, Masculin, Harghita, Anul 2011, Numar persoane,172
 85528 SARMAS,30-34 ani, Masculin, Harghita, Anul 2012, Numar persoane,160
 85528 SARMAS,30-34 ani, Masculin, Harghita, Anul 2013, Numar persoane,158
 85528 SARMAS,30-34 ani, Masculin, Harghita, Anul 2014, Numar persoane,154
 85528 SARMAS,30-34 ani, Masculin, Harghita, Anul 2015, Numar persoane,153
 85528 SARMAS,30-34 ani, Masculin, Harghita, Anul 2016, Numar persoane,147
 85528 SARMAS,30-34 ani, Masculin, Harghita, Anul 2017, Numar persoane,145
 85528 SARMAS,35-39 ani, Masculin, Harghita, Anul 2009, Numar persoane,181
 85528 SARMAS,35-39 ani, Masculin, Harghita, Anul 2010, Numar persoane,183
 85528 SARMAS,35-39 ani, Masculin, Harghita, Anul 2011, Numar persoane,183
 85528 SARMAS,35-39 ani, Masculin, Harghita, Anul 2012, Numar persoane,188
 85528 SARMAS,35-39 ani, Masculin, Harghita, Anul 2013, Numar persoane,184
 85528 SARMAS,35-39 ani, Masculin, Harghita, Anul 2014, Numar persoane,179
 85528 SARMAS,35-39 ani, Masculin, Harghita, Anul 2015, Numar persoane,178
 85528 SARMAS,35-39 ani, Masculin, Harghita, Anul 2016, Numar persoane,178
