 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 86133 TULGHES,0- 4 ani, Masculin, Harghita, Anul 2009, Numar persoane,78
 86133 TULGHES,0- 4 ani, Masculin, Harghita, Anul 2010, Numar persoane,74
 86133 TULGHES,0- 4 ani, Masculin, Harghita, Anul 2011, Numar persoane,67
 86133 TULGHES,0- 4 ani, Masculin, Harghita, Anul 2012, Numar persoane,66
 86133 TULGHES,0- 4 ani, Masculin, Harghita, Anul 2013, Numar persoane,69
 86133 TULGHES,0- 4 ani, Masculin, Harghita, Anul 2014, Numar persoane,80
 86133 TULGHES,0- 4 ani, Masculin, Harghita, Anul 2015, Numar persoane,77
 86133 TULGHES,0- 4 ani, Masculin, Harghita, Anul 2016, Numar persoane,73
 86133 TULGHES,0- 4 ani, Masculin, Harghita, Anul 2017, Numar persoane,71
 86133 TULGHES,5- 9 ani, Masculin, Harghita, Anul 2009, Numar persoane,93
 86133 TULGHES,5- 9 ani, Masculin, Harghita, Anul 2010, Numar persoane,92
 86133 TULGHES,5- 9 ani, Masculin, Harghita, Anul 2011, Numar persoane,105
 86133 TULGHES,5- 9 ani, Masculin, Harghita, Anul 2012, Numar persoane,98
 86133 TULGHES,5- 9 ani, Masculin, Harghita, Anul 2013, Numar persoane,95
 86133 TULGHES,5- 9 ani, Masculin, Harghita, Anul 2014, Numar persoane,80
 86133 TULGHES,5- 9 ani, Masculin, Harghita, Anul 2015, Numar persoane,75
 86133 TULGHES,5- 9 ani, Masculin, Harghita, Anul 2016, Numar persoane,68
 86133 TULGHES,5- 9 ani, Masculin, Harghita, Anul 2017, Numar persoane,69
 86133 TULGHES,10-14 ani, Masculin, Harghita, Anul 2009, Numar persoane,99
 86133 TULGHES,10-14 ani, Masculin, Harghita, Anul 2010, Numar persoane,102
 86133 TULGHES,10-14 ani, Masculin, Harghita, Anul 2011, Numar persoane,100
 86133 TULGHES,10-14 ani, Masculin, Harghita, Anul 2012, Numar persoane,107
 86133 TULGHES,10-14 ani, Masculin, Harghita, Anul 2013, Numar persoane,92
 86133 TULGHES,10-14 ani, Masculin, Harghita, Anul 2014, Numar persoane,92
 86133 TULGHES,10-14 ani, Masculin, Harghita, Anul 2015, Numar persoane,91
