 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 86222 ULIES,0- 4 ani, Masculin, Harghita, Anul 2009, Numar persoane,37
 86222 ULIES,0- 4 ani, Masculin, Harghita, Anul 2010, Numar persoane,39
 86222 ULIES,0- 4 ani, Masculin, Harghita, Anul 2011, Numar persoane,38
 86222 ULIES,0- 4 ani, Masculin, Harghita, Anul 2012, Numar persoane,34
 86222 ULIES,0- 4 ani, Masculin, Harghita, Anul 2013, Numar persoane,36
 86222 ULIES,0- 4 ani, Masculin, Harghita, Anul 2014, Numar persoane,41
 86222 ULIES,0- 4 ani, Masculin, Harghita, Anul 2015, Numar persoane,40
 86222 ULIES,0- 4 ani, Masculin, Harghita, Anul 2016, Numar persoane,41
 86222 ULIES,0- 4 ani, Masculin, Harghita, Anul 2017, Numar persoane,36
 86222 ULIES,5- 9 ani, Masculin, Harghita, Anul 2009, Numar persoane,43
 86222 ULIES,5- 9 ani, Masculin, Harghita, Anul 2010, Numar persoane,39
 86222 ULIES,5- 9 ani, Masculin, Harghita, Anul 2011, Numar persoane,42
 86222 ULIES,5- 9 ani, Masculin, Harghita, Anul 2012, Numar persoane,47
 86222 ULIES,5- 9 ani, Masculin, Harghita, Anul 2013, Numar persoane,43
 86222 ULIES,5- 9 ani, Masculin, Harghita, Anul 2014, Numar persoane,41
 86222 ULIES,5- 9 ani, Masculin, Harghita, Anul 2015, Numar persoane,45
 86222 ULIES,5- 9 ani, Masculin, Harghita, Anul 2016, Numar persoane,39
 86222 ULIES,5- 9 ani, Masculin, Harghita, Anul 2017, Numar persoane,34
 86222 ULIES,10-14 ani, Masculin, Harghita, Anul 2009, Numar persoane,28
 86222 ULIES,10-14 ani, Masculin, Harghita, Anul 2010, Numar persoane,38
 86222 ULIES,10-14 ani, Masculin, Harghita, Anul 2011, Numar persoane,42
 86222 ULIES,10-14 ani, Masculin, Harghita, Anul 2012, Numar persoane,45
 86222 ULIES,10-14 ani, Masculin, Harghita, Anul 2013, Numar persoane,43
 86222 ULIES,10-14 ani, Masculin, Harghita, Anul 2014, Numar persoane,45
 86222 ULIES,10-14 ani, Masculin, Harghita, Anul 2015, Numar persoane,42
 86222 ULIES,10-14 ani, Masculin, Harghita, Anul 2016, Numar persoane,43
 86222 ULIES,10-14 ani, Masculin, Harghita, Anul 2017, Numar persoane,48
 86222 ULIES,15-19 ani, Masculin, Harghita, Anul 2009, Numar persoane,47
 86222 ULIES,15-19 ani, Masculin, Harghita, Anul 2010, Numar persoane,36
 86222 ULIES,15-19 ani, Masculin, Harghita, Anul 2011, Numar persoane,30
 86222 ULIES,15-19 ani, Masculin, Harghita, Anul 2012, Numar persoane,32
 86222 ULIES,15-19 ani, Masculin, Harghita, Anul 2013, Numar persoane,35
 86222 ULIES,15-19 ani, Masculin, Harghita, Anul 2014, Numar persoane,36
