 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 86339 VOSLABENI,0- 4 ani, Masculin, Harghita, Anul 2009, Numar persoane,50
 86339 VOSLABENI,0- 4 ani, Masculin, Harghita, Anul 2010, Numar persoane,53
 86339 VOSLABENI,0- 4 ani, Masculin, Harghita, Anul 2011, Numar persoane,44
 86339 VOSLABENI,0- 4 ani, Masculin, Harghita, Anul 2012, Numar persoane,43
 86339 VOSLABENI,0- 4 ani, Masculin, Harghita, Anul 2013, Numar persoane,37
 86339 VOSLABENI,0- 4 ani, Masculin, Harghita, Anul 2014, Numar persoane,40
 86339 VOSLABENI,0- 4 ani, Masculin, Harghita, Anul 2015, Numar persoane,43
 86339 VOSLABENI,0- 4 ani, Masculin, Harghita, Anul 2016, Numar persoane,45
 86339 VOSLABENI,0- 4 ani, Masculin, Harghita, Anul 2017, Numar persoane,48
 86339 VOSLABENI,5- 9 ani, Masculin, Harghita, Anul 2009, Numar persoane,43
 86339 VOSLABENI,5- 9 ani, Masculin, Harghita, Anul 2010, Numar persoane,35
 86339 VOSLABENI,5- 9 ani, Masculin, Harghita, Anul 2011, Numar persoane,38
 86339 VOSLABENI,5- 9 ani, Masculin, Harghita, Anul 2012, Numar persoane,43
 86339 VOSLABENI,5- 9 ani, Masculin, Harghita, Anul 2013, Numar persoane,49
 86339 VOSLABENI,5- 9 ani, Masculin, Harghita, Anul 2014, Numar persoane,47
 86339 VOSLABENI,5- 9 ani, Masculin, Harghita, Anul 2015, Numar persoane,49
 86339 VOSLABENI,5- 9 ani, Masculin, Harghita, Anul 2016, Numar persoane,41
 86339 VOSLABENI,5- 9 ani, Masculin, Harghita, Anul 2017, Numar persoane,38
 86339 VOSLABENI,10-14 ani, Masculin, Harghita, Anul 2009, Numar persoane,55
 86339 VOSLABENI,10-14 ani, Masculin, Harghita, Anul 2010, Numar persoane,61
 86339 VOSLABENI,10-14 ani, Masculin, Harghita, Anul 2011, Numar persoane,57
 86339 VOSLABENI,10-14 ani, Masculin, Harghita, Anul 2012, Numar persoane,52
 86339 VOSLABENI,10-14 ani, Masculin, Harghita, Anul 2013, Numar persoane,46
 86339 VOSLABENI,10-14 ani, Masculin, Harghita, Anul 2014, Numar persoane,45
 86339 VOSLABENI,10-14 ani, Masculin, Harghita, Anul 2015, Numar persoane,42
 86339 VOSLABENI,10-14 ani, Masculin, Harghita, Anul 2016, Numar persoane,46
 86339 VOSLABENI,10-14 ani, Masculin, Harghita, Anul 2017, Numar persoane,46
 86339 VOSLABENI,15-19 ani, Masculin, Harghita, Anul 2009, Numar persoane,58
 86339 VOSLABENI,15-19 ani, Masculin, Harghita, Anul 2010, Numar persoane,48
 86339 VOSLABENI,15-19 ani, Masculin, Harghita, Anul 2011, Numar persoane,55
 86339 VOSLABENI,15-19 ani, Masculin, Harghita, Anul 2012, Numar persoane,51
 86339 VOSLABENI,15-19 ani, Masculin, Harghita, Anul 2013, Numar persoane,61
 86339 VOSLABENI,15-19 ani, Masculin, Harghita, Anul 2014, Numar persoane,64
 86339 VOSLABENI,15-19 ani, Masculin, Harghita, Anul 2015, Numar persoane,68
 86339 VOSLABENI,15-19 ani, Masculin, Harghita, Anul 2016, Numar persoane,66
 86339 VOSLABENI,15-19 ani, Masculin, Harghita, Anul 2017, Numar persoane,62
 86339 VOSLABENI,20-24 ani, Masculin, Harghita, Anul 2009, Numar persoane,60
 86339 VOSLABENI,20-24 ani, Masculin, Harghita, Anul 2010, Numar persoane,74
 86339 VOSLABENI,20-24 ani, Masculin, Harghita, Anul 2011, Numar persoane,70
 86339 VOSLABENI,20-24 ani, Masculin, Harghita, Anul 2012, Numar persoane,72
 86339 VOSLABENI,20-24 ani, Masculin, Harghita, Anul 2013, Numar persoane,70
 86339 VOSLABENI,20-24 ani, Masculin, Harghita, Anul 2014, Numar persoane,60
 86339 VOSLABENI,20-24 ani, Masculin, Harghita, Anul 2015, Numar persoane,52
 86339 VOSLABENI,20-24 ani, Masculin, Harghita, Anul 2016, Numar persoane,56
 86339 VOSLABENI,20-24 ani, Masculin, Harghita, Anul 2017, Numar persoane,50
 86339 VOSLABENI,25-29 ani, Masculin, Harghita, Anul 2009, Numar persoane,63
 86339 VOSLABENI,25-29 ani, Masculin, Harghita, Anul 2010, Numar persoane,59
 86339 VOSLABENI,25-29 ani, Masculin, Harghita, Anul 2011, Numar persoane,62
 86339 VOSLABENI,25-29 ani, Masculin, Harghita, Anul 2012, Numar persoane,63
 86339 VOSLABENI,25-29 ani, Masculin, Harghita, Anul 2013, Numar persoane,67
 86339 VOSLABENI,25-29 ani, Masculin, Harghita, Anul 2014, Numar persoane,67
 86339 VOSLABENI,25-29 ani, Masculin, Harghita, Anul 2015, Numar persoane,73
 86339 VOSLABENI,25-29 ani, Masculin, Harghita, Anul 2016, Numar persoane,67
 86339 VOSLABENI,25-29 ani, Masculin, Harghita, Anul 2017, Numar persoane,72
 86339 VOSLABENI,30-34 ani, Masculin, Harghita, Anul 2009, Numar persoane,82
 86339 VOSLABENI,30-34 ani, Masculin, Harghita, Anul 2010, Numar persoane,77
