 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 86446 COZMENI,0- 4 ani, Masculin, Harghita, Anul 2009, Numar persoane,94
 86446 COZMENI,0- 4 ani, Masculin, Harghita, Anul 2010, Numar persoane,97
 86446 COZMENI,0- 4 ani, Masculin, Harghita, Anul 2011, Numar persoane,101
 86446 COZMENI,0- 4 ani, Masculin, Harghita, Anul 2012, Numar persoane,100
 86446 COZMENI,0- 4 ani, Masculin, Harghita, Anul 2013, Numar persoane,113
 86446 COZMENI,0- 4 ani, Masculin, Harghita, Anul 2014, Numar persoane,113
 86446 COZMENI,0- 4 ani, Masculin, Harghita, Anul 2015, Numar persoane,112
 86446 COZMENI,0- 4 ani, Masculin, Harghita, Anul 2016, Numar persoane,101
 86446 COZMENI,0- 4 ani, Masculin, Harghita, Anul 2017, Numar persoane,106
 86446 COZMENI,5- 9 ani, Masculin, Harghita, Anul 2009, Numar persoane,91
 86446 COZMENI,5- 9 ani, Masculin, Harghita, Anul 2010, Numar persoane,99
 86446 COZMENI,5- 9 ani, Masculin, Harghita, Anul 2011, Numar persoane,102
 86446 COZMENI,5- 9 ani, Masculin, Harghita, Anul 2012, Numar persoane,100
 86446 COZMENI,5- 9 ani, Masculin, Harghita, Anul 2013, Numar persoane,96
 86446 COZMENI,5- 9 ani, Masculin, Harghita, Anul 2014, Numar persoane,93
 86446 COZMENI,5- 9 ani, Masculin, Harghita, Anul 2015, Numar persoane,96
 86446 COZMENI,5- 9 ani, Masculin, Harghita, Anul 2016, Numar persoane,102
 86446 COZMENI,5- 9 ani, Masculin, Harghita, Anul 2017, Numar persoane,105
 86446 COZMENI,10-14 ani, Masculin, Harghita, Anul 2009, Numar persoane,67
 86446 COZMENI,10-14 ani, Masculin, Harghita, Anul 2010, Numar persoane,65
 86446 COZMENI,10-14 ani, Masculin, Harghita, Anul 2011, Numar persoane,78
 86446 COZMENI,10-14 ani, Masculin, Harghita, Anul 2012, Numar persoane,80
 86446 COZMENI,10-14 ani, Masculin, Harghita, Anul 2013, Numar persoane,86
 86446 COZMENI,10-14 ani, Masculin, Harghita, Anul 2014, Numar persoane,92
 86446 COZMENI,10-14 ani, Masculin, Harghita, Anul 2015, Numar persoane,95
 86446 COZMENI,10-14 ani, Masculin, Harghita, Anul 2016, Numar persoane,94
 86446 COZMENI,10-14 ani, Masculin, Harghita, Anul 2017, Numar persoane,91
 86446 COZMENI,15-19 ani, Masculin, Harghita, Anul 2009, Numar persoane,63
 86446 COZMENI,15-19 ani, Masculin, Harghita, Anul 2010, Numar persoane,60
 86446 COZMENI,15-19 ani, Masculin, Harghita, Anul 2011, Numar persoane,60
 86446 COZMENI,15-19 ani, Masculin, Harghita, Anul 2012, Numar persoane,66
 86446 COZMENI,15-19 ani, Masculin, Harghita, Anul 2013, Numar persoane,68
 86446 COZMENI,15-19 ani, Masculin, Harghita, Anul 2014, Numar persoane,71
 86446 COZMENI,15-19 ani, Masculin, Harghita, Anul 2015, Numar persoane,69
 86446 COZMENI,15-19 ani, Masculin, Harghita, Anul 2016, Numar persoane,75
 86446 COZMENI,15-19 ani, Masculin, Harghita, Anul 2017, Numar persoane,77
 86446 COZMENI,20-24 ani, Masculin, Harghita, Anul 2009, Numar persoane,83
 86446 COZMENI,20-24 ani, Masculin, Harghita, Anul 2010, Numar persoane,76
 86446 COZMENI,20-24 ani, Masculin, Harghita, Anul 2011, Numar persoane,73
 86446 COZMENI,20-24 ani, Masculin, Harghita, Anul 2012, Numar persoane,67
 86446 COZMENI,20-24 ani, Masculin, Harghita, Anul 2013, Numar persoane,61
 86446 COZMENI,20-24 ani, Masculin, Harghita, Anul 2014, Numar persoane,58
 86446 COZMENI,20-24 ani, Masculin, Harghita, Anul 2015, Numar persoane,58
 86446 COZMENI,20-24 ani, Masculin, Harghita, Anul 2016, Numar persoane,58
 86446 COZMENI,20-24 ani, Masculin, Harghita, Anul 2017, Numar persoane,63
 86446 COZMENI,25-29 ani, Masculin, Harghita, Anul 2009, Numar persoane,104
 86446 COZMENI,25-29 ani, Masculin, Harghita, Anul 2010, Numar persoane,116
 86446 COZMENI,25-29 ani, Masculin, Harghita, Anul 2011, Numar persoane,101
 86446 COZMENI,25-29 ani, Masculin, Harghita, Anul 2012, Numar persoane,86
 86446 COZMENI,25-29 ani, Masculin, Harghita, Anul 2013, Numar persoane,87
 86446 COZMENI,25-29 ani, Masculin, Harghita, Anul 2014, Numar persoane,85
 86446 COZMENI,25-29 ani, Masculin, Harghita, Anul 2015, Numar persoane,81
 86446 COZMENI,25-29 ani, Masculin, Harghita, Anul 2016, Numar persoane,74
 86446 COZMENI,25-29 ani, Masculin, Harghita, Anul 2017, Numar persoane,66
 86446 COZMENI,30-34 ani, Masculin, Harghita, Anul 2009, Numar persoane,97
 86446 COZMENI,30-34 ani, Masculin, Harghita, Anul 2010, Numar persoane,91
 86446 COZMENI,30-34 ani, Masculin, Harghita, Anul 2011, Numar persoane,106
 86446 COZMENI,30-34 ani, Masculin, Harghita, Anul 2012, Numar persoane,108
 86446 COZMENI,30-34 ani, Masculin, Harghita, Anul 2013, Numar persoane,98
 86446 COZMENI,30-34 ani, Masculin, Harghita, Anul 2014, Numar persoane,101
 86446 COZMENI,30-34 ani, Masculin, Harghita, Anul 2015, Numar persoane,112
 86446 COZMENI,30-34 ani, Masculin, Harghita, Anul 2016, Numar persoane,99
 86446 COZMENI,30-34 ani, Masculin, Harghita, Anul 2017, Numar persoane,86
 86446 COZMENI,35-39 ani, Masculin, Harghita, Anul 2009, Numar persoane,71
 86446 COZMENI,35-39 ani, Masculin, Harghita, Anul 2010, Numar persoane,74
 86446 COZMENI,35-39 ani, Masculin, Harghita, Anul 2011, Numar persoane,75
 86446 COZMENI,35-39 ani, Masculin, Harghita, Anul 2012, Numar persoane,83
 86446 COZMENI,35-39 ani, Masculin, Harghita, Anul 2013, Numar persoane,97
 86446 COZMENI,35-39 ani, Masculin, Harghita, Anul 2014, Numar persoane,96
