 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 86501 SATU MARE,0- 4 ani, Masculin, Harghita, Anul 2009, Numar persoane,73
 86501 SATU MARE,0- 4 ani, Masculin, Harghita, Anul 2010, Numar persoane,73
 86501 SATU MARE,0- 4 ani, Masculin, Harghita, Anul 2011, Numar persoane,81
 86501 SATU MARE,0- 4 ani, Masculin, Harghita, Anul 2012, Numar persoane,73
 86501 SATU MARE,0- 4 ani, Masculin, Harghita, Anul 2013, Numar persoane,66
 86501 SATU MARE,0- 4 ani, Masculin, Harghita, Anul 2014, Numar persoane,69
 86501 SATU MARE,0- 4 ani, Masculin, Harghita, Anul 2015, Numar persoane,76
 86501 SATU MARE,0- 4 ani, Masculin, Harghita, Anul 2016, Numar persoane,65
 86501 SATU MARE,0- 4 ani, Masculin, Harghita, Anul 2017, Numar persoane,67
 86501 SATU MARE,5- 9 ani, Masculin, Harghita, Anul 2009, Numar persoane,65
 86501 SATU MARE,5- 9 ani, Masculin, Harghita, Anul 2010, Numar persoane,68
 86501 SATU MARE,5- 9 ani, Masculin, Harghita, Anul 2011, Numar persoane,66
 86501 SATU MARE,5- 9 ani, Masculin, Harghita, Anul 2012, Numar persoane,67
 86501 SATU MARE,5- 9 ani, Masculin, Harghita, Anul 2013, Numar persoane,74
 86501 SATU MARE,5- 9 ani, Masculin, Harghita, Anul 2014, Numar persoane,75
 86501 SATU MARE,5- 9 ani, Masculin, Harghita, Anul 2015, Numar persoane,75
 86501 SATU MARE,5- 9 ani, Masculin, Harghita, Anul 2016, Numar persoane,83
 86501 SATU MARE,5- 9 ani, Masculin, Harghita, Anul 2017, Numar persoane,73
 86501 SATU MARE,10-14 ani, Masculin, Harghita, Anul 2009, Numar persoane,51
 86501 SATU MARE,10-14 ani, Masculin, Harghita, Anul 2010, Numar persoane,52
 86501 SATU MARE,10-14 ani, Masculin, Harghita, Anul 2011, Numar persoane,58
 86501 SATU MARE,10-14 ani, Masculin, Harghita, Anul 2012, Numar persoane,60
 86501 SATU MARE,10-14 ani, Masculin, Harghita, Anul 2013, Numar persoane,64
 86501 SATU MARE,10-14 ani, Masculin, Harghita, Anul 2014, Numar persoane,68
