
Varste si grupe de varsta, Sexe, Judete, Localitati , Ani, UM: Numar persoane, Valoare
0- 4 ani, Masculin, Bihor, 26564 MUNICIPIUL ORADEA, Anul 2007, Numar persoane, 4978
0- 4 ani, Masculin, Bihor, 26564 MUNICIPIUL ORADEA, Anul 2008, Numar persoane, 5115
0- 4 ani, Masculin, Bihor, 26564 MUNICIPIUL ORADEA, Anul 2009, Numar persoane, 5228
0- 4 ani, Masculin, Bihor, 26564 MUNICIPIUL ORADEA, Anul 2010, Numar persoane, 5422
0- 4 ani, Masculin, Bihor, 26564 MUNICIPIUL ORADEA, Anul 2011, Numar persoane, 5441
0- 4 ani, Masculin, Bihor, 26564 MUNICIPIUL ORADEA, Anul 2012, Numar persoane, 5340
0- 4 ani, Masculin, Bihor, 26804 MUNICIPIUL BEIUS, Anul 2007, Numar persoane, 274
0- 4 ani, Masculin, Bihor, 26804 MUNICIPIUL BEIUS, Anul 2008, Numar persoane, 266
0- 4 ani, Masculin, Bihor, 26804 MUNICIPIUL BEIUS, Anul 2009, Numar persoane, 263
0- 4 ani, Masculin, Bihor, 26804 MUNICIPIUL BEIUS, Anul 2010, Numar persoane, 256
0- 4 ani, Masculin, Bihor, 26804 MUNICIPIUL BEIUS, Anul 2011, Numar persoane, 251
0- 4 ani, Masculin, Bihor, 26804 MUNICIPIUL BEIUS, Anul 2012, Numar persoane, 269
0- 4 ani, Masculin, Bihor, 26877 MUNICIPIUL MARGHITA, Anul 2007, Numar persoane, 536
0- 4 ani, Masculin, Bihor, 26877 MUNICIPIUL MARGHITA, Anul 2008, Numar persoane, 514
0- 4 ani, Masculin, Bihor, 26877 MUNICIPIUL MARGHITA, Anul 2009, Numar persoane, 519
0- 4 ani, Masculin, Bihor, 26877 MUNICIPIUL MARGHITA, Anul 2010, Numar persoane, 522
0- 4 ani, Masculin, Bihor, 26877 MUNICIPIUL MARGHITA, Anul 2011, Numar persoane, 494
0- 4 ani, Masculin, Bihor, 26877 MUNICIPIUL MARGHITA, Anul 2012, Numar persoane, 456
0- 4 ani, Masculin, Bihor, 26975 MUNICIPIUL SALONTA, Anul 2007, Numar persoane, 553
0- 4 ani, Masculin, Bihor, 26975 MUNICIPIUL SALONTA, Anul 2008, Numar persoane, 546
0- 4 ani, Masculin, Bihor, 26975 MUNICIPIUL SALONTA, Anul 2009, Numar persoane, 530
0- 4 ani, Masculin, Bihor, 26975 MUNICIPIUL SALONTA, Anul 2010, Numar persoane, 519
0- 4 ani, Masculin, Bihor, 26975 MUNICIPIUL SALONTA, Anul 2011, Numar persoane, 484
0- 4 ani, Masculin, Bihor, 26975 MUNICIPIUL SALONTA, Anul 2012, Numar persoane, 451
0- 4 ani, Masculin, Bihor, 26699 ORAS ALESD, Anul 2007, Numar persoane, 335
0- 4 ani, Masculin, Bihor, 26699 ORAS ALESD, Anul 2008, Numar persoane, 320
0- 4 ani, Masculin, Bihor, 26699 ORAS ALESD, Anul 2009, Numar persoane, 314
0- 4 ani, Masculin, Bihor, 26699 ORAS ALESD, Anul 2010, Numar persoane, 320
0- 4 ani, Masculin, Bihor, 26699 ORAS ALESD, Anul 2011, Numar persoane, 338
0- 4 ani, Masculin, Bihor, 26699 ORAS ALESD, Anul 2012, Numar persoane, 331
0- 4 ani, Masculin, Bihor, 26920 ORAS NUCET, Anul 2007, Numar persoane, 53
0- 4 ani, Masculin, Bihor, 26920 ORAS NUCET, Anul 2008, Numar persoane, 53
0- 4 ani, Masculin, Bihor, 26920 ORAS NUCET, Anul 2009, Numar persoane, 51
0- 4 ani, Masculin, Bihor, 26920 ORAS NUCET, Anul 2010, Numar persoane, 49
0- 4 ani, Masculin, Bihor, 26920 ORAS NUCET, Anul 2011, Numar persoane, 44
0- 4 ani, Masculin, Bihor, 26920 ORAS NUCET, Anul 2012, Numar persoane, 53
0- 4 ani, Masculin, Bihor, 30915 ORAS SACUENI, Anul 2007, Numar persoane, 429
0- 4 ani, Masculin, Bihor, 30915 ORAS SACUENI, Anul 2008, Numar persoane, 428
0- 4 ani, Masculin, Bihor, 30915 ORAS SACUENI, Anul 2009, Numar persoane, 427
0- 4 ani, Masculin, Bihor, 30915 ORAS SACUENI, Anul 2010, Numar persoane, 467
0- 4 ani, Masculin, Bihor, 30915 ORAS SACUENI, Anul 2011, Numar persoane, 453
0- 4 ani, Masculin, Bihor, 30915 ORAS SACUENI, Anul 2012, Numar persoane, 462
0- 4 ani, Masculin, Bihor, 26840 ORAS STEI, Anul 2007, Numar persoane, 191
0- 4 ani, Masculin, Bihor, 26840 ORAS STEI, Anul 2008, Numar persoane, 196
0- 4 ani, Masculin, Bihor, 26840 ORAS STEI, Anul 2009, Numar persoane, 191
0- 4 ani, Masculin, Bihor, 26840 ORAS STEI, Anul 2010, Numar persoane, 190
0- 4 ani, Masculin, Bihor, 26840 ORAS STEI, Anul 2011, Numar persoane, 176
0- 4 ani, Masculin, Bihor, 26840 ORAS STEI, Anul 2012, Numar persoane, 173
0- 4 ani, Masculin, Bihor, 32027 ORAS VALEA LUI MIHAI, Anul 2007, Numar persoane, 327
0- 4 ani, Masculin, Bihor, 32027 ORAS VALEA LUI MIHAI, Anul 2008, Numar persoane, 324
0- 4 ani, Masculin, Bihor, 32027 ORAS VALEA LUI MIHAI, Anul 2009, Numar persoane, 330
0- 4 ani, Masculin, Bihor, 32027 ORAS VALEA LUI MIHAI, Anul 2010, Numar persoane, 343
0- 4 ani, Masculin, Bihor, 32027 ORAS VALEA LUI MIHAI, Anul 2011, Numar persoane, 322
0- 4 ani, Masculin, Bihor, 32027 ORAS VALEA LUI MIHAI, Anul 2012, Numar persoane, 290
0- 4 ani, Masculin, Bihor, 27007 ORAS VASCAU, Anul 2007, Numar persoane, 50
0- 4 ani, Masculin, Bihor, 27007 ORAS VASCAU, Anul 2008, Numar persoane, 50
0- 4 ani, Masculin, Bihor, 27007 ORAS VASCAU, Anul 2009, Numar persoane, 56
0- 4 ani, Masculin, Bihor, 27007 ORAS VASCAU, Anul 2010, Numar persoane, 56
0- 4 ani, Masculin, Bihor, 27007 ORAS VASCAU, Anul 2011, Numar persoane, 58
0- 4 ani, Masculin, Bihor, 27007 ORAS VASCAU, Anul 2012, Numar persoane, 46
0- 4 ani, Masculin, Bihor, 27070 ABRAM, Anul 2007, Numar persoane, 91
0- 4 ani, Masculin, Bihor, 27070 ABRAM, Anul 2008, Numar persoane, 92
0- 4 ani, Masculin, Bihor, 27070 ABRAM, Anul 2009, Numar persoane, 99
0- 4 ani, Masculin, Bihor, 27070 ABRAM, Anul 2010, Numar persoane, 101
0- 4 ani, Masculin, Bihor, 27070 ABRAM, Anul 2011, Numar persoane, 93
0- 4 ani, Masculin, Bihor, 27070 ABRAM, Anul 2012, Numar persoane, 78
0- 4 ani, Masculin, Bihor, 27169 ABRAMUT, Anul 2007, Numar persoane, 111
0- 4 ani, Masculin, Bihor, 27169 ABRAMUT, Anul 2008, Numar persoane, 97
0- 4 ani, Masculin, Bihor, 27169 ABRAMUT, Anul 2009, Numar persoane, 83
0- 4 ani, Masculin, Bihor, 27169 ABRAMUT, Anul 2010, Numar persoane, 82
0- 4 ani, Masculin, Bihor, 27169 ABRAMUT, Anul 2011, Numar persoane, 82
0- 4 ani, Masculin, Bihor, 27169 ABRAMUT, Anul 2012, Numar persoane, 83
0- 4 ani, Masculin, Bihor, 26742 ASTILEU, Anul 2007, Numar persoane, 90
0- 4 ani, Masculin, Bihor, 26742 ASTILEU, Anul 2008, Numar persoane, 97
0- 4 ani, Masculin, Bihor, 26742 ASTILEU, Anul 2009, Numar persoane, 107
0- 4 ani, Masculin, Bihor, 26742 ASTILEU, Anul 2010, Numar persoane, 106
0- 4 ani, Masculin, Bihor, 26742 ASTILEU, Anul 2011, Numar persoane, 98
0- 4 ani, Masculin, Bihor, 26742 ASTILEU, Anul 2012, Numar persoane, 100
