
Varste si grupe de varsta, Sexe, Judete, Localitati , Ani, UM: Numar persoane, Valoare
0- 4 ani, Feminin, Harghita, 83320 MUNICIPIUL MIERCUREA CIUC, Anul 1992, Numar persoane, 1622
0- 4 ani, Feminin, Harghita, 83320 MUNICIPIUL MIERCUREA CIUC, Anul 1993, Numar persoane, 1500
0- 4 ani, Feminin, Harghita, 83320 MUNICIPIUL MIERCUREA CIUC, Anul 1994, Numar persoane, 1351
0- 4 ani, Feminin, Harghita, 83320 MUNICIPIUL MIERCUREA CIUC, Anul 1995, Numar persoane, 1231
0- 4 ani, Feminin, Harghita, 83320 MUNICIPIUL MIERCUREA CIUC, Anul 1996, Numar persoane, 1175
0- 4 ani, Feminin, Harghita, 83320 MUNICIPIUL MIERCUREA CIUC, Anul 1997, Numar persoane, 1118
0- 4 ani, Feminin, Harghita, 83320 MUNICIPIUL MIERCUREA CIUC, Anul 1998, Numar persoane, 1105
0- 4 ani, Feminin, Harghita, 83320 MUNICIPIUL MIERCUREA CIUC, Anul 1999, Numar persoane, 1076
0- 4 ani, Feminin, Harghita, 83320 MUNICIPIUL MIERCUREA CIUC, Anul 2000, Numar persoane, 1035
0- 4 ani, Feminin, Harghita, 83320 MUNICIPIUL MIERCUREA CIUC, Anul 2001, Numar persoane, 1020
0- 4 ani, Feminin, Harghita, 83320 MUNICIPIUL MIERCUREA CIUC, Anul 2002, Numar persoane, 1045
0- 4 ani, Feminin, Harghita, 83320 MUNICIPIUL MIERCUREA CIUC, Anul 2003, Numar persoane, 1008
0- 4 ani, Feminin, Harghita, 83320 MUNICIPIUL MIERCUREA CIUC, Anul 2004, Numar persoane, 1037
0- 4 ani, Feminin, Harghita, 83320 MUNICIPIUL MIERCUREA CIUC, Anul 2005, Numar persoane, 1042
0- 4 ani, Feminin, Harghita, 83320 MUNICIPIUL MIERCUREA CIUC, Anul 2006, Numar persoane, 1068
0- 4 ani, Feminin, Harghita, 83561 MUNICIPIUL  GHEORGHENI, Anul 1992, Numar persoane, 833
0- 4 ani, Feminin, Harghita, 83561 MUNICIPIUL  GHEORGHENI, Anul 1993, Numar persoane, 734
0- 4 ani, Feminin, Harghita, 83561 MUNICIPIUL  GHEORGHENI, Anul 1994, Numar persoane, 689
0- 4 ani, Feminin, Harghita, 83561 MUNICIPIUL  GHEORGHENI, Anul 1995, Numar persoane, 612
0- 4 ani, Feminin, Harghita, 83561 MUNICIPIUL  GHEORGHENI, Anul 1996, Numar persoane, 539
0- 4 ani, Feminin, Harghita, 83561 MUNICIPIUL  GHEORGHENI, Anul 1997, Numar persoane, 497
0- 4 ani, Feminin, Harghita, 83561 MUNICIPIUL  GHEORGHENI, Anul 1998, Numar persoane, 519
0- 4 ani, Feminin, Harghita, 83561 MUNICIPIUL  GHEORGHENI, Anul 1999, Numar persoane, 518
0- 4 ani, Feminin, Harghita, 83561 MUNICIPIUL  GHEORGHENI, Anul 2000, Numar persoane, 508
0- 4 ani, Feminin, Harghita, 83561 MUNICIPIUL  GHEORGHENI, Anul 2001, Numar persoane, 524
0- 4 ani, Feminin, Harghita, 83561 MUNICIPIUL  GHEORGHENI, Anul 2002, Numar persoane, 520
0- 4 ani, Feminin, Harghita, 83561 MUNICIPIUL  GHEORGHENI, Anul 2003, Numar persoane, 489
0- 4 ani, Feminin, Harghita, 83561 MUNICIPIUL  GHEORGHENI, Anul 2004, Numar persoane, 453
0- 4 ani, Feminin, Harghita, 83561 MUNICIPIUL  GHEORGHENI, Anul 2005, Numar persoane, 438
0- 4 ani, Feminin, Harghita, 83561 MUNICIPIUL  GHEORGHENI, Anul 2006, Numar persoane, 440
0- 4 ani, Feminin, Harghita, 83632 MUNICIPIUL  TOPLITA, Anul 1992, Numar persoane, 783
0- 4 ani, Feminin, Harghita, 83632 MUNICIPIUL  TOPLITA, Anul 1993, Numar persoane, 721
0- 4 ani, Feminin, Harghita, 83632 MUNICIPIUL  TOPLITA, Anul 1994, Numar persoane, 665
0- 4 ani, Feminin, Harghita, 83632 MUNICIPIUL  TOPLITA, Anul 1995, Numar persoane, 571
0- 4 ani, Feminin, Harghita, 83632 MUNICIPIUL  TOPLITA, Anul 1996, Numar persoane, 496
0- 4 ani, Feminin, Harghita, 83632 MUNICIPIUL  TOPLITA, Anul 1997, Numar persoane, 450
0- 4 ani, Feminin, Harghita, 83632 MUNICIPIUL  TOPLITA, Anul 1998, Numar persoane, 426
0- 4 ani, Feminin, Harghita, 83632 MUNICIPIUL  TOPLITA, Anul 1999, Numar persoane, 425
0- 4 ani, Feminin, Harghita, 83632 MUNICIPIUL  TOPLITA, Anul 2000, Numar persoane, 434
0- 4 ani, Feminin, Harghita, 83632 MUNICIPIUL  TOPLITA, Anul 2001, Numar persoane, 440
0- 4 ani, Feminin, Harghita, 83632 MUNICIPIUL  TOPLITA, Anul 2002, Numar persoane, 445
0- 4 ani, Feminin, Harghita, 83632 MUNICIPIUL  TOPLITA, Anul 2003, Numar persoane, 454
0- 4 ani, Feminin, Harghita, 83632 MUNICIPIUL  TOPLITA, Anul 2004, Numar persoane, 443
0- 4 ani, Feminin, Harghita, 83632 MUNICIPIUL  TOPLITA, Anul 2005, Numar persoane, 446
0- 4 ani, Feminin, Harghita, 83632 MUNICIPIUL  TOPLITA, Anul 2006, Numar persoane, 448
0- 4 ani, Feminin, Harghita, 83133 MUNICIPIUL ODORHEIU SECUIESC, Anul 1992, Numar persoane, 1408
0- 4 ani, Feminin, Harghita, 83133 MUNICIPIUL ODORHEIU SECUIESC, Anul 1993, Numar persoane, 1327
