
Judete, Localitati , Ani, UM: Numar persoane, Valoare
Brasov, 40198 MUNICIPIUL BRASOV, Anul 1990, Numar persoane, 2280
Brasov, 40198 MUNICIPIUL BRASOV, Anul 1991, Numar persoane, 2249
Brasov, 40198 MUNICIPIUL BRASOV, Anul 1992, Numar persoane, 2357
Brasov, 40198 MUNICIPIUL BRASOV, Anul 1993, Numar persoane, 2591
Brasov, 40198 MUNICIPIUL BRASOV, Anul 1994, Numar persoane, 2528
Brasov, 40198 MUNICIPIUL BRASOV, Anul 1995, Numar persoane, 2684
Brasov, 40198 MUNICIPIUL BRASOV, Anul 1996, Numar persoane, 2670
Brasov, 40198 MUNICIPIUL BRASOV, Anul 1997, Numar persoane, 2736
Brasov, 40198 MUNICIPIUL BRASOV, Anul 1998, Numar persoane, 2741
Brasov, 40198 MUNICIPIUL BRASOV, Anul 1999, Numar persoane, 2646
Brasov, 40198 MUNICIPIUL BRASOV, Anul 2000, Numar persoane, 2571
Brasov, 40198 MUNICIPIUL BRASOV, Anul 2001, Numar persoane, 2595
Brasov, 40198 MUNICIPIUL BRASOV, Anul 2002, Numar persoane, 2730
Brasov, 40198 MUNICIPIUL BRASOV, Anul 2003, Numar persoane, 2634
Brasov, 40198 MUNICIPIUL BRASOV, Anul 2004, Numar persoane, 2598
Brasov, 40198 MUNICIPIUL BRASOV, Anul 2005, Numar persoane, 2602
Brasov, 40198 MUNICIPIUL BRASOV, Anul 2006, Numar persoane, 2726
Brasov, 40198 MUNICIPIUL BRASOV, Anul 2007, Numar persoane, 2551
Brasov, 40198 MUNICIPIUL BRASOV, Anul 2008, Numar persoane, 2651
Brasov, 40198 MUNICIPIUL BRASOV, Anul 2009, Numar persoane, 2638
Brasov, 40198 MUNICIPIUL BRASOV, Anul 2010, Numar persoane, 2612
Brasov, 40198 MUNICIPIUL BRASOV, Anul 2011, Numar persoane, 2588
Brasov, 40198 MUNICIPIUL BRASOV, Anul 2012, Numar persoane, 2662
Brasov, 40198 MUNICIPIUL BRASOV, Anul 2013, Numar persoane, 2771
Brasov, 40198 MUNICIPIUL BRASOV, Anul 2014, Numar persoane, 2780
Brasov, 40198 MUNICIPIUL BRASOV, Anul 2015, Numar persoane, 2923
Brasov, 40198 MUNICIPIUL BRASOV, Anul 2016, Numar persoane, 2829
Brasov, 40241 MUNICIPIUL CODLEA, Anul 1990, Numar persoane, 147
Brasov, 40241 MUNICIPIUL CODLEA, Anul 1991, Numar persoane, 144
Brasov, 40241 MUNICIPIUL CODLEA, Anul 1992, Numar persoane, 142
Brasov, 40241 MUNICIPIUL CODLEA, Anul 1993, Numar persoane, 140
Brasov, 40241 MUNICIPIUL CODLEA, Anul 1994, Numar persoane, 169
Brasov, 40241 MUNICIPIUL CODLEA, Anul 1995, Numar persoane, 139
Brasov, 40241 MUNICIPIUL CODLEA, Anul 1996, Numar persoane, 159
Brasov, 40241 MUNICIPIUL CODLEA, Anul 1997, Numar persoane, 153
