
Judete, Localitati , Ani, UM: Numar, Valoare
Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 1990, Numar, 1234
Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 1991, Numar, 1149
Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 1992, Numar, 1061
Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 1993, Numar, 945
Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 1994, Numar, 892
Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 1995, Numar, 882
Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 1996, Numar, 892
Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 1997, Numar, 947
Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 1998, Numar, 965
Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 1999, Numar, 959
Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 2000, Numar, 933
Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 2001, Numar, 861
Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 2002, Numar, 910
Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 2003, Numar, 904
Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 2004, Numar, 1064
Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 2005, Numar, 992
Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 2006, Numar, 935
Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 2007, Numar, 972
Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 2008, Numar, 871
Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 2009, Numar, 834
Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 2010, Numar, 763
Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 2011, Numar, 730
Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 2012, Numar, 758
Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 2013, Numar, 734
Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 2014, Numar, 675
Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 2015, Numar, 761
Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 2016, Numar, 740
Satu Mare, 136526 MUNICIPIUL CAREI, Anul 1990, Numar, 233
Satu Mare, 136526 MUNICIPIUL CAREI, Anul 1991, Numar, 222
Satu Mare, 136526 MUNICIPIUL CAREI, Anul 1992, Numar, 195
Satu Mare, 136526 MUNICIPIUL CAREI, Anul 1993, Numar, 181
Satu Mare, 136526 MUNICIPIUL CAREI, Anul 1994, Numar, 167
Satu Mare, 136526 MUNICIPIUL CAREI, Anul 1995, Numar, 177
Satu Mare, 136526 MUNICIPIUL CAREI, Anul 1996, Numar, 177
Satu Mare, 136526 MUNICIPIUL CAREI, Anul 1997, Numar, 181
Satu Mare, 136526 MUNICIPIUL CAREI, Anul 1998, Numar, 155
Satu Mare, 136526 MUNICIPIUL CAREI, Anul 1999, Numar, 145
Satu Mare, 136526 MUNICIPIUL CAREI, Anul 2000, Numar, 137
Satu Mare, 136526 MUNICIPIUL CAREI, Anul 2001, Numar, 131
Satu Mare, 136526 MUNICIPIUL CAREI, Anul 2002, Numar, 130
Satu Mare, 136526 MUNICIPIUL CAREI, Anul 2003, Numar, 139
Satu Mare, 136526 MUNICIPIUL CAREI, Anul 2004, Numar, 161
Satu Mare, 136526 MUNICIPIUL CAREI, Anul 2005, Numar, 165
Satu Mare, 136526 MUNICIPIUL CAREI, Anul 2006, Numar, 128
Satu Mare, 136526 MUNICIPIUL CAREI, Anul 2007, Numar, 159
Satu Mare, 136526 MUNICIPIUL CAREI, Anul 2008, Numar, 150
Satu Mare, 136526 MUNICIPIUL CAREI, Anul 2009, Numar, 123
Satu Mare, 136526 MUNICIPIUL CAREI, Anul 2010, Numar, 118
Satu Mare, 136526 MUNICIPIUL CAREI, Anul 2011, Numar, 98
Satu Mare, 136526 MUNICIPIUL CAREI, Anul 2012, Numar, 104
Satu Mare, 136526 MUNICIPIUL CAREI, Anul 2013, Numar, 139
Satu Mare, 136526 MUNICIPIUL CAREI, Anul 2014, Numar, 129
Satu Mare, 136526 MUNICIPIUL CAREI, Anul 2015, Numar, 142
Satu Mare, 136526 MUNICIPIUL CAREI, Anul 2016, Numar, 148
Satu Mare, 136848 ORAS ARDUD, Anul 1990, Numar, 55
Satu Mare, 136848 ORAS ARDUD, Anul 1991, Numar, 57
Satu Mare, 136848 ORAS ARDUD, Anul 1992, Numar, 54
Satu Mare, 136848 ORAS ARDUD, Anul 1993, Numar, 35
Satu Mare, 136848 ORAS ARDUD, Anul 1994, Numar, 39
Satu Mare, 136848 ORAS ARDUD, Anul 1995, Numar, 40
Satu Mare, 136848 ORAS ARDUD, Anul 1996, Numar, 34
Satu Mare, 136848 ORAS ARDUD, Anul 1997, Numar, 52
Satu Mare, 136848 ORAS ARDUD, Anul 1998, Numar, 35
Satu Mare, 136848 ORAS ARDUD, Anul 1999, Numar, 37
Satu Mare, 136848 ORAS ARDUD, Anul 2000, Numar, 38
Satu Mare, 136848 ORAS ARDUD, Anul 2001, Numar, 39
Satu Mare, 136848 ORAS ARDUD, Anul 2002, Numar, 35
Satu Mare, 136848 ORAS ARDUD, Anul 2003, Numar, 42
Satu Mare, 136848 ORAS ARDUD, Anul 2004, Numar, 42
Satu Mare, 136848 ORAS ARDUD, Anul 2005, Numar, 40
Satu Mare, 136848 ORAS ARDUD, Anul 2006, Numar, 54
Satu Mare, 136848 ORAS ARDUD, Anul 2007, Numar, 83
Satu Mare, 136848 ORAS ARDUD, Anul 2008, Numar, 46
Satu Mare, 136848 ORAS ARDUD, Anul 2009, Numar, 44
Satu Mare, 136848 ORAS ARDUD, Anul 2010, Numar, 35
Satu Mare, 136848 ORAS ARDUD, Anul 2011, Numar, 36
Satu Mare, 136848 ORAS ARDUD, Anul 2012, Numar, 36
Satu Mare, 136848 ORAS ARDUD, Anul 2013, Numar, 28
Satu Mare, 136848 ORAS ARDUD, Anul 2014, Numar, 43
Satu Mare, 136848 ORAS ARDUD, Anul 2015, Numar, 51
Satu Mare, 136848 ORAS ARDUD, Anul 2016, Numar, 45
Satu Mare, 138039 ORAS LIVADA, Anul 1990, Numar, 53
Satu Mare, 138039 ORAS LIVADA, Anul 1991, Numar, 65
