
Judete, Localitati , Ani, UM: Numar, Valoare
Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 1990, Numar, 339
Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 1991, Numar, 376
Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 1992, Numar, 270
Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 1993, Numar, 297
Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 1994, Numar, 280
Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 1995, Numar, 284
Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 1996, Numar, 378
Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 1997, Numar, 364
Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 1998, Numar, 372
Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 1999, Numar, 312
Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 2000, Numar, 318
Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 2001, Numar, 373
Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 2002, Numar, 400
Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 2003, Numar, 349
Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 2004, Numar, 342
Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 2005, Numar, 335
Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 2006, Numar, 298
Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 2007, Numar, 413
Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 2008, Numar, 298
Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 2009, Numar, 285
Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 2010, Numar, 321
Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 2011, Numar, 254
Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 2012, Numar, 262
Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 2013, Numar, 250
Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 2014, Numar, 240
Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 2015, Numar, 316
Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 2016, Numar, 290
Satu Mare, 136526 MUNICIPIUL CAREI, Anul 1990, Numar, 57
Satu Mare, 136526 MUNICIPIUL CAREI, Anul 1991, Numar, 65
Satu Mare, 136526 MUNICIPIUL CAREI, Anul 1992, Numar, 42
Satu Mare, 136526 MUNICIPIUL CAREI, Anul 1993, Numar, 60
Satu Mare, 136526 MUNICIPIUL CAREI, Anul 1994, Numar, 65
Satu Mare, 136526 MUNICIPIUL CAREI, Anul 1995, Numar, 77
Satu Mare, 136526 MUNICIPIUL CAREI, Anul 1996, Numar, 68
Satu Mare, 136526 MUNICIPIUL CAREI, Anul 1997, Numar, 68
Satu Mare, 136526 MUNICIPIUL CAREI, Anul 1998, Numar, 57
Satu Mare, 136526 MUNICIPIUL CAREI, Anul 1999, Numar, 59
Satu Mare, 136526 MUNICIPIUL CAREI, Anul 2000, Numar, 61
Satu Mare, 136526 MUNICIPIUL CAREI, Anul 2001, Numar, 55
Satu Mare, 136526 MUNICIPIUL CAREI, Anul 2002, Numar, 64
Satu Mare, 136526 MUNICIPIUL CAREI, Anul 2003, Numar, 69
Satu Mare, 136526 MUNICIPIUL CAREI, Anul 2004, Numar, 61
Satu Mare, 136526 MUNICIPIUL CAREI, Anul 2005, Numar, 54
Satu Mare, 136526 MUNICIPIUL CAREI, Anul 2006, Numar, 50
Satu Mare, 136526 MUNICIPIUL CAREI, Anul 2007, Numar, 39
Satu Mare, 136526 MUNICIPIUL CAREI, Anul 2008, Numar, 55
Satu Mare, 136526 MUNICIPIUL CAREI, Anul 2009, Numar, 45
Satu Mare, 136526 MUNICIPIUL CAREI, Anul 2010, Numar, 44
Satu Mare, 136526 MUNICIPIUL CAREI, Anul 2011, Numar, 46
Satu Mare, 136526 MUNICIPIUL CAREI, Anul 2012, Numar, 35
Satu Mare, 136526 MUNICIPIUL CAREI, Anul 2013, Numar, 27
Satu Mare, 136526 MUNICIPIUL CAREI, Anul 2014, Numar, 41
Satu Mare, 136526 MUNICIPIUL CAREI, Anul 2015, Numar, 38
Satu Mare, 136526 MUNICIPIUL CAREI, Anul 2016, Numar, 24
Satu Mare, 136848 ORAS ARDUD, Anul 1990, Numar, 4
Satu Mare, 136848 ORAS ARDUD, Anul 1991, Numar, 5
Satu Mare, 136848 ORAS ARDUD, Anul 1992, Numar, 4
Satu Mare, 136848 ORAS ARDUD, Anul 1993, Numar, 4
Satu Mare, 136848 ORAS ARDUD, Anul 1994, Numar, 7
Satu Mare, 136848 ORAS ARDUD, Anul 1995, Numar, 6
Satu Mare, 136848 ORAS ARDUD, Anul 1996, Numar, 5
Satu Mare, 136848 ORAS ARDUD, Anul 1997, Numar, 8
Satu Mare, 136848 ORAS ARDUD, Anul 1998, Numar, 6
Satu Mare, 136848 ORAS ARDUD, Anul 1999, Numar, 4
Satu Mare, 136848 ORAS ARDUD, Anul 2000, Numar, 1
Satu Mare, 136848 ORAS ARDUD, Anul 2001, Numar, 7
Satu Mare, 136848 ORAS ARDUD, Anul 2002, Numar, 2
Satu Mare, 136848 ORAS ARDUD, Anul 2003, Numar, 6
Satu Mare, 136848 ORAS ARDUD, Anul 2004, Numar, 7
Satu Mare, 136848 ORAS ARDUD, Anul 2005, Numar, 7
Satu Mare, 136848 ORAS ARDUD, Anul 2006, Numar, 7
Satu Mare, 136848 ORAS ARDUD, Anul 2007, Numar, 14
Satu Mare, 136848 ORAS ARDUD, Anul 2008, Numar, 12
Satu Mare, 136848 ORAS ARDUD, Anul 2009, Numar, 9
Satu Mare, 136848 ORAS ARDUD, Anul 2010, Numar, 12
Satu Mare, 136848 ORAS ARDUD, Anul 2011, Numar, 8
Satu Mare, 136848 ORAS ARDUD, Anul 2012, Numar, 7
Satu Mare, 136848 ORAS ARDUD, Anul 2013, Numar, 9
Satu Mare, 136848 ORAS ARDUD, Anul 2014, Numar, 6
Satu Mare, 136848 ORAS ARDUD, Anul 2015, Numar, 9
Satu Mare, 136848 ORAS ARDUD, Anul 2016, Numar, 8
Satu Mare, 138039 ORAS LIVADA, Anul 1990, Numar, 3
Satu Mare, 138039 ORAS LIVADA, Anul 1991, Numar, 7
Satu Mare, 138039 ORAS LIVADA, Anul 1992, Numar, 4
Satu Mare, 138039 ORAS LIVADA, Anul 1993, Numar, 6
Satu Mare, 138039 ORAS LIVADA, Anul 1994, Numar, 8
Satu Mare, 138039 ORAS LIVADA, Anul 1995, Numar, 4
Satu Mare, 138039 ORAS LIVADA, Anul 1996, Numar, 7
Satu Mare, 138039 ORAS LIVADA, Anul 1997, Numar, 7
Satu Mare, 138039 ORAS LIVADA, Anul 1998, Numar, 7
Satu Mare, 138039 ORAS LIVADA, Anul 1999, Numar, 9
Satu Mare, 138039 ORAS LIVADA, Anul 2000, Numar, 4
Satu Mare, 138039 ORAS LIVADA, Anul 2001, Numar, 7
Satu Mare, 138039 ORAS LIVADA, Anul 2002, Numar, 4
Satu Mare, 138039 ORAS LIVADA, Anul 2003, Numar, 10
Satu Mare, 138039 ORAS LIVADA, Anul 2004, Numar, 12
Satu Mare, 138039 ORAS LIVADA, Anul 2005, Numar, 8
Satu Mare, 138039 ORAS LIVADA, Anul 2006, Numar, 11
Satu Mare, 138039 ORAS LIVADA, Anul 2007, Numar, 12
Satu Mare, 138039 ORAS LIVADA, Anul 2008, Numar, 9
Satu Mare, 138039 ORAS LIVADA, Anul 2009, Numar, 6
Satu Mare, 138039 ORAS LIVADA, Anul 2010, Numar, 9
Satu Mare, 138039 ORAS LIVADA, Anul 2011, Numar, 5
Satu Mare, 138039 ORAS LIVADA, Anul 2012, Numar, 12
Satu Mare, 138039 ORAS LIVADA, Anul 2013, Numar, 11
Satu Mare, 138039 ORAS LIVADA, Anul 2014, Numar, 4
Satu Mare, 138039 ORAS LIVADA, Anul 2015, Numar, 13
Satu Mare, 138039 ORAS LIVADA, Anul 2016, Numar, 9
Satu Mare, 136599 ORAS NEGRESTI-OAS, Anul 1990, Numar, 14
Satu Mare, 136599 ORAS NEGRESTI-OAS, Anul 1991, Numar, 25
Satu Mare, 136599 ORAS NEGRESTI-OAS, Anul 1992, Numar, 26
Satu Mare, 136599 ORAS NEGRESTI-OAS, Anul 1993, Numar, 14
Satu Mare, 136599 ORAS NEGRESTI-OAS, Anul 1994, Numar, 29
Satu Mare, 136599 ORAS NEGRESTI-OAS, Anul 1995, Numar, 24
Satu Mare, 136599 ORAS NEGRESTI-OAS, Anul 1996, Numar, 32
Satu Mare, 136599 ORAS NEGRESTI-OAS, Anul 1997, Numar, 44
Satu Mare, 136599 ORAS NEGRESTI-OAS, Anul 1998, Numar, 65
Satu Mare, 136599 ORAS NEGRESTI-OAS, Anul 1999, Numar, 60
Satu Mare, 136599 ORAS NEGRESTI-OAS, Anul 2000, Numar, 47
Satu Mare, 136599 ORAS NEGRESTI-OAS, Anul 2001, Numar, 62
Satu Mare, 136599 ORAS NEGRESTI-OAS, Anul 2002, Numar, 83
Satu Mare, 136599 ORAS NEGRESTI-OAS, Anul 2003, Numar, 79
Satu Mare, 136599 ORAS NEGRESTI-OAS, Anul 2004, Numar, 60
Satu Mare, 136599 ORAS NEGRESTI-OAS, Anul 2005, Numar, 59
Satu Mare, 136599 ORAS NEGRESTI-OAS, Anul 2006, Numar, 57
Satu Mare, 136599 ORAS NEGRESTI-OAS, Anul 2007, Numar, 45
Satu Mare, 136599 ORAS NEGRESTI-OAS, Anul 2008, Numar, 44
Satu Mare, 136599 ORAS NEGRESTI-OAS, Anul 2009, Numar, 45
Satu Mare, 136599 ORAS NEGRESTI-OAS, Anul 2010, Numar, 50
Satu Mare, 136599 ORAS NEGRESTI-OAS, Anul 2011, Numar, 34
Satu Mare, 136599 ORAS NEGRESTI-OAS, Anul 2012, Numar, 37
