
Grupe de varsta a sotului , Grupa de varsta a sotiei, Ani, UM: Numar, Valoare
Varsta sotului sub 20 ani, Varsta sotiei sub 20 ani, Anul 1990, Numar, 16
Varsta sotului sub 20 ani, Varsta sotiei sub 20 ani, Anul 1991, Numar, 22
Varsta sotului sub 20 ani, Varsta sotiei sub 20 ani, Anul 1992, Numar, 10
Varsta sotului sub 20 ani, Varsta sotiei sub 20 ani, Anul 1993, Numar, 26
Varsta sotului sub 20 ani, Varsta sotiei sub 20 ani, Anul 1994, Numar, 19
Varsta sotului sub 20 ani, Varsta sotiei sub 20 ani, Anul 1995, Numar, 19
Varsta sotului sub 20 ani, Varsta sotiei sub 20 ani, Anul 1996, Numar, 18
Varsta sotului sub 20 ani, Varsta sotiei sub 20 ani, Anul 1997, Numar, 18
Varsta sotului sub 20 ani, Varsta sotiei sub 20 ani, Anul 1998, Numar, 21
Varsta sotului sub 20 ani, Varsta sotiei sub 20 ani, Anul 1999, Numar, 13
Varsta sotului sub 20 ani, Varsta sotiei sub 20 ani, Anul 2000, Numar, 9
Varsta sotului sub 20 ani, Varsta sotiei sub 20 ani, Anul 2001, Numar, 8
Varsta sotului sub 20 ani, Varsta sotiei sub 20 ani, Anul 2002, Numar, 4
Varsta sotului sub 20 ani, Varsta sotiei sub 20 ani, Anul 2003, Numar, 15
Varsta sotului sub 20 ani, Varsta sotiei sub 20 ani, Anul 2004, Numar, 4
Varsta sotului sub 20 ani, Varsta sotiei sub 20 ani, Anul 2005, Numar, 10
Varsta sotului sub 20 ani, Varsta sotiei sub 20 ani, Anul 2006, Numar, 20
Varsta sotului sub 20 ani, Varsta sotiei sub 20 ani, Anul 2007, Numar, 16
Varsta sotului sub 20 ani, Varsta sotiei sub 20 ani, Anul 2008, Numar, 11
Varsta sotului sub 20 ani, Varsta sotiei sub 20 ani, Anul 2009, Numar, 6
Varsta sotului sub 20 ani, Varsta sotiei sub 20 ani, Anul 2010, Numar, 5
Varsta sotului sub 20 ani, Varsta sotiei sub 20 ani, Anul 2011, Numar, 3
Varsta sotului sub 20 ani, Varsta sotiei sub 20 ani, Anul 2012, Numar, 1
Varsta sotului sub 20 ani, Varsta sotiei sub 20 ani, Anul 2013, Numar, 4
Varsta sotului sub 20 ani, Varsta sotiei sub 20 ani, Anul 2014, Numar, 1
Varsta sotului sub 20 ani, Varsta sotiei sub 20 ani, Anul 2015, Numar, 4
Varsta sotului sub 20 ani, Varsta sotiei sub 20 ani, Anul 2016, Numar, 3
Varsta sotului sub 20 ani, Varsta sotiei 20-24 ani, Anul 1990, Numar, 12
Varsta sotului sub 20 ani, Varsta sotiei 20-24 ani, Anul 1991, Numar, 19
Varsta sotului sub 20 ani, Varsta sotiei 20-24 ani, Anul 1992, Numar, 7
Varsta sotului sub 20 ani, Varsta sotiei 20-24 ani, Anul 1993, Numar, 25
Varsta sotului sub 20 ani, Varsta sotiei 20-24 ani, Anul 1994, Numar, 17
Varsta sotului sub 20 ani, Varsta sotiei 20-24 ani, Anul 1995, Numar, 19
Varsta sotului sub 20 ani, Varsta sotiei 20-24 ani, Anul 1996, Numar, 12
Varsta sotului sub 20 ani, Varsta sotiei 20-24 ani, Anul 1997, Numar, 11
Varsta sotului sub 20 ani, Varsta sotiei 20-24 ani, Anul 1998, Numar, 12
Varsta sotului sub 20 ani, Varsta sotiei 20-24 ani, Anul 1999, Numar, 10
Varsta sotului sub 20 ani, Varsta sotiei 20-24 ani, Anul 2000, Numar, 16
Varsta sotului sub 20 ani, Varsta sotiei 20-24 ani, Anul 2001, Numar, 6
Varsta sotului sub 20 ani, Varsta sotiei 20-24 ani, Anul 2002, Numar, 9
Varsta sotului sub 20 ani, Varsta sotiei 20-24 ani, Anul 2003, Numar, 8
Varsta sotului sub 20 ani, Varsta sotiei 20-24 ani, Anul 2004, Numar, 12
Varsta sotului sub 20 ani, Varsta sotiei 20-24 ani, Anul 2005, Numar, 8
Varsta sotului sub 20 ani, Varsta sotiei 20-24 ani, Anul 2006, Numar, 16
Varsta sotului sub 20 ani, Varsta sotiei 20-24 ani, Anul 2007, Numar, 13
Varsta sotului sub 20 ani, Varsta sotiei 20-24 ani, Anul 2008, Numar, 4
Varsta sotului sub 20 ani, Varsta sotiei 20-24 ani, Anul 2009, Numar, 9
Varsta sotului sub 20 ani, Varsta sotiei 20-24 ani, Anul 2010, Numar, 4
Varsta sotului sub 20 ani, Varsta sotiei 20-24 ani, Anul 2011, Numar, 5
Varsta sotului sub 20 ani, Varsta sotiei 20-24 ani, Anul 2013, Numar, 3
Varsta sotului sub 20 ani, Varsta sotiei 20-24 ani, Anul 2014, Numar, 1
Varsta sotului sub 20 ani, Varsta sotiei 20-24 ani, Anul 2015, Numar, 1
Varsta sotului sub 20 ani, Varsta sotiei 25-29 ani, Anul 1990, Numar, 1
Varsta sotului sub 20 ani, Varsta sotiei 25-29 ani, Anul 1993, Numar, 1
Varsta sotului sub 20 ani, Varsta sotiei 25-29 ani, Anul 1994, Numar, 1
Varsta sotului sub 20 ani, Varsta sotiei 25-29 ani, Anul 1995, Numar, 2
Varsta sotului sub 20 ani, Varsta sotiei 25-29 ani, Anul 1996, Numar, 1
Varsta sotului sub 20 ani, Varsta sotiei 25-29 ani, Anul 1997, Numar, 2
Varsta sotului sub 20 ani, Varsta sotiei 25-29 ani, Anul 1998, Numar, 1
Varsta sotului sub 20 ani, Varsta sotiei 25-29 ani, Anul 2000, Numar, 4
Varsta sotului sub 20 ani, Varsta sotiei 25-29 ani, Anul 2002, Numar, 2
Varsta sotului sub 20 ani, Varsta sotiei 25-29 ani, Anul 2004, Numar, 6
Varsta sotului sub 20 ani, Varsta sotiei 25-29 ani, Anul 2005, Numar, 6
Varsta sotului sub 20 ani, Varsta sotiei 25-29 ani, Anul 2006, Numar, 4
Varsta sotului sub 20 ani, Varsta sotiei 25-29 ani, Anul 2007, Numar, 9
Varsta sotului sub 20 ani, Varsta sotiei 25-29 ani, Anul 2008, Numar, 2
Varsta sotului sub 20 ani, Varsta sotiei 25-29 ani, Anul 2011, Numar, 1
Varsta sotului sub 20 ani, Varsta sotiei 30-34 ani, Anul 1990, Numar, 2
Varsta sotului sub 20 ani, Varsta sotiei 30-34 ani, Anul 1991, Numar, 1
Varsta sotului sub 20 ani, Varsta sotiei 30-34 ani, Anul 1993, Numar, 2
Varsta sotului sub 20 ani, Varsta sotiei 30-34 ani, Anul 1998, Numar, 1
Varsta sotului sub 20 ani, Varsta sotiei 30-34 ani, Anul 2000, Numar, 2
Varsta sotului sub 20 ani, Varsta sotiei 30-34 ani, Anul 2001, Numar, 2
Varsta sotului sub 20 ani, Varsta sotiei 30-34 ani, Anul 2003, Numar, 1
Varsta sotului sub 20 ani, Varsta sotiei 30-34 ani, Anul 2004, Numar, 3
Varsta sotului sub 20 ani, Varsta sotiei 30-34 ani, Anul 2005, Numar, 4
Varsta sotului sub 20 ani, Varsta sotiei 30-34 ani, Anul 2006, Numar, 6
Varsta sotului sub 20 ani, Varsta sotiei 30-34 ani, Anul 2007, Numar, 3
Varsta sotului sub 20 ani, Varsta sotiei 30-34 ani, Anul 2008, Numar, 2
Varsta sotului sub 20 ani, Varsta sotiei 35-39 ani, Anul 2003, Numar, 1
Varsta sotului sub 20 ani, Varsta sotiei 35-39 ani, Anul 2005, Numar, 1
Varsta sotului sub 20 ani, Varsta sotiei 35-39 ani, Anul 2006, Numar, 1
