
Judete, Localitati , Ani, UM: Numar persoane, Valoare
Mures, 114319 MUNICIPIUL TIRGU MURES, Anul 1990, Numar persoane, 2417
Mures, 114319 MUNICIPIUL TIRGU MURES, Anul 1991, Numar persoane, 1535
Mures, 114319 MUNICIPIUL TIRGU MURES, Anul 1992, Numar persoane, 1281
Mures, 114319 MUNICIPIUL TIRGU MURES, Anul 1993, Numar persoane, 952
Mures, 114319 MUNICIPIUL TIRGU MURES, Anul 1994, Numar persoane, 911
Mures, 114319 MUNICIPIUL TIRGU MURES, Anul 1995, Numar persoane, 1476
Mures, 114319 MUNICIPIUL TIRGU MURES, Anul 1996, Numar persoane, 1642
Mures, 114319 MUNICIPIUL TIRGU MURES, Anul 1997, Numar persoane, 1491
Mures, 114319 MUNICIPIUL TIRGU MURES, Anul 1998, Numar persoane, 1640
Mures, 114319 MUNICIPIUL TIRGU MURES, Anul 1999, Numar persoane, 1885
Mures, 114319 MUNICIPIUL TIRGU MURES, Anul 2000, Numar persoane, 1878
Mures, 114319 MUNICIPIUL TIRGU MURES, Anul 2001, Numar persoane, 2068
Mures, 114319 MUNICIPIUL TIRGU MURES, Anul 2002, Numar persoane, 2548
Mures, 114319 MUNICIPIUL TIRGU MURES, Anul 2003, Numar persoane, 2702
Mures, 114319 MUNICIPIUL TIRGU MURES, Anul 2004, Numar persoane, 2840
Mures, 114319 MUNICIPIUL TIRGU MURES, Anul 2005, Numar persoane, 2148
Mures, 114319 MUNICIPIUL TIRGU MURES, Anul 2006, Numar persoane, 2400
Mures, 114319 MUNICIPIUL TIRGU MURES, Anul 2007, Numar persoane, 2661
Mures, 114319 MUNICIPIUL TIRGU MURES, Anul 2008, Numar persoane, 2552
Mures, 114319 MUNICIPIUL TIRGU MURES, Anul 2009, Numar persoane, 2172
Mures, 114319 MUNICIPIUL TIRGU MURES, Anul 2010, Numar persoane, 2848
Mures, 114319 MUNICIPIUL TIRGU MURES, Anul 2011, Numar persoane, 2038
Mures, 114319 MUNICIPIUL TIRGU MURES, Anul 2012, Numar persoane, 2206
Mures, 114319 MUNICIPIUL TIRGU MURES, Anul 2013, Numar persoane, 2167
Mures, 114319 MUNICIPIUL TIRGU MURES, Anul 2014, Numar persoane, 2346
Mures, 114319 MUNICIPIUL TIRGU MURES, Anul 2015, Numar persoane, 2317
Mures, 114809 MUNICIPIUL REGHIN, Anul 1990, Numar persoane, 847
Mures, 114809 MUNICIPIUL REGHIN, Anul 1991, Numar persoane, 353
Mures, 114809 MUNICIPIUL REGHIN, Anul 1992, Numar persoane, 375
Mures, 114809 MUNICIPIUL REGHIN, Anul 1993, Numar persoane, 258
Mures, 114809 MUNICIPIUL REGHIN, Anul 1994, Numar persoane, 305
Mures, 114809 MUNICIPIUL REGHIN, Anul 1995, Numar persoane, 366
Mures, 114809 MUNICIPIUL REGHIN, Anul 1996, Numar persoane, 445
Mures, 114809 MUNICIPIUL REGHIN, Anul 1997, Numar persoane, 430
Mures, 114809 MUNICIPIUL REGHIN, Anul 1998, Numar persoane, 364
Mures, 114809 MUNICIPIUL REGHIN, Anul 1999, Numar persoane, 393
Mures, 114809 MUNICIPIUL REGHIN, Anul 2000, Numar persoane, 375
Mures, 114809 MUNICIPIUL REGHIN, Anul 2001, Numar persoane, 460
Mures, 114809 MUNICIPIUL REGHIN, Anul 2002, Numar persoane, 454
Mures, 114809 MUNICIPIUL REGHIN, Anul 2003, Numar persoane, 536
Mures, 114809 MUNICIPIUL REGHIN, Anul 2004, Numar persoane, 564
Mures, 114809 MUNICIPIUL REGHIN, Anul 2005, Numar persoane, 389
Mures, 114809 MUNICIPIUL REGHIN, Anul 2006, Numar persoane, 535
Mures, 114809 MUNICIPIUL REGHIN, Anul 2007, Numar persoane, 591
Mures, 114809 MUNICIPIUL REGHIN, Anul 2008, Numar persoane, 586
Mures, 114809 MUNICIPIUL REGHIN, Anul 2009, Numar persoane, 555
Mures, 114809 MUNICIPIUL REGHIN, Anul 2010, Numar persoane, 625
Mures, 114809 MUNICIPIUL REGHIN, Anul 2011, Numar persoane, 496
Mures, 114809 MUNICIPIUL REGHIN, Anul 2012, Numar persoane, 493
Mures, 114809 MUNICIPIUL REGHIN, Anul 2013, Numar persoane, 524
Mures, 114809 MUNICIPIUL REGHIN, Anul 2014, Numar persoane, 504
Mures, 114809 MUNICIPIUL REGHIN, Anul 2015, Numar persoane, 546
Mures, 114514 MUNICIPIUL SIGHISOARA, Anul 1990, Numar persoane, 1519
Mures, 114514 MUNICIPIUL SIGHISOARA, Anul 1991, Numar persoane, 622
Mures, 114514 MUNICIPIUL SIGHISOARA, Anul 1992, Numar persoane, 541
Mures, 114514 MUNICIPIUL SIGHISOARA, Anul 1993, Numar persoane, 398
Mures, 114514 MUNICIPIUL SIGHISOARA, Anul 1994, Numar persoane, 369
Mures, 114514 MUNICIPIUL SIGHISOARA, Anul 1995, Numar persoane, 499
Mures, 114514 MUNICIPIUL SIGHISOARA, Anul 1996, Numar persoane, 540
Mures, 114514 MUNICIPIUL SIGHISOARA, Anul 1997, Numar persoane, 411
Mures, 114514 MUNICIPIUL SIGHISOARA, Anul 1998, Numar persoane, 364
Mures, 114514 MUNICIPIUL SIGHISOARA, Anul 1999, Numar persoane, 346
Mures, 114514 MUNICIPIUL SIGHISOARA, Anul 2000, Numar persoane, 341
Mures, 114514 MUNICIPIUL SIGHISOARA, Anul 2001, Numar persoane, 412
Mures, 114514 MUNICIPIUL SIGHISOARA, Anul 2002, Numar persoane, 427
Mures, 114514 MUNICIPIUL SIGHISOARA, Anul 2003, Numar persoane, 459
Mures, 114514 MUNICIPIUL SIGHISOARA, Anul 2004, Numar persoane, 743
Mures, 114514 MUNICIPIUL SIGHISOARA, Anul 2005, Numar persoane, 402
Mures, 114514 MUNICIPIUL SIGHISOARA, Anul 2006, Numar persoane, 527
Mures, 114514 MUNICIPIUL SIGHISOARA, Anul 2007, Numar persoane, 544
Mures, 114514 MUNICIPIUL SIGHISOARA, Anul 2008, Numar persoane, 582
Mures, 114514 MUNICIPIUL SIGHISOARA, Anul 2009, Numar persoane, 469
Mures, 114514 MUNICIPIUL SIGHISOARA, Anul 2010, Numar persoane, 600
Mures, 114514 MUNICIPIUL SIGHISOARA, Anul 2011, Numar persoane, 489
Mures, 114514 MUNICIPIUL SIGHISOARA, Anul 2012, Numar persoane, 548
Mures, 114514 MUNICIPIUL SIGHISOARA, Anul 2013, Numar persoane, 524
Mures, 114514 MUNICIPIUL SIGHISOARA, Anul 2014, Numar persoane, 568
Mures, 114514 MUNICIPIUL SIGHISOARA, Anul 2015, Numar persoane, 496
Mures, 114925 MUNICIPIUL TARNAVENI, Anul 1990, Numar persoane, 888
Mures, 114925 MUNICIPIUL TARNAVENI, Anul 1991, Numar persoane, 334
