
Judete, Localitati , Ani, UM: Numar persoane, Valoare
Bihor, 26564 MUNICIPIUL ORADEA, Anul 1990, Numar persoane, 3566
Bihor, 26564 MUNICIPIUL ORADEA, Anul 1991, Numar persoane, 2202
Bihor, 26564 MUNICIPIUL ORADEA, Anul 1992, Numar persoane, 1862
Bihor, 26564 MUNICIPIUL ORADEA, Anul 1993, Numar persoane, 1285
Bihor, 26564 MUNICIPIUL ORADEA, Anul 1994, Numar persoane, 1347
Bihor, 26564 MUNICIPIUL ORADEA, Anul 1995, Numar persoane, 1789
Bihor, 26564 MUNICIPIUL ORADEA, Anul 1996, Numar persoane, 1831
Bihor, 26564 MUNICIPIUL ORADEA, Anul 1997, Numar persoane, 1909
Bihor, 26564 MUNICIPIUL ORADEA, Anul 1998, Numar persoane, 2040
Bihor, 26564 MUNICIPIUL ORADEA, Anul 1999, Numar persoane, 2196
Bihor, 26564 MUNICIPIUL ORADEA, Anul 2000, Numar persoane, 2028
Bihor, 26564 MUNICIPIUL ORADEA, Anul 2001, Numar persoane, 2029
Bihor, 26564 MUNICIPIUL ORADEA, Anul 2002, Numar persoane, 2539
Bihor, 26564 MUNICIPIUL ORADEA, Anul 2003, Numar persoane, 2939
Bihor, 26564 MUNICIPIUL ORADEA, Anul 2004, Numar persoane, 3310
Bihor, 26564 MUNICIPIUL ORADEA, Anul 2005, Numar persoane, 2263
Bihor, 26564 MUNICIPIUL ORADEA, Anul 2006, Numar persoane, 2708
Bihor, 26564 MUNICIPIUL ORADEA, Anul 2007, Numar persoane, 3165
Bihor, 26564 MUNICIPIUL ORADEA, Anul 2008, Numar persoane, 3585
Bihor, 26564 MUNICIPIUL ORADEA, Anul 2009, Numar persoane, 2618
Bihor, 26564 MUNICIPIUL ORADEA, Anul 2010, Numar persoane, 3938
Bihor, 26564 MUNICIPIUL ORADEA, Anul 2011, Numar persoane, 2867
Bihor, 26564 MUNICIPIUL ORADEA, Anul 2012, Numar persoane, 3263
Bihor, 26564 MUNICIPIUL ORADEA, Anul 2013, Numar persoane, 2711
Bihor, 26564 MUNICIPIUL ORADEA, Anul 2014, Numar persoane, 3075
Bihor, 26564 MUNICIPIUL ORADEA, Anul 2015, Numar persoane, 3111
Bihor, 26804 MUNICIPIUL BEIUS, Anul 1990, Numar persoane, 327
Bihor, 26804 MUNICIPIUL BEIUS, Anul 1991, Numar persoane, 198
Bihor, 26804 MUNICIPIUL BEIUS, Anul 1992, Numar persoane, 163
Bihor, 26804 MUNICIPIUL BEIUS, Anul 1993, Numar persoane, 117
Bihor, 26804 MUNICIPIUL BEIUS, Anul 1994, Numar persoane, 183
Bihor, 26804 MUNICIPIUL BEIUS, Anul 1995, Numar persoane, 178
Bihor, 26804 MUNICIPIUL BEIUS, Anul 1996, Numar persoane, 192
Bihor, 26804 MUNICIPIUL BEIUS, Anul 1997, Numar persoane, 192
Bihor, 26804 MUNICIPIUL BEIUS, Anul 1998, Numar persoane, 184
Bihor, 26804 MUNICIPIUL BEIUS, Anul 1999, Numar persoane, 224
Bihor, 26804 MUNICIPIUL BEIUS, Anul 2000, Numar persoane, 235
Bihor, 26804 MUNICIPIUL BEIUS, Anul 2001, Numar persoane, 144
Bihor, 26804 MUNICIPIUL BEIUS, Anul 2002, Numar persoane, 162
Bihor, 26804 MUNICIPIUL BEIUS, Anul 2003, Numar persoane, 178
Bihor, 26804 MUNICIPIUL BEIUS, Anul 2004, Numar persoane, 213
Bihor, 26804 MUNICIPIUL BEIUS, Anul 2005, Numar persoane, 171
Bihor, 26804 MUNICIPIUL BEIUS, Anul 2006, Numar persoane, 211
Bihor, 26804 MUNICIPIUL BEIUS, Anul 2007, Numar persoane, 264
Bihor, 26804 MUNICIPIUL BEIUS, Anul 2008, Numar persoane, 252
Bihor, 26804 MUNICIPIUL BEIUS, Anul 2009, Numar persoane, 193
Bihor, 26804 MUNICIPIUL BEIUS, Anul 2010, Numar persoane, 306
Bihor, 26804 MUNICIPIUL BEIUS, Anul 2011, Numar persoane, 165
Bihor, 26804 MUNICIPIUL BEIUS, Anul 2012, Numar persoane, 270
Bihor, 26804 MUNICIPIUL BEIUS, Anul 2013, Numar persoane, 179
Bihor, 26804 MUNICIPIUL BEIUS, Anul 2014, Numar persoane, 209
Bihor, 26804 MUNICIPIUL BEIUS, Anul 2015, Numar persoane, 243
Bihor, 26877 MUNICIPIUL MARGHITA, Anul 1990, Numar persoane, 368
Bihor, 26877 MUNICIPIUL MARGHITA, Anul 1991, Numar persoane, 194
Bihor, 26877 MUNICIPIUL MARGHITA, Anul 1992, Numar persoane, 324
Bihor, 26877 MUNICIPIUL MARGHITA, Anul 1993, Numar persoane, 185
Bihor, 26877 MUNICIPIUL MARGHITA, Anul 1994, Numar persoane, 177
Bihor, 26877 MUNICIPIUL MARGHITA, Anul 1995, Numar persoane, 211
Bihor, 26877 MUNICIPIUL MARGHITA, Anul 1996, Numar persoane, 262
Bihor, 26877 MUNICIPIUL MARGHITA, Anul 1997, Numar persoane, 400
Bihor, 26877 MUNICIPIUL MARGHITA, Anul 1998, Numar persoane, 280
Bihor, 26877 MUNICIPIUL MARGHITA, Anul 1999, Numar persoane, 236
Bihor, 26877 MUNICIPIUL MARGHITA, Anul 2000, Numar persoane, 243
Bihor, 26877 MUNICIPIUL MARGHITA, Anul 2001, Numar persoane, 213
Bihor, 26877 MUNICIPIUL MARGHITA, Anul 2002, Numar persoane, 279
Bihor, 26877 MUNICIPIUL MARGHITA, Anul 2003, Numar persoane, 319
