
Judete, Localitati , Ani, UM: Numar persoane, Valoare
Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 1994, Numar persoane, 434
Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 1995, Numar persoane, 451
Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 1996, Numar persoane, 307
Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 1997, Numar persoane, 359
Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 1998, Numar persoane, 296
Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 1999, Numar persoane, 172
Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 2000, Numar persoane, 282
Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 2001, Numar persoane, 143
Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 2002, Numar persoane, 130
Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 2003, Numar persoane, 125
Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 2004, Numar persoane, 215
Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 2005, Numar persoane, 156
Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 2006, Numar persoane, 172
Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 2007, Numar persoane, 96
Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 2008, Numar persoane, 108
Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 2009, Numar persoane, 88
Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 2010, Numar persoane, 93
Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 2011, Numar persoane, 161
Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 2012, Numar persoane, 126
Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 2013, Numar persoane, 146
Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 2014, Numar persoane, 93
Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 2015, Numar persoane, 219
Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 2016, Numar persoane, 184
Satu Mare, 136526 MUNICIPIUL CAREI, Anul 1994, Numar persoane, 95
Satu Mare, 136526 MUNICIPIUL CAREI, Anul 1995, Numar persoane, 41
Satu Mare, 136526 MUNICIPIUL CAREI, Anul 1996, Numar persoane, 72
Satu Mare, 136526 MUNICIPIUL CAREI, Anul 1997, Numar persoane, 65
Satu Mare, 136526 MUNICIPIUL CAREI, Anul 1998, Numar persoane, 43
Satu Mare, 136526 MUNICIPIUL CAREI, Anul 1999, Numar persoane, 45
Satu Mare, 136526 MUNICIPIUL CAREI, Anul 2000, Numar persoane, 58
Satu Mare, 136526 MUNICIPIUL CAREI, Anul 2001, Numar persoane, 29
Satu Mare, 136526 MUNICIPIUL CAREI, Anul 2002, Numar persoane, 29
Satu Mare, 136526 MUNICIPIUL CAREI, Anul 2003, Numar persoane, 41
Satu Mare, 136526 MUNICIPIUL CAREI, Anul 2004, Numar persoane, 48
Satu Mare, 136526 MUNICIPIUL CAREI, Anul 2005, Numar persoane, 17
Satu Mare, 136526 MUNICIPIUL CAREI, Anul 2006, Numar persoane, 26
Satu Mare, 136526 MUNICIPIUL CAREI, Anul 2007, Numar persoane, 11
Satu Mare, 136526 MUNICIPIUL CAREI, Anul 2008, Numar persoane, 19
Satu Mare, 136526 MUNICIPIUL CAREI, Anul 2009, Numar persoane, 16
Satu Mare, 136526 MUNICIPIUL CAREI, Anul 2010, Numar persoane, 12
Satu Mare, 136526 MUNICIPIUL CAREI, Anul 2011, Numar persoane, 22
Satu Mare, 136526 MUNICIPIUL CAREI, Anul 2012, Numar persoane, 13
Satu Mare, 136526 MUNICIPIUL CAREI, Anul 2013, Numar persoane, 19
Satu Mare, 136526 MUNICIPIUL CAREI, Anul 2014, Numar persoane, 23
Satu Mare, 136526 MUNICIPIUL CAREI, Anul 2015, Numar persoane, 33
Satu Mare, 136526 MUNICIPIUL CAREI, Anul 2016, Numar persoane, 40
Satu Mare, 136848 ORAS ARDUD, Anul 1994, Numar persoane, 14
Satu Mare, 136848 ORAS ARDUD, Anul 1995, Numar persoane, 9
Satu Mare, 136848 ORAS ARDUD, Anul 1996, Numar persoane, 15
Satu Mare, 136848 ORAS ARDUD, Anul 1997, Numar persoane, 11
Satu Mare, 136848 ORAS ARDUD, Anul 1998, Numar persoane, 13
Satu Mare, 136848 ORAS ARDUD, Anul 1999, Numar persoane, 5
Satu Mare, 136848 ORAS ARDUD, Anul 2000, Numar persoane, 9
Satu Mare, 136848 ORAS ARDUD, Anul 2001, Numar persoane, 2
Satu Mare, 136848 ORAS ARDUD, Anul 2002, Numar persoane, 1
Satu Mare, 136848 ORAS ARDUD, Anul 2003, Numar persoane, 3
Satu Mare, 136848 ORAS ARDUD, Anul 2004, Numar persoane, 7
Satu Mare, 136848 ORAS ARDUD, Anul 2005, Numar persoane, 10
Satu Mare, 136848 ORAS ARDUD, Anul 2006, Numar persoane, 3
Satu Mare, 136848 ORAS ARDUD, Anul 2007, Numar persoane, 1
Satu Mare, 136848 ORAS ARDUD, Anul 2009, Numar persoane, 2
Satu Mare, 136848 ORAS ARDUD, Anul 2011, Numar persoane, 2
Satu Mare, 136848 ORAS ARDUD, Anul 2012, Numar persoane, 4
Satu Mare, 136848 ORAS ARDUD, Anul 2013, Numar persoane, 6
Satu Mare, 136848 ORAS ARDUD, Anul 2014, Numar persoane, 1
Satu Mare, 136848 ORAS ARDUD, Anul 2015, Numar persoane, 3
Satu Mare, 136848 ORAS ARDUD, Anul 2016, Numar persoane, 10
