
Tari de provenienta, Ani, UM: Numar persoane, Valoare
Austria, Anul 1994, Numar persoane, 121
Austria, Anul 1995, Numar persoane, 536
Austria, Anul 1996, Numar persoane, 288
Austria, Anul 1997, Numar persoane, 387
Austria, Anul 1998, Numar persoane, 235
Austria, Anul 1999, Numar persoane, 147
Austria, Anul 2000, Numar persoane, 84
Austria, Anul 2001, Numar persoane, 68
Austria, Anul 2002, Numar persoane, 81
Austria, Anul 2003, Numar persoane, 69
Austria, Anul 2004, Numar persoane, 90
Austria, Anul 2005, Numar persoane, 76
Austria, Anul 2006, Numar persoane, 75
Austria, Anul 2007, Numar persoane, 126
Austria, Anul 2008, Numar persoane, 126
Austria, Anul 2009, Numar persoane, 145
Austria, Anul 2010, Numar persoane, 111
Austria, Anul 2011, Numar persoane, 80
Austria, Anul 2012, Numar persoane, 50
Austria, Anul 2013, Numar persoane, 62
Austria, Anul 2014, Numar persoane, 69
Austria, Anul 2015, Numar persoane, 129
Austria, Anul 2016, Numar persoane, 135
Canada, Anul 1994, Numar persoane, 12
Canada, Anul 1995, Numar persoane, 74
Canada, Anul 1996, Numar persoane, 56
Canada, Anul 1997, Numar persoane, 132
Canada, Anul 1998, Numar persoane, 96
Canada, Anul 1999, Numar persoane, 89
Canada, Anul 2000, Numar persoane, 60
Canada, Anul 2001, Numar persoane, 93
Canada, Anul 2002, Numar persoane, 131
Canada, Anul 2003, Numar persoane, 181
Canada, Anul 2004, Numar persoane, 175
Canada, Anul 2005, Numar persoane, 153
Canada, Anul 2006, Numar persoane, 187
Canada, Anul 2007, Numar persoane, 271
Canada, Anul 2008, Numar persoane, 334
Canada, Anul 2009, Numar persoane, 296
Canada, Anul 2010, Numar persoane, 230
Canada, Anul 2011, Numar persoane, 224
Canada, Anul 2012, Numar persoane, 132
Canada, Anul 2013, Numar persoane, 153
Canada, Anul 2014, Numar persoane, 202
Canada, Anul 2015, Numar persoane, 299
Canada, Anul 2016, Numar persoane, 308
Franta, Anul 1994, Numar persoane, 79
Franta, Anul 1995, Numar persoane, 460
Franta, Anul 1996, Numar persoane, 471
Franta, Anul 1997, Numar persoane, 942
Franta, Anul 1998, Numar persoane, 341
Franta, Anul 1999, Numar persoane, 178
Franta, Anul 2000, Numar persoane, 110
Franta, Anul 2001, Numar persoane, 101
Franta, Anul 2002, Numar persoane, 80
Franta, Anul 2003, Numar persoane, 83
Franta, Anul 2004, Numar persoane, 101
Franta, Anul 2005, Numar persoane, 117
Franta, Anul 2006, Numar persoane, 125
Franta, Anul 2007, Numar persoane, 184
Franta, Anul 2008, Numar persoane, 153
Franta, Anul 2009, Numar persoane, 169
Franta, Anul 2010, Numar persoane, 149
Franta, Anul 2011, Numar persoane, 143
Franta, Anul 2012, Numar persoane, 83
Franta, Anul 2013, Numar persoane, 85
Franta, Anul 2014, Numar persoane, 160
Franta, Anul 2015, Numar persoane, 202
Franta, Anul 2016, Numar persoane, 243
Germania, Anul 1994, Numar persoane, 229
Germania, Anul 1995, Numar persoane, 739
Germania, Anul 1996, Numar persoane, 318
Germania, Anul 1997, Numar persoane, 539
Germania, Anul 1998, Numar persoane, 480
Germania, Anul 1999, Numar persoane, 330
Germania, Anul 2000, Numar persoane, 227
Germania, Anul 2001, Numar persoane, 207
Germania, Anul 2002, Numar persoane, 224
Germania, Anul 2003, Numar persoane, 231
Germania, Anul 2004, Numar persoane, 296
Germania, Anul 2005, Numar persoane, 238
Germania, Anul 2006, Numar persoane, 252
Germania, Anul 2007, Numar persoane, 423
Germania, Anul 2008, Numar persoane, 526
Germania, Anul 2009, Numar persoane, 496
Germania, Anul 2010, Numar persoane, 438
Germania, Anul 2011, Numar persoane, 357
Germania, Anul 2012, Numar persoane, 280
Germania, Anul 2013, Numar persoane, 669
Germania, Anul 2014, Numar persoane, 269
Germania, Anul 2015, Numar persoane, 465
Germania, Anul 2016, Numar persoane, 596
Israel, Anul 1994, Numar persoane, 31
Israel, Anul 1995, Numar persoane, 162
Israel, Anul 1996, Numar persoane, 29
Israel, Anul 1997, Numar persoane, 150
Israel, Anul 1998, Numar persoane, 164
Israel, Anul 1999, Numar persoane, 117
Israel, Anul 2000, Numar persoane, 57
Israel, Anul 2001, Numar persoane, 101
Israel, Anul 2002, Numar persoane, 108
Israel, Anul 2003, Numar persoane, 148
Israel, Anul 2004, Numar persoane, 185
