
Sexe, Judete, Localitati , Perioade, UM: Procente, Valoare
Masculin, Brasov, 40198 MUNICIPIUL BRASOV, Anul 2010, Procente, 2.7
Masculin, Brasov, 40198 MUNICIPIUL BRASOV, Luna ianuarie 2010, Procente, 4.1
Masculin, Brasov, 40198 MUNICIPIUL BRASOV, Luna februarie 2010, Procente, 4.1
Masculin, Brasov, 40198 MUNICIPIUL BRASOV, Luna martie 2010, Procente, 4.1
Masculin, Brasov, 40198 MUNICIPIUL BRASOV, Luna aprilie 2010, Procente, 4
Masculin, Brasov, 40198 MUNICIPIUL BRASOV, Luna mai 2010, Procente, 3.9
Masculin, Brasov, 40198 MUNICIPIUL BRASOV, Luna iunie 2010, Procente, 3.7
Masculin, Brasov, 40198 MUNICIPIUL BRASOV, Luna iulie 2010, Procente, 3.6
Masculin, Brasov, 40198 MUNICIPIUL BRASOV, Luna august 2010, Procente, 3.4
Masculin, Brasov, 40198 MUNICIPIUL BRASOV, Luna septembrie 2010, Procente, 3.2
Masculin, Brasov, 40198 MUNICIPIUL BRASOV, Luna octombrie 2010, Procente, 3
Masculin, Brasov, 40198 MUNICIPIUL BRASOV, Luna noiembrie 2010, Procente, 2.8
Masculin, Brasov, 40198 MUNICIPIUL BRASOV, Luna decembrie 2010, Procente, 2.7
Masculin, Brasov, 40198 MUNICIPIUL BRASOV, Anul 2011, Procente, 1.5
Masculin, Brasov, 40198 MUNICIPIUL BRASOV, Luna ianuarie 2011, Procente, 2.4
Masculin, Brasov, 40198 MUNICIPIUL BRASOV, Luna februarie 2011, Procente, 2.2
Masculin, Brasov, 40198 MUNICIPIUL BRASOV, Luna martie 2011, Procente, 1.8
Masculin, Brasov, 40198 MUNICIPIUL BRASOV, Luna aprilie 2011, Procente, 1.6
Masculin, Brasov, 40198 MUNICIPIUL BRASOV, Luna mai 2011, Procente, 1.7
Masculin, Brasov, 40198 MUNICIPIUL BRASOV, Luna iunie 2011, Procente, 1.5
Masculin, Brasov, 40198 MUNICIPIUL BRASOV, Luna iulie 2011, Procente, 1.5
Masculin, Brasov, 40198 MUNICIPIUL BRASOV, Luna august 2011, Procente, 1.5
Masculin, Brasov, 40198 MUNICIPIUL BRASOV, Luna septembrie 2011, Procente, 1.4
Masculin, Brasov, 40198 MUNICIPIUL BRASOV, Luna octombrie 2011, Procente, 1.4
Masculin, Brasov, 40198 MUNICIPIUL BRASOV, Luna noiembrie 2011, Procente, 1.4
Masculin, Brasov, 40198 MUNICIPIUL BRASOV, Luna decembrie 2011, Procente, 1.5
Masculin, Brasov, 40198 MUNICIPIUL BRASOV, Anul 2012, Procente, 1.2
Masculin, Brasov, 40198 MUNICIPIUL BRASOV, Luna ianuarie 2012, Procente, 1.5
Masculin, Brasov, 40198 MUNICIPIUL BRASOV, Luna februarie 2012, Procente, 1.5
Masculin, Brasov, 40198 MUNICIPIUL BRASOV, Luna martie 2012, Procente, 1.4
Masculin, Brasov, 40198 MUNICIPIUL BRASOV, Luna aprilie 2012, Procente, 1.3
Masculin, Brasov, 40198 MUNICIPIUL BRASOV, Luna mai 2012, Procente, 1.1
Masculin, Brasov, 40198 MUNICIPIUL BRASOV, Luna iunie 2012, Procente, 1.1
Masculin, Brasov, 40198 MUNICIPIUL BRASOV, Luna iulie 2012, Procente, 1.2
Masculin, Brasov, 40198 MUNICIPIUL BRASOV, Luna august 2012, Procente, 1.2
Masculin, Brasov, 40198 MUNICIPIUL BRASOV, Luna septembrie 2012, Procente, 1.1
Masculin, Brasov, 40198 MUNICIPIUL BRASOV, Luna octombrie 2012, Procente, 1.1
Masculin, Brasov, 40198 MUNICIPIUL BRASOV, Luna noiembrie 2012, Procente, 1.1
Masculin, Brasov, 40198 MUNICIPIUL BRASOV, Luna decembrie 2012, Procente, 1.2
Masculin, Brasov, 40198 MUNICIPIUL BRASOV, Anul 2013, Procente, 1.1
Masculin, Brasov, 40198 MUNICIPIUL BRASOV, Luna ianuarie 2013, Procente, 1.2
Masculin, Brasov, 40198 MUNICIPIUL BRASOV, Luna februarie 2013, Procente, 1.2
Masculin, Brasov, 40198 MUNICIPIUL BRASOV, Luna martie 2013, Procente, 1.2
Masculin, Brasov, 40198 MUNICIPIUL BRASOV, Luna aprilie 2013, Procente, 1.2
Masculin, Brasov, 40198 MUNICIPIUL BRASOV, Luna mai 2013, Procente, 1.1
Masculin, Brasov, 40198 MUNICIPIUL BRASOV, Luna iunie 2013, Procente, 1.1
Masculin, Brasov, 40198 MUNICIPIUL BRASOV, Luna iulie 2013, Procente, 1.1
Masculin, Brasov, 40198 MUNICIPIUL BRASOV, Luna august 2013, Procente, 1.1
Masculin, Brasov, 40198 MUNICIPIUL BRASOV, Luna septembrie 2013, Procente, 1.1
