
Sexe, Macroregiuni  regiuni de dezvoltare si judete, Luni, UM: Procente, Valoare
Masculin, TOTAL, Luna ianuarie 1992, Procente, 2.6
Masculin, TOTAL, Luna februarie 1992, Procente, 2.9
Masculin, TOTAL, Luna martie 1992, Procente, 3.3
Masculin, TOTAL, Luna aprilie 1992, Procente, 2.8
Masculin, TOTAL, Luna mai 1992, Procente, 3
Masculin, TOTAL, Luna iunie 1992, Procente, 3.3
Masculin, TOTAL, Luna iulie 1992, Procente, 3.6
Masculin, TOTAL, Luna august 1992, Procente, 4.3
Masculin, TOTAL, Luna septembrie 1992, Procente, 4.8
Masculin, TOTAL, Luna octombrie 1992, Procente, 5.5
Masculin, TOTAL, Luna noiembrie 1992, Procente, 5.9
Masculin, TOTAL, Luna decembrie 1992, Procente, 6.2
Masculin, TOTAL, Luna ianuarie 1993, Procente, 6.4
Masculin, TOTAL, Luna februarie 1993, Procente, 7.2
Masculin, TOTAL, Luna martie 1993, Procente, 7.5
Masculin, TOTAL, Luna aprilie 1993, Procente, 7.2
Masculin, TOTAL, Luna mai 1993, Procente, 7.1
Masculin, TOTAL, Luna iunie 1993, Procente, 7.1
Masculin, TOTAL, Luna iulie 1993, Procente, 7
Masculin, TOTAL, Luna august 1993, Procente, 6.7
Masculin, TOTAL, Luna septembrie 1993, Procente, 6.9
Masculin, TOTAL, Luna octombrie 1993, Procente, 7
Masculin, TOTAL, Luna noiembrie 1993, Procente, 7.3
Masculin, TOTAL, Luna decembrie 1993, Procente, 8.1
Masculin, TOTAL, Luna ianuarie 1994, Procente, 8.9
Masculin, TOTAL, Luna februarie 1994, Procente, 9.4
Masculin, TOTAL, Luna martie 1994, Procente, 9.6
Masculin, TOTAL, Luna aprilie 1994, Procente, 9.3
Masculin, TOTAL, Luna mai 1994, Procente, 9.2
Masculin, TOTAL, Luna iunie 1994, Procente, 8.9
Masculin, TOTAL, Luna iulie 1994, Procente, 8.9
Masculin, TOTAL, Luna august 1994, Procente, 8.6
Masculin, TOTAL, Luna septembrie 1994, Procente, 8.6
Masculin, TOTAL, Luna octombrie 1994, Procente, 8.8
Masculin, TOTAL, Luna noiembrie 1994, Procente, 8.7
Masculin, TOTAL, Luna decembrie 1994, Procente, 9
Masculin, TOTAL, Luna ianuarie 1995, Procente, 9.3
Masculin, TOTAL, Luna februarie 1995, Procente, 9.6
Masculin, TOTAL, Luna martie 1995, Procente, 9.4
Masculin, TOTAL, Luna aprilie 1995, Procente, 8.9
Masculin, TOTAL, Luna mai 1995, Procente, 8.7
Masculin, TOTAL, Luna iunie 1995, Procente, 8.4
Masculin, TOTAL, Luna iulie 1995, Procente, 8.2
Masculin, TOTAL, Luna august 1995, Procente, 8.1
Masculin, TOTAL, Luna septembrie 1995, Procente, 7.8
Masculin, TOTAL, Luna octombrie 1995, Procente, 7.5
Masculin, TOTAL, Luna noiembrie 1995, Procente, 7.4
Masculin, TOTAL, Luna decembrie 1995, Procente, 7.9
Masculin, TOTAL, Luna ianuarie 1996, Procente, 8.7
Masculin, TOTAL, Luna februarie 1996, Procente, 9.1
Masculin, TOTAL, Luna martie 1996, Procente, 8.9
Masculin, TOTAL, Luna aprilie 1996, Procente, 7.7
Masculin, TOTAL, Luna mai 1996, Procente, 7.1
Masculin, TOTAL, Luna iunie 1996, Procente, 6.6
Masculin, TOTAL, Luna iulie 1996, Procente, 6.1
Masculin, TOTAL, Luna august 1996, Procente, 5.7
Masculin, TOTAL, Luna septembrie 1996, Procente, 5.4
Masculin, TOTAL, Luna octombrie 1996, Procente, 5.3
Masculin, TOTAL, Luna noiembrie 1996, Procente, 5.2
Masculin, TOTAL, Luna decembrie 1996, Procente, 5.7
Masculin, TOTAL, Luna ianuarie 1997, Procente, 6.4
Masculin, TOTAL, Luna februarie 1997, Procente, 7.2
Masculin, TOTAL, Luna martie 1997, Procente, 7.2
Masculin, TOTAL, Luna aprilie 1997, Procente, 6.9
Masculin, TOTAL, Luna mai 1997, Procente, 6.5
Masculin, TOTAL, Luna iunie 1997, Procente, 6.7
Masculin, TOTAL, Luna iulie 1997, Procente, 6.6
Masculin, TOTAL, Luna august 1997, Procente, 6.5
Masculin, TOTAL, Luna septembrie 1997, Procente, 6.7
Masculin, TOTAL, Luna octombrie 1997, Procente, 7.2
Masculin, TOTAL, Luna noiembrie 1997, Procente, 7.8
Masculin, TOTAL, Luna decembrie 1997, Procente, 8.6
Masculin, TOTAL, Luna ianuarie 1998, Procente, 9.2
Masculin, TOTAL, Luna februarie 1998, Procente, 9.7
Masculin, TOTAL, Luna martie 1998, Procente, 9.6
Masculin, TOTAL, Luna aprilie 1998, Procente, 9.3
Masculin, TOTAL, Luna mai 1998, Procente, 9
Masculin, TOTAL, Luna iunie 1998, Procente, 8.6
Masculin, TOTAL, Luna iulie 1998, Procente, 8.5
Masculin, TOTAL, Luna august 1998, Procente, 8.3
Masculin, TOTAL, Luna septembrie 1998, Procente, 8.3
Masculin, TOTAL, Luna octombrie 1998, Procente, 8.7
Masculin, TOTAL, Luna noiembrie 1998, Procente, 9.2
Masculin, TOTAL, Luna decembrie 1998, Procente, 10.4
Masculin, TOTAL, Luna ianuarie 1999, Procente, 11.6
Masculin, TOTAL, Luna februarie 1999, Procente, 12.7
Masculin, TOTAL, Luna martie 1999, Procente, 12.6
Masculin, TOTAL, Luna aprilie 1999, Procente, 12.6
Masculin, TOTAL, Luna mai 1999, Procente, 11.7
Masculin, TOTAL, Luna iunie 1999, Procente, 11.6
Masculin, TOTAL, Luna iulie 1999, Procente, 11.6
Masculin, TOTAL, Luna august 1999, Procente, 11.2
Masculin, TOTAL, Luna septembrie 1999, Procente, 11.1
Masculin, TOTAL, Luna octombrie 1999, Procente, 10.8
Masculin, TOTAL, Luna noiembrie 1999, Procente, 11
Masculin, TOTAL, Luna decembrie 1999, Procente, 12.1
Masculin, TOTAL, Luna ianuarie 2000, Procente, 12.9
Masculin, TOTAL, Luna februarie 2000, Procente, 13.3
Masculin, TOTAL, Luna martie 2000, Procente, 13
Masculin, TOTAL, Luna aprilie 2000, Procente, 12.4
Masculin, TOTAL, Luna mai 2000, Procente, 11.8
Masculin, TOTAL, Luna iunie 2000, Procente, 11.4
Masculin, TOTAL, Luna iulie 2000, Procente, 10.9
Masculin, TOTAL, Luna august 2000, Procente, 10.5
Masculin, TOTAL, Luna septembrie 2000, Procente, 10.3
Masculin, TOTAL, Luna octombrie 2000, Procente, 10.2
Masculin, TOTAL, Luna noiembrie 2000, Procente, 10.3
Masculin, TOTAL, Luna decembrie 2000, Procente, 10.7
Masculin, TOTAL, Luna ianuarie 2001, Procente, 11.3
Masculin, TOTAL, Luna februarie 2001, Procente, 11.3
Masculin, TOTAL, Luna martie 2001, Procente, 10.8
Masculin, TOTAL, Luna aprilie 2001, Procente, 10.2
Masculin, TOTAL, Luna mai 2001, Procente, 9.5
Masculin, TOTAL, Luna iunie 2001, Procente, 8.9
Masculin, TOTAL, Luna iulie 2001, Procente, 8.4
Masculin, TOTAL, Luna august 2001, Procente, 8
Masculin, TOTAL, Luna septembrie 2001, Procente, 7.7
Masculin, TOTAL, Luna octombrie 2001, Procente, 7.7
Masculin, TOTAL, Luna noiembrie 2001, Procente, 8.1
Masculin, TOTAL, Luna decembrie 2001, Procente, 9.2
Masculin, TOTAL, Luna ianuarie 2002, Procente, 13.7
Masculin, TOTAL, Luna februarie 2002, Procente, 14.6
Masculin, TOTAL, Luna martie 2002, Procente, 14.5
Masculin, TOTAL, Luna aprilie 2002, Procente, 12.2
Masculin, TOTAL, Luna mai 2002, Procente, 11.3
Masculin, TOTAL, Luna iunie 2002, Procente, 10.7
Masculin, TOTAL, Luna iulie 2002, Procente, 9.9
Masculin, TOTAL, Luna august 2002, Procente, 9.3
Masculin, TOTAL, Luna septembrie 2002, Procente, 9
Masculin, TOTAL, Luna octombrie 2002, Procente, 8.6
Masculin, TOTAL, Luna noiembrie 2002, Procente, 8.6
Masculin, TOTAL, Luna decembrie 2002, Procente, 8.9
Masculin, TOTAL, Luna ianuarie 2003, Procente, 9.4
Masculin, TOTAL, Luna februarie 2003, Procente, 9.7
Masculin, TOTAL, Luna martie 2003, Procente, 9.5
Masculin, TOTAL, Luna aprilie 2003, Procente, 8.9
Masculin, TOTAL, Luna mai 2003, Procente, 8.4
Masculin, TOTAL, Luna iunie 2003, Procente, 8
Masculin, TOTAL, Luna iulie 2003, Procente, 7.8
Masculin, TOTAL, Luna august 2003, Procente, 7.4
Masculin, TOTAL, Luna septembrie 2003, Procente, 7.2
Masculin, TOTAL, Luna octombrie 2003, Procente, 7.5
Masculin, TOTAL, Luna noiembrie 2003, Procente, 7.8
Masculin, TOTAL, Luna decembrie 2003, Procente, 7.8
Masculin, TOTAL, Luna ianuarie 2004, Procente, 8.5
Masculin, TOTAL, Luna februarie 2004, Procente, 8.7
Masculin, TOTAL, Luna martie 2004, Procente, 8.7
Masculin, TOTAL, Luna aprilie 2004, Procente, 8.2
Masculin, TOTAL, Luna mai 2004, Procente, 7.7
Masculin, TOTAL, Luna iunie 2004, Procente, 7.3
Masculin, TOTAL, Luna iulie 2004, Procente, 7
Masculin, TOTAL, Luna august 2004, Procente, 6.8
Masculin, TOTAL, Luna septembrie 2004, Procente, 6.6
Masculin, TOTAL, Luna octombrie 2004, Procente, 6.6
Masculin, TOTAL, Luna noiembrie 2004, Procente, 6.6
Masculin, TOTAL, Luna decembrie 2004, Procente, 7
Masculin, TOTAL, Luna ianuarie 2005, Procente, 7.1
Masculin, TOTAL, Luna februarie 2005, Procente, 7.2
Masculin, TOTAL, Luna martie 2005, Procente, 7
Masculin, TOTAL, Luna aprilie 2005, Procente, 6.6
Masculin, TOTAL, Luna mai 2005, Procente, 6.3
Masculin, TOTAL, Luna iunie 2005, Procente, 6.2
Masculin, TOTAL, Luna iulie 2005, Procente, 6.1
Masculin, TOTAL, Luna august 2005, Procente, 6.2
Masculin, TOTAL, Luna septembrie 2005, Procente, 6.1
Masculin, TOTAL, Luna octombrie 2005, Procente, 6.1
Masculin, TOTAL, Luna noiembrie 2005, Procente, 6.2
Masculin, TOTAL, Luna decembrie 2005, Procente, 6.4
Masculin, TOTAL, Luna ianuarie 2006, Procente, 6.9
Masculin, TOTAL, Luna februarie 2006, Procente, 7.1
Masculin, TOTAL, Luna martie 2006, Procente, 7
Masculin, TOTAL, Luna aprilie 2006, Procente, 6.6
Masculin, TOTAL, Luna mai 2006, Procente, 6.1
Masculin, TOTAL, Luna iunie 2006, Procente, 5.8
Masculin, TOTAL, Luna iulie 2006, Procente, 5.5
Masculin, TOTAL, Luna august 2006, Procente, 5.5
Masculin, TOTAL, Luna septembrie 2006, Procente, 5.3
Masculin, TOTAL, Luna octombrie 2006, Procente, 5.5
Masculin, TOTAL, Luna noiembrie 2006, Procente, 5.6
Masculin, TOTAL, Luna decembrie 2006, Procente, 5.7
Masculin, TOTAL, Luna ianuarie 2007, Procente, 6
Masculin, TOTAL, Luna februarie 2007, Procente, 5.8
Masculin, TOTAL, Luna martie 2007, Procente, 5.4
Masculin, TOTAL, Luna aprilie 2007, Procente, 5
Masculin, TOTAL, Luna mai 2007, Procente, 4.5
Masculin, TOTAL, Luna iunie 2007, Procente, 4.3
Masculin, TOTAL, Luna iulie 2007, Procente, 4
