datum,ora,program,helyszin,resztvevok
"2006. május 11., csütörtök",10–14,Megnyitó,Bükk (Monostor negyed végén),egész csapat
"2006. május 11., csütörtök",15–21,City tour,Kolozsvár területén,6 versenyzo
"2006. május 11., csütörtök",19–21,Cikkíróverseny,Apáczai Csere János Líceum,1 versenyzo
"2006. május 11., csütörtök",23–7,Női foci,Cotton Club,5+1 lány
"2006. május 12., péntek",8–20,Kosárlabda,Iuliu Hatieganu (Babes) Park,5 versenyzo
"2006. május 12., péntek",10–20,Foci,Iuliu Hatieganu (Babes) Park,6+1 fiú
"2006. május 12., péntek",10–20,Kézilabda,Iuliu Hatieganu (Babes) Park,6+1 versenyzo
"2006. május 12., péntek",14–16,Darts,Music Pub,1 versenyzo
"2006. május 12., péntek",14–20,Kocsmajátékok,Music Pub,5 versenyzo
"2006. május 12., péntek",16–20,Csocsó,Music Pub,2 versenyzo
"2006. május 12., péntek",18–23,PC játékok,"KMDSZ Iroda, klubterem",2 lány
"2006. május 12., péntek",23–1,Éjjeli lepke,Kolozsvár területe,egész csapat
"2006. május 13., szombat",8–23,Táncmaraton,Heltai Gáspár Könyvtári Alapítvány,1 fiú + 1 lány
"2006. május 13., szombat",8–20,Kézilabda,Iuliu Hatieganu (Babes) Park,6+1 versenyzo
"2006. május 13., szombat",9–19:30,Asztalitenisz,Iuliu Hatieganu (Babes) Park,1 fiú + 1 lány
"2006. május 13., szombat",9:30-11:30,Vízi majális,Chios (Központi Park),2 versenyzo
"2006. május 13., szombat",10–12,Billiárd,"Györgyfalvi tavak, Tineretul Complex",1 versenyzo
"2006. május 13., szombat",10–19:30,Strandröplabda,Iuliu Hatieganu (Babes) Park,1 fiú + 1 lány
"2006. május 13., szombat",10–19:30,Tenisz,Iuliu Hatieganu (Babes) Park,1 lány
"2006. május 13., szombat",13–14,Go-cart,"Györgyfalvi tavak, Tineretul Complex",1 versenyzo
"2006. május 13., szombat",15–20,Lábtenisz,Iuliu Hatieganu (Babes) Park,2 fiú
"2006. május 13., szombat",19–23,Kultúrmaaraton,Bogya (More),3 versenyzo
"2006. május 14., vasárnap",9–16,Majális,Bükk (Monostor negyed végén),egész csapat
"2006. május 14., vasárnap",18–20,Gálaest,Obsession Club,egész csapat
