datum,helyszin,resztvevok,ora,program
8-May,hoia erdő (törökvágás),egész csapat,15:00-19:00,bemutatkozás
8-May,"cotton club (sportcsarnokkal szemben, a szamoson túl)",5+1 lány,22:00-06:00,női foci
9-May,kmdsz-iroda klubterme,6 ember,6:00-10:00,city tour
9-May,babes-park,5+1 ember,8:00-20:00,foci (férfi)
9-May,babes-park,6+1 ember,8:00-20:00,kézilabda
9-May,babes-park,5 ember,8:00-20:00,kosárlabda
9-May,györgyfalvi vége (24-es busz végállomása),1 ember,9:00-11:00,go-cart
9-May,"club champions (május 1. tér, az 1-es troli végállomása)",1 fiú és 1 lány,10:00-től,biliárd
9-May,club champions (monostori negyed,1 ember,10:00-től,darts
9-May,apáczai-csere jános líceum,1 ember,15:00-17:00,cikkírás
9-May,városban,egész csapat,22:00-24:00,éjjelilepke
9-May,zenél dj goranga,mindenki,24:00-06:00,buli
10-May,"központi park, magyar színházzal szembeni bejárat",1 fiú és 1 lány,8:00-12:00,tájfutás
10-May,kicsi báthory,1 fiú és 1 lány,8:00-20:00,táncmaraton
10-May,babes-park,5+1 ember,8:00-13:00,foci (férfi)
10-May,babes-park,6+1 ember,8:00-11:00,kézilabda
10-May,babes-park,5 ember,8:00-17:00,kosárlabda
10-May,babes-park,1 fiú és 1 lány (parban szerepelnek),8:00-15:00,asztalitenisz
10-May,babes-park,1 fiú és 1 lány,8:00-19:00,tenisz
10-May,babes-park,2 ember,9:00-14:00,lábtenisz
10-May,blade (szentegyház/tükör/iuliu maniu utca),1 fiú es 1 lány,8:00-13:00,pc-játékok
10-May,babes-park,1 fiú és 1 lány,10:00-20:00,strandröplabda
10-May,bulgakov,4 ember,10:00-22:00,kocsmajátékok
10-May,bowling club (dorobantilor út 30-32),1 ember,11.00-től,bowling
10-May,bowling club (dorobantilor út 30-32),1 fiú és 1 lány,11.00-től,cso-csó
10-May,központi parki tó (chios),1 fiú é 1 lány,10:00-12:00,vizi majális
10-May,corvinus,1 fiú es 1 lány,16:00-19:00,kultúrmaraton
10-May,corvinus,1 ember,19:00-22:00,karaoke
10-May,bükk,egész csapat,10:00-19:00,majális
11-May,irish & music pub,egész csapat,22:00-06:00,buli
