helyezes,csapat,pontszam
1,Pengék,8745
2,Smoke n Gypsies,8698
3,Fak-anál,8480
4,PUR-D,"8422,5"
5,ENDorFIN,8354
6,Ignore,8350
7,Oltá-ribanc-záj,8349
8,Szovátai Búvármedvék,8302
9,Vastagtej,8280
10,KergeMarhák,"8211,5"
11,Suvix,"8102,5"
12,BEER-ka,8002
13,Söröm,"7960,5"
14,no Stress,7834
15,Helló Pisti,7799
16,69 Sixtynine,7760
17,Mérce,7658
18,VadÁszok,7539
19,koMédia,7424
20,How High,7307
21,Fapuma,7256
22,Fucktúra,7181
23,Daltonok,7118
24,PA-LIK,7033
25,Gamekapcsok,6962
26,FunT@-Stick,"6908,5"
27,Fanati-Kuss,"6903,5"
27,Team-Spirit,"6903,5"
29,Hopp te Zsiga,"6830,5"
30,Slicc,6712
31,Yes for Sure,6616
32,Bio-Beton,"6601,5"
33,FákJúh,6574
34,STIHLus,6536
35,cSÖRömpölők,"6519,5"
36,X-tázi ,6513
