,Ssz.,Csapatok/Programok,Bemutatkozó,City tour day,Kultúrmaraton,Női foci,Kosárlabda,Kézilabda,Asztalitenisz,Bolc,Ursus challenge,Foci,Lábtenisz,Tenisz,PC játékok 1,City Tour Night,Tematikus Buli 1.1,Tematikus Buli 2,Majális,Beerpong,Paintball,Biliárd,Póker,Fotómaraton,Úszás 1,Táblé,Strandröplabda,Táncmaraton 1,Sakk,Csocsó,KorrekTúra,Íjászat,Biciklitúra,Krucsa,Dártsz,Léghoki,Bowling,Karaoké,Piramis,Felsziget,Szatmár.ro,Bónusz feladat,Öszpont
0,1.0,Pengék,443.0,218.0,202.0,140.0,350.0,180.0,70.0,35.0,125.0,90.0,70.0,90.0,33.0,139.0,100.0,100.0,651.0,20.0,100.0,30.0,45.0,64.0,100.0,16.0,90.0,229.0,16.0,40.0,90.0,70.0,76.0,30.0,30.0,16.0,20.0,80.0,20.0,94.0,25.0,450.0,4787.0
1,2.0,wattafák,309.0,150.0,104.0,140.0,220.0,180.0,90.0,35.0,123.0,260.0,90.0,180.0,41.0,143.0,100.0,100.0,564.0,100.0,250.0,70.0,15.0,58.0,150.0,16.0,40.0,190.0,16.0,40.0,66.0,53.0,142.0,16.0,30.0,60.0,35.0,53.0,20.0,0.0,25.0,250.0,4524.0
2,3.0,ENDorFIN,380.0,167.0,193.0,90.0,98.0,180.0,150.0,30.0,100.0,140.0,70.0,70.0,38.0,187.0,100.0,100.0,501.0,20.0,160.0,60.0,55.0,125.0,100.0,30.0,110.0,216.0,70.0,30.0,88.0,58.0,94.0,30.0,16.0,50.0,20.0,63.0,20.0,35.0,25.0,400.0,4469.0
3,3.0,Mérce,401.0,175.0,194.0,140.0,260.0,200.0,70.0,30.0,110.0,200.0,90.0,90.0,56.0,148.0,100.0,100.0,555.0,40.0,50.0,16.0,35.0,50.0,100.0,16.0,40.0,209.0,16.0,16.0,84.0,91.0,92.0,40.0,30.0,16.0,35.0,53.0,20.0,26.0,25.0,450.0,4469.0
4,5.0,PUR-D,263.0,214.0,219.0,140.0,180.0,140.0,90.0,15.0,95.0,140.0,90.0,40.0,34.0,222.0,100.0,100.0,634.0,50.0,50.0,40.0,25.0,110.0,180.0,70.0,40.0,226.0,30.0,16.0,74.0,22.0,108.0,16.0,30.0,30.0,20.0,43.0,20.0,49.0,25.0,450.0,4440.0
5,6.0,Búvármedvék,356.0,172.0,162.0,200.0,200.0,260.0,40.0,15.0,135.0,140.0,90.0,70.0,29.0,163.0,100.0,100.0,570.0,40.0,50.0,16.0,55.0,111.0,100.0,30.0,90.0,210.0,30.0,30.0,63.0,70.0,98.0,16.0,0.0,40.0,0.0,23.0,20.0,60.0,25.0,450.0,4429.0
6,7.0,MAKI verem,301.0,160.0,158.0,90.0,286.0,140.0,40.0,40.0,100.0,90.0,90.0,40.0,36.0,165.0,100.0,100.0,571.0,20.0,140.0,40.0,35.0,48.0,70.0,30.0,90.0,207.0,30.0,40.0,63.0,69.0,134.0,40.0,70.0,30.0,35.0,43.0,20.0,37.0,50.0,450.0,4298.0
7,8.0,Balls & Dolls,318.0,226.0,163.0,180.0,140.0,350.0,40.0,15.0,93.0,140.0,100.0,40.0,41.0,148.0,100.0,100.0,482.0,20.0,0.0,16.0,45.0,105.0,40.0,16.0,180.0,212.0,30.0,80.0,98.0,66.0,85.0,30.0,16.0,16.0,20.0,43.0,20.0,34.0,25.0,350.0,4223.0
8,9.0,UNI-GUNS,320.0,200.0,195.0,350.0,180.0,180.0,40.0,35.0,95.0,90.0,70.0,70.0,41.0,170.0,100.0,100.0,514.0,20.0,50.0,16.0,35.0,65.0,70.0,16.0,130.0,224.0,50.0,16.0,95.0,27.0,110.0,16.0,16.0,16.0,20.0,75.0,30.0,47.0,25.0,300.0,4219.0
9,10.0,pi-pirátok,371.0,192.0,194.0,90.0,200.0,90.0,70.0,25.0,100.0,90.0,40.0,90.0,24.0,130.0,100.0,100.0,525.0,20.0,180.0,40.0,55.0,64.0,100.0,40.0,70.0,215.0,16.0,16.0,72.0,70.0,114.0,0.0,30.0,30.0,20.0,80.0,35.0,43.0,25.0,450.0,4216.0
