,Koma-Szutra,GenItália,FuckTúra,Beez-Mute,Vá$örhely,Shakesbeer,UNI-GUNS,MozgéKonyak,Cum With Us,Szeszkimók,Beerluck,Búvármedvék,CheekLow,Sörnyetegek,Zsákmány,SZERVEZTEM,Me Of Us One,Magyar Szisztem,A Kocka Másik Oldala,In-Team,Szeszesújvár,Ű-Beer,.S!C'R,WaTtaFák,WhatsOn,WeSithek,Vá$örhlyOLÉÉÉ,K.O.SER,Hököl,Biolorgia,Weedrák,Verbunk,Strohgerek,proDUCKtive,FehérlóPhia,BorÁszok,SZŰRT,PopóLopók,Muratúra,ginSTABIL,IGNORE,BasszHattyúk,VanSör,Sörös-terv,BEER-ka,BarátOCool,RÁMSZESZ,amitakartok,ColaBorÉsÖn,Durgolax,Cheeky-Share,N@fing,AbszolÚt,diaknapos csapat,Mad Dogs,Drunkin' donuts,Lemonarchia,Fröccsögök,Etilalakulat,RoxtARRok,MegBORulunk,SzEscoBar
Asztalitenisz,150,100,25,120,50,100,25,25,25,50,50,100,75,50,75,25,25,25,75,50,50,25,25,50,135,25,75,50,50,75,25,25,50,75,25,25,50,25,75,25,50,50,25,25,25,25,25,25,75,25,0,25,50,0,50,25,25,100,50,25,25,25
Beer-Pong,130,90,90,90,50,50,130,90,130,130,300,50,90,225,50,250,130,50,50,50,50,170,90,90,200,50,50,50,50,90,50,50,50,90,170,130,130,50,50,170,0,50,170,90,50,90,90,50,50,50,90,50,50,90,50,90,50,130,50,50,50,50
Bemutatkozó,311,340,345,343,340,245,340,268,323,241,325,325,266,261,236,303,310,316,225,123,286,203,280,313,126,333,293,285,301,193,95,208,45,205,93,146,290,136,190,210,65,180,246,138,185,145,300,268,210,161,244,210,248,123,193,183,0,163,213,123,83,188
Biliárd,20,30,20,20,30,20,20,50,50,20,50,20,40,50,20,0,30,40,40,20,20,30,30,20,20,30,20,20,40,20,30,20,80,40,20,20,20,20,30,20,30,20,100,30,30,40,20,0,20,40,30,20,20,30,120,20,150,0,30,30,30,20
Bogrács,178,230,203,225,217,237,212,227,160,226,216,204,199,215,223,223,228,195,125,200,220,228,188,205,175,188,207,187,168,217,233,0,198,188,157,192,205,167,182,192,237,133,158,187,157,140,182,182,182,197,0,177,203,156,183,162,135,165,178,0,0,0
Bolc,44,36,110,160,25,46,32,130,27,115,23,105,26,80,120,50,85,30,40,100,34,40,150,29,46,48,21,65,32,24,34,140,75,0,38,44,0,22,135,30,38,95,28,26,70,24,42,31,28,48,25,90,29,155,31,27,125,50,36,0,42,0
Chandelier,50,80,70,35,50,60,50,50,60,60,80,60,200,70,30,40,40,60,80,170,50,140,30,80,80,95,60,30,50,40,185,0,0,35,40,70,155,50,80,70,40,60,30,30,40,70,60,70,35,70,70,40,35,50,0,80,30,0,40,80,125,0
Chest-Pong,250,210,190,110,110,80,50,110,80,140,140,50,80,50,50,80,50,50,50,110,50,140,80,50,140,80,0,0,0,80,50,50,50,80,50,80,80,80,80,50,110,50,50,0,110,170,0,50,50,50,110,80,50,50,0,80,110,50,50,50,50,80
City Tour,255,143,275,265,206,255,239,245,230,221,137,158,185,218,215,149,227,215,239,89,206,197,224,242,122,185,86,239,131,176,128,170,155,140,119,206,176,197,155,125,197,170,92,170,197,83,107,209,170,101,74,185,137,77,95,116,116,116,104,98,80,71
Cooltúra,140,110,70,110,110,70,140,90,90,130,130,90,70,150,115,150,60,115,50,45,130,60,100,100,120,115,105,150,65,85,105,85,50,105,100,120,85,55,95,45,95,50,80,95,80,65,80,40,80,55,45,120,60,80,0,40,40,0,65,55,0,80
