helyezes,pontszam,csapat
1,9168,Fak-anál
2,9112,Slicc
3,8316,Vastagtej
4,8309,Pengék
5,8295,Smoke'n Gypsies
6,8066,Bio-Beton
7,7997,Suvix
8,7920,Mind 1
9,7702,Mittomén
10,7275,Palik
11,7233,Dzsiggesek
12,7150,Sixtynine
13,7128,No Name
14,7071,Beer-Ka
15,6990,How High
16,6866,Hopp te Zsiga
17,6733,Diszkopatkányok
18,6663,Bar-Bár
19,6647,Apafisokk
20,6585,Deus
21,6459,Sárkányvíz
22,5944,Töfi
23,5810,U.S.P. & H.T.
24,5690,Indián
25,5637,Oltári Bancc Záj
26,5370,Cool Age
27,4994,Daltonok
28,4681,X-tázi
