,0,3,4,5
0,15.00-19.00 – BEMUTATKOZÁS – HOIA erdő (Törökvágás)-egész csapat,15.00-19.00,BEMUTATKOZÁS,HOIA erdő (Törökvágás)-egész csapat
1,"22.00-04.00 – NŐI FOCI – Clujeana Arena (Május 1 tér -Piata 1 Mai- térről elindulva, a",22.00-04.00,NŐI FOCI,"Clujeana Arena (Május 1 tér -Piata 1 Mai- térről elindulva, a"
2,06.00-12.00 – CITY TOUR – Központi park bejárata (Magyar Színházzal szemben) – 6,06.00-12.00,CITY TOUR,Központi park bejárata (Magyar Színházzal szemben)
3,08.00-20.00 – SPORT – Babes park,08.00-20.00,SPORT,Babes park
4,8.00-20.00 – Foci(férfi) – 5+1 fiú,8.00-20.00,Foci(férfi),5+1 fiú
5,8.00-20.00 – Kézilabda – 5 fiú és2 lány,8.00-20.00,Kézilabda,5 fiú és2 lány
6,8.00-20.00 – Kosárlabda – 3fiú és 2 lány,8.00-20.00,Kosárlabda,3fiú és 2 lány
7,"10.00-20.00 – BILIÁRD – Champions (Május 1 tér, az 1-es troli végállomása) –",10.00-20.00,BILIÁRD,"Champions (Május 1 tér, az 1-es troli végállomása) –"
8,11.00- – DARTS– Bi-Klub( Bolyai,11.00-,DARTS– Bi-Klub( Bolyai,
9,11.00- – PAINTBALL – HOIA erdő,11.00-,PAINTBALL,HOIA erdő
10,11.00-14.00 – TÁJBICIKLI – Sportcsarnok előtti tér – csapatonként 1 lány és 1 fiú,11.00-14.00,TÁJBICIKLI,Sportcsarnok előtti tér
11,15.00-17.00 – CIKKÍRÁS – Unitárius Kollégium (Magyar -December 21- utca 9.) – 1 csapattag,15.00-17.00,CIKKÍRÁS,Unitárius Kollégium (Magyar -December 21- utca 9.)
12,"19.00-22.00 – MIRAKOLIX játék – Atmoszféra Caffé (Magyar utca, Soraval",19.00-22.00,MIRAKOLIX játék,"Atmoszféra Caffé (Magyar utca, Soraval"
13,22.00-24.00 – ÉJJELILEPKE – KMDSZ iroda- egész csapat,22.00-24.00,ÉJJELILEPKE,KMDSZ iroda- egész csapat
14,24.00-06.00 – RETRO buli a Roland Garros-ban,24.00-06.00,RETRO buli a Roland Garros-ban,
15,08.00-20.00 – TÁNCMARATON – Unitárius Kollégium (Magyar -December 21- utca 9.) –1 fiú és,08.00-20.00,TÁNCMARATON,Unitárius Kollégium (Magyar -December 21- utca 9.) –1 fiú és
16,08.00-13.00 – PC JÁTÉKOK – Blade (Szentegyház -Iuliu Maniu- utca) - 1 fiú es 1 lány,08.00-13.00,PC JÁTÉKOK,Blade (Szentegyház -Iuliu Maniu- utca) - 1 fiú es 1 lány
17,08.00-20.00 – SPORT – Babes park:,08.00-20.00,SPORT,Babes park:
18,10.00- – Kézilabda – 5 fiú és 2 lány,10.00-,Kézilabda,5 fiú és 2 lány
19,10.00-12.00 – VIZIMAJÁLIS – Központi parki tó - 1 fiú és 1 lány,10.00-12.00,VIZIMAJÁLIS,Központi parki tó - 1 fiú és 1 lány
20,11.00- – CSOCSÓ – Heltai,11.00-,CSOCSÓ,Heltai
21,12.00-22.00 – KOCSMAJÁTÉKOK – Bulgakov Caffé – 3 csapattag,12.00-22.00,KOCSMAJÁTÉKOK,Bulgakov Caffé
22,16.00-19.00 – KULTÚRMARATON – Corvinus Pub – 2 csapattag,16.00-19.00,KULTÚRMARATON,Corvinus Pub
23,22.00-06.00 – RETRO buli a Roland Garros-ban,22.00-06.00,RETRO buli a Roland Garros-ban,
24,10.00-19.00 – MAJÁLIS a Bükkben – teljes csapat,10.00-19.00,MAJÁLIS a Bükkben,teljes csapat
25,20.00-6.00 – ZÁRÓ BULI az Irish&Music Pub-ban,20.00-6.00,ZÁRÓ BULI az Irish&Music Pub-ban,
