,Unnamed: 0,Felvonulás,Bemutatkozó,Félsziget feladat,Női foci,City Tour Day,Kosárlabda,Kézilabda,Strandröplabda,Tenisz,Paintball,Go-kart,Póker,Krucsa,Cikkírás,Sakk,Vízimajális,Rubik torna,Kopogós,Bolc,Úszás,Tematikus bulik,Táncmaraton,Lábtenisz,Foci,Bowling,Íjászat,Afterparty,PC-játékok,Kultúrmaraton,Csocsó,Tablé,Biciklitúra,Biliárd,Dártsz,Karaoké,Piramis,City Tour Night,Majális,Asztalitenisz,Diáknapok előbuli,Tematikus Bulik.,Buli,Bónusz feladat
0,How High,0,393,0,220,75,70,70,0,72,80,30,35,16,50,0,70,18,29,25,0,150,161,36,180,34,22,,50,176,70,32,94,32,16,35,25,100,61,95,,150,,0
1,Bio-Beton,0,379,15,70,50,140,140,72,36,80,16,80,16,0,32,42,45,14,35,50,150,161,72,220,45,52,,47,176,20,64,93,16,16,20,10,175,278,36,,150,,100
2,Suvix,0,277,15,220,100,180,140,72,72,40,16,20,16,50,48,54,45,14,20,70,150,177,36,140,37,12,,64,139,40,0,103,16,32,20,37,200,491,72,,150,,400
3,FuckTúra,0,373,90,70,75,70,140,110,36,80,16,45,16,20,32,46,45,11,45,50,150,167,36,180,57,32,,90,136,50,16,89,32,80,45,0,225,534,36,,150,,450
4,Pa-Lik,0,419,0,70,25,70,140,95,72,40,30,8,48,20,48,83,0,7,10,70,150,99,36,140,46,82,,62,156,60,48,92,16,32,45,25,175,405,36,,150,,450
5,Pengék,0,458,100,70,225,260,70,36,72,40,16,35,16,50,48,95,55,25,20,180,150,171,72,180,57,66,,64,207,30,16,135,32,32,45,25,250,557,72,,150,,450
6,Mérce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0
7,Ignore,0,401,60,70,125,177,177,36,72,120,30,45,16,50,48,86,18,14,35,50,150,158,36,70,53,98,,52,210,55,80,29,16,70,60,10,200,436,150,,150,,450
8,MAKI verem,0,415,50,70,175,140,180,95,72,80,45,30,60,20,48,61,18,14,35,70,150,165,36,140,48,12,,57,150,20,48,72,16,16,35,0,175,425,36,,150,,450
9,APACSOK,0,403,0,70,25,70,70,36,36,165,30,35,16,50,48,15,45,14,20,0,150,158,72,70,61,48,,67,139,40,48,85,32,16,35,25,200,386,36,,150,,450
10,UNI-GUNS,0,401,15,350,200,180,70,150,36,40,16,35,32,20,80,64,80,11,25,70,150,187,36,180,57,36,,47,145,20,32,75,16,16,45,25,175,640,36,,150,,450
11,YES FOR SURE,0,402,15,70,75,70,180,0,72,40,30,0,32,20,80,0,45,7,20,35,150,177,72,140,58,24,,50,152,20,48,90,16,32,8,10,225,402,36,,150,,450
12,STIHLus,0,425,10,140,150,70,70,0,0,180,30,60,16,20,48,30,55,14,10,150,150,209,36,300,44,40,,69,128,0,64,83,16,32,35,25,200,370,95,,150,,350
13,Smoke'n Gypsies,0,381,10,70,225,350,70,72,72,120,55,45,80,20,64,47,55,11,10,100,150,176,72,350,67,86,,67,153,30,32,101,80,48,35,25,250,567,72,,150,,450
