,0,1,csapat
0,5417," Eredmények
1. Pengék5417", Pengék
1,4962,2. WaTtaFák4962, WaTtaFák
2,4829,3. FuckTúra4829, FuckTúra
3,4800,3. Balls & Dolls4800, Balls & Dolls
4,4757,4. MAKIverem4757, MAKIverem
5,4690,5. Mérce4690, Mérce
6,4638,6. Búvármedvék4638, Búvármedvék
7,4558,7. K.O.SER4558, K
8,4526,8. Pur-D4526, Pur-D
9,4486,9. pi-pirátok4486, pi-pirátok
10,4475,10. ez egy fa4475, ez egy fa
11,4444,11. IGNORE4444, IGNORE
12,4378,12. Mind14378, Mind1
13,4372,13. UNI-GUNS4372, UNI-GUNS
14,4343,14. HELP!4343, HELP!
15,4277,15. Hello Pisti4277, Hello Pisti
16,4240,16. YES FOR SURE4240, YES FOR SURE
17,4222,17. Bitchka4222, Bitchka
18,4192,18. Bio-Beton4192, Bio-Beton
19,4147,19. oltaRIBANCzaj4147, oltaRIBANCzaj
20,4096,20. KápásoK4096, KápásoK
21,4078,21. BEERka4078, BEERka
22,4078,22. TËMPO!4078, TËMPO!
23,4051,23. Beez-Mute4051, Beez-Mute
24,3953,24. beer-bar-bárok3953, beer-bar-bárok
25,3939,25. X-tázi3939, X-tázi
26,3895,26. Bummeránga3895, Bummeránga
27,3861,27. Szesz Coke3861, Szesz Coke
28,3834,28. Csíki- Share3834, Csíki- Share
29,3801,29. InTeam3801, InTeam
30,3754,30. Ű-beer3754, Ű-beer
31,3731,31. Felrúglak'oszt LSL3731, Felrúglak'oszt LSL
32,3717,32. AzNap3717, AzNap
33,3659,33. Apafisokk3659, Apafisokk
34,3644,34. VigyOrgia3644, VigyOrgia
35,3639,35. Hol a söröm?!3639, Hol a söröm?!
36,3629,36. STIHLus3629, STIHLus
37,3625,37. Soaps2Night3625, Soaps2Night
38,3609,38. Vodkatonák3609, Vodkatonák
39,3582,39. Like A Boss!3582, Like A Boss!
40,3452,40. Fapuma3452, Fapuma
41,3447,41. borÁszok3447, borÁszok
42,3394,42. Pa-lik3394, Pa-lik
43,3370,43. G Pont3370, G Pont
44,3305,44. How High3305, How High
45,3282,45. N@fing3282, N@fing
46,3012,46. Apacsok3012, Apacsok
47,2657,47. Acél Mackók2657, Acél Mackók
