
Varste si grupe de varsta, Sexe, Medii de rezidenta, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
Total, Masculin, Total, Covasna, Anul 1999, Numar persoane, 115215
Total, Masculin, Total, Covasna, Anul 2000, Numar persoane, 115210
Total, Masculin, Total, Covasna, Anul 2001, Numar persoane, 115320
Total, Masculin, Total, Covasna, Anul 2002, Numar persoane, 115443
Total, Masculin, Total, Covasna, Anul 2003, Numar persoane, 115195
Total, Masculin, Total, Covasna, Anul 2004, Numar persoane, 115044
Total, Masculin, Total, Covasna, Anul 2005, Numar persoane, 114955
Total, Masculin, Total, Covasna, Anul 2006, Numar persoane, 114970
Total, Masculin, Total, Covasna, Anul 2007, Numar persoane, 114893
Total, Masculin, Total, Covasna, Anul 2008, Numar persoane, 114773
Total, Masculin, Total, Covasna, Anul 2009, Numar persoane, 114559
Total, Masculin, Total, Covasna, Anul 2010, Numar persoane, 114416
Total, Masculin, Total, Covasna, Anul 2011, Numar persoane, 114127
Total, Masculin, Total, Covasna, Anul 2012, Numar persoane, 113806
Total, Masculin, Total, Harghita, Anul 1999, Numar persoane, 171418
Total, Masculin, Total, Harghita, Anul 2000, Numar persoane, 171014
Total, Masculin, Total, Harghita, Anul 2001, Numar persoane, 170864
Total, Masculin, Total, Harghita, Anul 2002, Numar persoane, 170450
Total, Masculin, Total, Harghita, Anul 2003, Numar persoane, 169861
Total, Masculin, Total, Harghita, Anul 2004, Numar persoane, 169323
Total, Masculin, Total, Harghita, Anul 2005, Numar persoane, 168678
Total, Masculin, Total, Harghita, Anul 2006, Numar persoane, 168232
Total, Masculin, Total, Harghita, Anul 2007, Numar persoane, 167859
Total, Masculin, Total, Harghita, Anul 2008, Numar persoane, 167583
Total, Masculin, Total, Harghita, Anul 2009, Numar persoane, 167241
Total, Masculin, Total, Harghita, Anul 2010, Numar persoane, 167049
Total, Masculin, Total, Harghita, Anul 2011, Numar persoane, 166670
Total, Masculin, Total, Harghita, Anul 2012, Numar persoane, 166274
Total, Masculin, Total, Mures, Anul 1999, Numar persoane, 300170
Total, Masculin, Total, Mures, Anul 2000, Numar persoane, 299770
Total, Masculin, Total, Mures, Anul 2001, Numar persoane, 299769
Total, Masculin, Total, Mures, Anul 2002, Numar persoane, 299632
Total, Masculin, Total, Mures, Anul 2003, Numar persoane, 299168
Total, Masculin, Total, Mures, Anul 2004, Numar persoane, 298907
Total, Masculin, Total, Mures, Anul 2005, Numar persoane, 298414
Total, Masculin, Total, Mures, Anul 2006, Numar persoane, 298037
Total, Masculin, Total, Mures, Anul 2007, Numar persoane, 297449
Total, Masculin, Total, Mures, Anul 2008, Numar persoane, 297040
Total, Masculin, Total, Mures, Anul 2009, Numar persoane, 296838
Total, Masculin, Total, Mures, Anul 2010, Numar persoane, 296321
Total, Masculin, Total, Mures, Anul 2011, Numar persoane, 295635
Total, Masculin, Total, Mures, Anul 2012, Numar persoane, 294929
Total, Feminin, Total, Covasna, Anul 1999, Numar persoane, 117532
Total, Feminin, Total, Covasna, Anul 2000, Numar persoane, 117623
Total, Feminin, Total, Covasna, Anul 2001, Numar persoane, 117809
Total, Feminin, Total, Covasna, Anul 2002, Numar persoane, 117923
Total, Feminin, Total, Covasna, Anul 2003, Numar persoane, 117880
Total, Feminin, Total, Covasna, Anul 2004, Numar persoane, 117737
Total, Feminin, Total, Covasna, Anul 2005, Numar persoane, 117619
Total, Feminin, Total, Covasna, Anul 2006, Numar persoane, 117705
Total, Feminin, Total, Covasna, Anul 2007, Numar persoane, 117666
Total, Feminin, Total, Covasna, Anul 2008, Numar persoane, 117635
Total, Feminin, Total, Covasna, Anul 2009, Numar persoane, 117692
Total, Feminin, Total, Covasna, Anul 2010, Numar persoane, 117636
Total, Feminin, Total, Covasna, Anul 2011, Numar persoane, 117394
Total, Feminin, Total, Covasna, Anul 2012, Numar persoane, 117101
Total, Feminin, Total, Harghita, Anul 1999, Numar persoane, 171640
Total, Feminin, Total, Harghita, Anul 2000, Numar persoane, 171627
