
Varste si grupe de varsta, Sexe, Medii de rezidenta, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
Total, Masculin, Total, Regiunea NORD-EST, Anul 1992, Numar persoane, 1924752
Total, Masculin, Total, Regiunea NORD-EST, Anul 1993, Numar persoane, 1922274
Total, Masculin, Total, Regiunea NORD-EST, Anul 1994, Numar persoane, 1922131
Total, Masculin, Total, Regiunea NORD-EST, Anul 1995, Numar persoane, 1922624
Total, Masculin, Total, Regiunea NORD-EST, Anul 1996, Numar persoane, 1922906
Total, Masculin, Total, Regiunea NORD-EST, Anul 1997, Numar persoane, 1920246
Total, Masculin, Total, Regiunea NORD-EST, Anul 1998, Numar persoane, 1921917
Total, Masculin, Total, Regiunea NORD-EST, Anul 1999, Numar persoane, 1925448
Total, Masculin, Total, Regiunea NORD-EST, Anul 2000, Numar persoane, 1929929
Total, Masculin, Total, Regiunea NORD-EST, Anul 2001, Numar persoane, 1934539
Total, Masculin, Total, Regiunea NORD-EST, Anul 2002, Numar persoane, 1937172
Total, Masculin, Total, Regiunea NORD-EST, Anul 2003, Numar persoane, 1937369
Total, Masculin, Total, Regiunea NORD-EST, Anul 2004, Numar persoane, 1936221
Total, Masculin, Total, Regiunea NORD-EST, Anul 2005, Numar persoane, 1934894
Total, Masculin, Total, Regiunea NORD-EST, Anul 2006, Numar persoane, 1934782
Total, Masculin, Total, Regiunea NORD-EST, Anul 2007, Numar persoane, 1933187
Total, Masculin, Total, Regiunea NORD-EST, Anul 2008, Numar persoane, 1931678
Total, Masculin, Total, Regiunea NORD-EST, Anul 2009, Numar persoane, 1929724
Total, Masculin, Total, Regiunea NORD-EST, Anul 2010, Numar persoane, 1927917
Total, Masculin, Total, Regiunea NORD-EST, Anul 2011, Numar persoane, 1924273
Total, Masculin, Total, Regiunea NORD-EST, Anul 2012, Numar persoane, 1922894
Total, Masculin, Total, Regiunea NORD-EST, Anul 2013, Numar persoane, 1926850
Total, Masculin, Total, Regiunea NORD-EST, Anul 2014, Numar persoane, 1935176
Total, Masculin, Total, Regiunea SUD-EST, Anul 1992, Numar persoane, 1493187
Total, Masculin, Total, Regiunea SUD-EST, Anul 1993, Numar persoane, 1493588
Total, Masculin, Total, Regiunea SUD-EST, Anul 1994, Numar persoane, 1492994
Total, Masculin, Total, Regiunea SUD-EST, Anul 1995, Numar persoane, 1490510
Total, Masculin, Total, Regiunea SUD-EST, Anul 1996, Numar persoane, 1487426
Total, Masculin, Total, Regiunea SUD-EST, Anul 1997, Numar persoane, 1482990
Total, Masculin, Total, Regiunea SUD-EST, Anul 1998, Numar persoane, 1479808
Total, Masculin, Total, Regiunea SUD-EST, Anul 1999, Numar persoane, 1478102
Total, Masculin, Total, Regiunea SUD-EST, Anul 2000, Numar persoane, 1475804
Total, Masculin, Total, Regiunea SUD-EST, Anul 2001, Numar persoane, 1474008
Total, Masculin, Total, Regiunea SUD-EST, Anul 2002, Numar persoane, 1470775
Total, Masculin, Total, Regiunea SUD-EST, Anul 2003, Numar persoane, 1466720
Total, Masculin, Total, Regiunea SUD-EST, Anul 2004, Numar persoane, 1462694
Total, Masculin, Total, Regiunea SUD-EST, Anul 2005, Numar persoane, 1459509
Total, Masculin, Total, Regiunea SUD-EST, Anul 2006, Numar persoane, 1456759
Total, Masculin, Total, Regiunea SUD-EST, Anul 2007, Numar persoane, 1453399
Total, Masculin, Total, Regiunea SUD-EST, Anul 2008, Numar persoane, 1450562
Total, Masculin, Total, Regiunea SUD-EST, Anul 2009, Numar persoane, 1447279
Total, Masculin, Total, Regiunea SUD-EST, Anul 2010, Numar persoane, 1443497
Total, Masculin, Total, Regiunea SUD-EST, Anul 2011, Numar persoane, 1437959
Total, Masculin, Total, Regiunea SUD-EST, Anul 2012, Numar persoane, 1432307
Total, Masculin, Total, Regiunea SUD-EST, Anul 2013, Numar persoane, 1427251
Total, Masculin, Total, Regiunea SUD-EST, Anul 2014, Numar persoane, 1421167
Total, Masculin, Total, Regiunea SUD-MUNTENIA, Anul 1992, Numar persoane, 1761079
Total, Masculin, Total, Regiunea SUD-MUNTENIA, Anul 1993, Numar persoane, 1754757
Total, Masculin, Total, Regiunea SUD-MUNTENIA, Anul 1994, Numar persoane, 1749079
Total, Masculin, Total, Regiunea SUD-MUNTENIA, Anul 1995, Numar persoane, 1742957
Total, Masculin, Total, Regiunea SUD-MUNTENIA, Anul 1996, Numar persoane, 1735534
Total, Masculin, Total, Regiunea SUD-MUNTENIA, Anul 1997, Numar persoane, 1726556
