
Sexe, Grupe de varsta , Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
Total, Total, TOTAL, Anul 1990, Numar persoane, 247086
Total, Total, TOTAL, Anul 1991, Numar persoane, 251760
Total, Total, TOTAL, Anul 1992, Numar persoane, 263855
Total, Total, TOTAL, Anul 1993, Numar persoane, 263323
Total, Total, TOTAL, Anul 1994, Numar persoane, 266101
Total, Total, TOTAL, Anul 1995, Numar persoane, 271672
Total, Total, TOTAL, Anul 1996, Numar persoane, 286158
Total, Total, TOTAL, Anul 1997, Numar persoane, 279315
Total, Total, TOTAL, Anul 1998, Numar persoane, 269166
Total, Total, TOTAL, Anul 1999, Numar persoane, 265194
Total, Total, TOTAL, Anul 2000, Numar persoane, 255820
Total, Total, TOTAL, Anul 2001, Numar persoane, 259603
Total, Total, TOTAL, Anul 2002, Numar persoane, 269666
Total, Total, TOTAL, Anul 2003, Numar persoane, 266575
Total, Total, TOTAL, Anul 2004, Numar persoane, 258890
Total, Total, TOTAL, Anul 2005, Numar persoane, 262101
Total, Total, TOTAL, Anul 2006, Numar persoane, 258094
Total, Total, TOTAL, Anul 2007, Numar persoane, 251965
Total, Total, TOTAL, Anul 2008, Numar persoane, 253202
Total, Total, TOTAL, Anul 2009, Numar persoane, 257213
Total, Total, TOTAL, Anul 2010, Numar persoane, 259723
Total, Total, TOTAL, Anul 2011, Numar persoane, 251439
Total, Total, TOTAL, Anul 2012, Numar persoane, 255539
Total, Total, TOTAL, Anul 2013, Numar persoane, 249904
Total, Total, Regiunea NORD-VEST, Anul 1990, Numar persoane, 33300
Total, Total, Regiunea NORD-VEST, Anul 1991, Numar persoane, 34148
Total, Total, Regiunea NORD-VEST, Anul 1992, Numar persoane, 36561
Total, Total, Regiunea NORD-VEST, Anul 1993, Numar persoane, 36422
Total, Total, Regiunea NORD-VEST, Anul 1994, Numar persoane, 36192
Total, Total, Regiunea NORD-VEST, Anul 1995, Numar persoane, 35955
Total, Total, Regiunea NORD-VEST, Anul 1996, Numar persoane, 37055
Total, Total, Regiunea NORD-VEST, Anul 1997, Numar persoane, 36913
Total, Total, Regiunea NORD-VEST, Anul 1998, Numar persoane, 35583
Total, Total, Regiunea NORD-VEST, Anul 1999, Numar persoane, 34854
Total, Total, Regiunea NORD-VEST, Anul 2000, Numar persoane, 33976
Total, Total, Regiunea NORD-VEST, Anul 2001, Numar persoane, 34134
Total, Total, Regiunea NORD-VEST, Anul 2002, Numar persoane, 34776
Total, Total, Regiunea NORD-VEST, Anul 2003, Numar persoane, 33934
Total, Total, Regiunea NORD-VEST, Anul 2004, Numar persoane, 34010
Total, Total, Regiunea NORD-VEST, Anul 2005, Numar persoane, 33798
Total, Total, Regiunea NORD-VEST, Anul 2006, Numar persoane, 33155
Total, Total, Regiunea NORD-VEST, Anul 2007, Numar persoane, 31735
Total, Total, Regiunea NORD-VEST, Anul 2008, Numar persoane, 31377
Total, Total, Regiunea NORD-VEST, Anul 2009, Numar persoane, 32124
Total, Total, Regiunea NORD-VEST, Anul 2010, Numar persoane, 31903
Total, Total, Regiunea NORD-VEST, Anul 2011, Numar persoane, 31013
Total, Total, Regiunea NORD-VEST, Anul 2012, Numar persoane, 31590
Total, Total, Regiunea NORD-VEST, Anul 2013, Numar persoane, 31030
Total, Total, Regiunea CENTRU, Anul 1990, Numar persoane, 27620
Total, Total, Regiunea CENTRU, Anul 1991, Numar persoane, 27586
Total, Total, Regiunea CENTRU, Anul 1992, Numar persoane, 29153
Total, Total, Regiunea CENTRU, Anul 1993, Numar persoane, 29551
Total, Total, Regiunea CENTRU, Anul 1994, Numar persoane, 29104
Total, Total, Regiunea CENTRU, Anul 1995, Numar persoane, 29875
Total, Total, Regiunea CENTRU, Anul 1996, Numar persoane, 30888
Total, Total, Regiunea CENTRU, Anul 1997, Numar persoane, 30828
Total, Total, Regiunea CENTRU, Anul 1998, Numar persoane, 29763
Total, Total, Regiunea CENTRU, Anul 1999, Numar persoane, 29384
Total, Total, Regiunea CENTRU, Anul 2000, Numar persoane, 27738
Total, Total, Regiunea CENTRU, Anul 2001, Numar persoane, 28249
Total, Total, Regiunea CENTRU, Anul 2002, Numar persoane, 29822
Total, Total, Regiunea CENTRU, Anul 2003, Numar persoane, 28699
Total, Total, Regiunea CENTRU, Anul 2004, Numar persoane, 28555
Total, Total, Regiunea CENTRU, Anul 2005, Numar persoane, 28805
Total, Total, Regiunea CENTRU, Anul 2006, Numar persoane, 28950
Total, Total, Regiunea CENTRU, Anul 2007, Numar persoane, 27517
Total, Total, Regiunea CENTRU, Anul 2008, Numar persoane, 28049
Total, Total, Regiunea CENTRU, Anul 2009, Numar persoane, 28329
Total, Total, Regiunea CENTRU, Anul 2010, Numar persoane, 28266
Total, Total, Regiunea CENTRU, Anul 2011, Numar persoane, 27465
Total, Total, Regiunea CENTRU, Anul 2012, Numar persoane, 27677
Total, Total, Regiunea CENTRU, Anul 2013, Numar persoane, 27370
Total, Total, Regiunea NORD-EST, Anul 1990, Numar persoane, 35655
Total, Total, Regiunea NORD-EST, Anul 1991, Numar persoane, 36957
Total, Total, Regiunea NORD-EST, Anul 1992, Numar persoane, 38554
Total, Total, Regiunea NORD-EST, Anul 1993, Numar persoane, 38880
Total, Total, Regiunea NORD-EST, Anul 1994, Numar persoane, 40578
Total, Total, Regiunea NORD-EST, Anul 1995, Numar persoane, 41177
Total, Total, Regiunea NORD-EST, Anul 1996, Numar persoane, 44389
Total, Total, Regiunea NORD-EST, Anul 1997, Numar persoane, 42654
Total, Total, Regiunea NORD-EST, Anul 1998, Numar persoane, 40911
Total, Total, Regiunea NORD-EST, Anul 1999, Numar persoane, 40623
Total, Total, Regiunea NORD-EST, Anul 2000, Numar persoane, 40176
Total, Total, Regiunea NORD-EST, Anul 2001, Numar persoane, 40539
Total, Total, Regiunea NORD-EST, Anul 2002, Numar persoane, 42815
Total, Total, Regiunea NORD-EST, Anul 2003, Numar persoane, 43264
Total, Total, Regiunea NORD-EST, Anul 2004, Numar persoane, 40959
Total, Total, Regiunea NORD-EST, Anul 2005, Numar persoane, 41071
Total, Total, Regiunea NORD-EST, Anul 2006, Numar persoane, 40287
Total, Total, Regiunea NORD-EST, Anul 2007, Numar persoane, 40491
Total, Total, Regiunea NORD-EST, Anul 2008, Numar persoane, 40843
