id,value
Romania,100
Romania.1,100
Romania.1.2,100
Romania.1.2.3,100
Romania.1.2.3.4,100
Romania.1.2.3.4.Adina-Ioana VĂLEAN,100
Romania.1.1,100
Romania.1.1.1,100
Romania.1.1.1.1,100
Romania.1.1.1.1.Andi CRISTEA,100
Romania.1.1.1.1.Claudia ȚAPARDEL,100
Romania.1.1.1.1.Claudiu Ciprian TĂNĂSESCU,100
Romania.1.2.3.4.Cristian Dan PREDA,100
Romania.1.2.3.4.Cristian-Silviu BUŞOI,100
Romania.1.2.3.4.Csaba SÓGOR,100
Romania.1.1.1.1.Cătălin Sorin IVAN,100
Romania.1.1.1.1.Daciana Octavia SÂRBU,100
Romania.1.1.1.2,100
Romania.1.1.1.2.Damian DRĂGHICI,100
Romania.1.1.1.1.Dan NICA,100
Romania.1.2.3.4.Daniel BUDA,100
Romania.1.1.1.1.Doru-Claudian FRUNZULICĂ,100
Romania.1.1.1.1.Emilian PAVEL,100
Romania.1.1.1.1.Ioan Mircea PAŞCU,100
Romania.1.2.3.4.Iuliu WINKLER,100
Romania.2,100
Romania.2.3,100
Romania.2.3.4,100
Romania.2.3.4.5,100
Romania.2.3.4.5.Laurenţiu REBEGA,100
Romania.1.1.1.1.Maria GRAPINI,100
Romania.1.1.1.1.Maria Gabriela ZOANĂ,100
Romania.1.2.3.4.Marian-Jean MARINESCU,100
Romania.1.2.3.4.Mihai ŢURCANU,100
Romania.1.2.2,100
Romania.1.2.2.3,100
Romania.1.2.2.3.Mircea DIACONU,100
Romania.1.2.3.4.Monica MACOVEI,100
Romania.1.2.2.3.Norica NICOLAI,100
Romania.1.2.3.4.Ramona Nicole MĂNESCU,100
Romania.1.2.2.3.Renate WEBER,100
Romania.1.1.1.1.Răzvan POPA,100
Romania.1.2.3.4.Siegfried MUREŞAN,100
Romania.1.2.3.4.Sorin MOISĂ,100
Romania.1.2.3.4.Theodor Dumitru STOLOJAN,100
Romania.1.2.3.4.Traian UNGUREANU,100
Romania.1.1.1.1.Victor BOŞTINARU,100
