
Judete, Sectiuni si capitole conform Nomenclatorului Combinat (NC), Luni, UM: Mii euro, Valoare
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna ianuarie 2011, Mii EURO, 22269
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna februarie 2011, Mii EURO, 26316
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna martie 2011, Mii EURO, 29645
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna aprilie 2011, Mii EURO, 29848
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna mai 2011, Mii EURO, 33498
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna iunie 2011, Mii EURO, 33417
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna iulie 2011, Mii EURO, 33381
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna august 2011, Mii EURO, 36000
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna septembrie 2011, Mii EURO, 39899
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna octombrie 2011, Mii EURO, 35643
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna noiembrie 2011, Mii EURO, 34373
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna decembrie 2011, Mii EURO, 26160
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna ianuarie 2012, Mii EURO, 22239
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna februarie 2012, Mii EURO, 26547
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna martie 2012, Mii EURO, 29611
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna aprilie 2012, Mii EURO, 32925
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna mai 2012, Mii EURO, 37356
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna iunie 2012, Mii EURO, 33619
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna iulie 2012, Mii EURO, 36025
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna august 2012, Mii EURO, 31025
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna septembrie 2012, Mii EURO, 32756
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna octombrie 2012, Mii EURO, 37972
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna noiembrie 2012, Mii EURO, 31929
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna decembrie 2012, Mii EURO, 22583
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna ianuarie 2013, Mii EURO, 24492
