
Judete, Sectiuni si capitole conform Nomenclatorului Combinat (NC), Luni, UM: Mii euro, Valoare
Alba, IX. Produse din lemn  exclusiv mobilier, Luna ianuarie 2011, Mii EURO, 2953
Alba, IX. Produse din lemn  exclusiv mobilier, Luna februarie 2011, Mii EURO, 2841
Alba, IX. Produse din lemn  exclusiv mobilier, Luna martie 2011, Mii EURO, 2312
Alba, IX. Produse din lemn  exclusiv mobilier, Luna aprilie 2011, Mii EURO, 2525
Alba, IX. Produse din lemn  exclusiv mobilier, Luna mai 2011, Mii EURO, 2738
Alba, IX. Produse din lemn  exclusiv mobilier, Luna iunie 2011, Mii EURO, 2684
Alba, IX. Produse din lemn  exclusiv mobilier, Luna iulie 2011, Mii EURO, 2363
Alba, IX. Produse din lemn  exclusiv mobilier, Luna august 2011, Mii EURO, 2560
Alba, IX. Produse din lemn  exclusiv mobilier, Luna septembrie 2011, Mii EURO, 2453
Alba, IX. Produse din lemn  exclusiv mobilier, Luna octombrie 2011, Mii EURO, 2784
Alba, IX. Produse din lemn  exclusiv mobilier, Luna noiembrie 2011, Mii EURO, 3747
Alba, IX. Produse din lemn  exclusiv mobilier, Luna decembrie 2011, Mii EURO, 3344
Alba, IX. Produse din lemn  exclusiv mobilier, Luna ianuarie 2012, Mii EURO, 1813
Alba, IX. Produse din lemn  exclusiv mobilier, Luna februarie 2012, Mii EURO, 3117
Alba, IX. Produse din lemn  exclusiv mobilier, Luna martie 2012, Mii EURO, 4051
Alba, IX. Produse din lemn  exclusiv mobilier, Luna aprilie 2012, Mii EURO, 4136
Alba, IX. Produse din lemn  exclusiv mobilier, Luna mai 2012, Mii EURO, 3626
Alba, IX. Produse din lemn  exclusiv mobilier, Luna iunie 2012, Mii EURO, 3422
Alba, IX. Produse din lemn  exclusiv mobilier, Luna iulie 2012, Mii EURO, 3755
Alba, IX. Produse din lemn  exclusiv mobilier, Luna august 2012, Mii EURO, 3512
Alba, IX. Produse din lemn  exclusiv mobilier, Luna septembrie 2012, Mii EURO, 3363
Alba, IX. Produse din lemn  exclusiv mobilier, Luna octombrie 2012, Mii EURO, 3523
Alba, IX. Produse din lemn  exclusiv mobilier, Luna noiembrie 2012, Mii EURO, 3156
Alba, IX. Produse din lemn  exclusiv mobilier, Luna decembrie 2012, Mii EURO, 3350
Alba, IX. Produse din lemn  exclusiv mobilier, Luna ianuarie 2013, Mii EURO, 2049
Alba, IX. Produse din lemn  exclusiv mobilier, Luna februarie 2013, Mii EURO, 3252
Alba, IX. Produse din lemn  exclusiv mobilier, Luna martie 2013, Mii EURO, 2969
Alba, IX. Produse din lemn  exclusiv mobilier, Luna aprilie 2013, Mii EURO, 3167
Alba, IX. Produse din lemn  exclusiv mobilier, Luna mai 2013, Mii EURO, 2913
Alba, IX. Produse din lemn  exclusiv mobilier, Luna iunie 2013, Mii EURO, 3099
Alba, IX. Produse din lemn  exclusiv mobilier, Luna iulie 2013, Mii EURO, 3509
Alba, IX. Produse din lemn  exclusiv mobilier, Luna august 2013, Mii EURO, 3281
Alba, IX. Produse din lemn  exclusiv mobilier, Luna septembrie 2013, Mii EURO, 3366
Alba, IX. Produse din lemn  exclusiv mobilier, Luna octombrie 2013, Mii EURO, 3186
Alba, IX. Produse din lemn  exclusiv mobilier, Luna noiembrie 2013, Mii EURO, 3542
Alba, IX. Produse din lemn  exclusiv mobilier, Luna decembrie 2013, Mii EURO, 3468
Alba, IX. Produse din lemn  exclusiv mobilier, Luna ianuarie 2014, Mii EURO, 3238
Alba, IX. Produse din lemn  exclusiv mobilier, Luna februarie 2014, Mii EURO, 4408
Alba, IX. Produse din lemn  exclusiv mobilier, Luna martie 2014, Mii EURO, 5128
Alba, IX. Produse din lemn  exclusiv mobilier, Luna aprilie 2014, Mii EURO, 5275
Alba, IX. Produse din lemn  exclusiv mobilier, Luna mai 2014, Mii EURO, 4902
Alba, IX. Produse din lemn  exclusiv mobilier, Luna iunie 2014, Mii EURO, 5375
Alba, IX. Produse din lemn  exclusiv mobilier, Luna iulie 2014, Mii EURO, 4570
Alba, IX. Produse din lemn  exclusiv mobilier, Luna august 2014, Mii EURO, 4454
Alba, IX. Produse din lemn  exclusiv mobilier, Luna septembrie 2014, Mii EURO, 4854
Alba, IX. Produse din lemn  exclusiv mobilier, Luna octombrie 2014, Mii EURO, 4563
Alba, IX. Produse din lemn  exclusiv mobilier, Luna noiembrie 2014, Mii EURO, 5164
Alba, IX. Produse din lemn  exclusiv mobilier, Luna decembrie 2014, Mii EURO, 5237
Alba, IX. Produse din lemn  exclusiv mobilier, Luna ianuarie 2015, Mii EURO, 4001
Alba, IX. Produse din lemn  exclusiv mobilier, Luna februarie 2015, Mii EURO, 6634
Alba, IX. Produse din lemn  exclusiv mobilier, Luna martie 2015, Mii EURO, 8648
Alba, IX. Produse din lemn  exclusiv mobilier, Luna aprilie 2015, Mii EURO, 5379
Alba, IX. Produse din lemn  exclusiv mobilier, Luna mai 2015, Mii EURO, 7475
Alba, IX. Produse din lemn  exclusiv mobilier, Luna iunie 2015, Mii EURO, 7074
Alba, IX. Produse din lemn  exclusiv mobilier, Luna iulie 2015, Mii EURO, 7981
Alba, IX. Produse din lemn  exclusiv mobilier, Luna august 2015, Mii EURO, 8039
Alba, IX. Produse din lemn  exclusiv mobilier, Luna septembrie 2015, Mii EURO, 7556
Alba, IX. Produse din lemn  exclusiv mobilier, Luna octombrie 2015, Mii EURO, 7187
Alba, IX. Produse din lemn  exclusiv mobilier, Luna noiembrie 2015, Mii EURO, 7036
Alba, IX. Produse din lemn  exclusiv mobilier, Luna decembrie 2015, Mii EURO, 6709
Alba, IX. Produse din lemn  exclusiv mobilier, Luna ianuarie 2016, Mii EURO, 7737
Alba, IX. Produse din lemn  exclusiv mobilier, Luna februarie 2016, Mii EURO, 9167
Alba, IX. Produse din lemn  exclusiv mobilier, Luna martie 2016, Mii EURO, 10672
Alba, IX. Produse din lemn  exclusiv mobilier, Luna aprilie 2016, Mii EURO, 9686
Alba, IX. Produse din lemn  exclusiv mobilier, Luna mai 2016, Mii EURO, 9161
Alba, IX. Produse din lemn  exclusiv mobilier, Luna iunie 2016, Mii EURO, 7831
Alba, IX. Produse din lemn  exclusiv mobilier, Luna iulie 2016, Mii EURO, 6824
Alba, IX. Produse din lemn  exclusiv mobilier, Luna august 2016, Mii EURO, 6164
