;0;Cégnév;Árbevétel 2017 (RON);Árbevétel 2016 (RON);Árbevétel 2015 (RON);Árbevétel 2014 (RON);region;nr;coords;kws;cms
0;1;FABRICA DE LAPTE BRASOV SA;431 950 759;370 418 528;338 283 110;304 736 719;also-haromszek;1;['46.0750630', ' 25.6087250'];"['tejfeldolgozas', '', '""']";525100, Bar\xf3t, V\xedz u., 109\t
1;2;COVALACT SA;235 415 329;230 073 646;199 493 229;155 513 873;also-haromszek;2;['45.869573 ', ' 25.800705 '];"['tejfeldolgozas', '', '""']";520036, Sepsiszentgy\xf6rgy, Oltmez\xf5 u., 1\t
2;3;BERTIS SRL;175 084 203;148 602 434;117 574 305;105 746 524;also-haromszek;3;['45.858516 ', ' 25.808773 '];"['elelmiszer-nagykereskedes', '', '""']";520077, Sepsiszentgy\xf6rgy, Uzoni u., 6\t
3;4;DUNAPACK RAMBOX PRODIMPEX SRL;140 038 796;129 324 149;119 187 306;119 588 040;also-haromszek;4;['45.861235', ' 25.818515'];"['dobozforgalmazas', 'dobozgyartas', 'dobozok', '', '""']";520077, Sepsiszentgy\xf6rgy, \xc9p\xedt\xf5k u., 11\t
4;5;READY GARMENT TECHNOLOGY ROMANIA SRL;134 279 064;130 790 845;30 800 592;40 181 972;also-haromszek;5;['45.8772830', ' 25.7994510'];"['mosas-tisztitas', '', '""']";520036, Sepsiszentgy\xf6rgy, Cs\xedki u., 149/A\t
5;6;WALOR RO SRL;103 680 748;79 335 550;57 782 546;48 459 276;also-haromszek;6;['45.861235', ' 25.818515'];"['cnc-megmunkalas', '', '""']";520077, Sepsiszentgy\xf6rgy, \xc9p\xedt\xf5k u., 2\t
6;7;INT. TRANSPORTE POPOVICI SRL;90 116 479;84 628 196;78 718 754;69 701 435;also-haromszek;7;['45.816837', ' 25.824051'];"['arufuvarozas', 'nemzetkozi-aruszallitas', 'szallitas', 'aruszallitas', '', '""']";520076, , , Punct de lucru: \xcentre Ozun \xbai Chilieni DJ 103B\t
7;8;LUCIFER SRL;87 036 031;84 049 371;80 534 990;78 308 165;also-haromszek;8;['45.8561310', ' 25.8080850'];"['dohanyaru-nagykereskedes', 'elelmiszer-nagykereskedes', 'ital-nagykereskedes', 'kave-nagykereskedes', '', '""']";520077, Sepsiszentgy\xf6rgy, \xc9p\xedt\xf5k u., 2\t
8;9;ARCON SRL;83 022 166;110 394 138;124 968 490;120 246 976;also-haromszek;9;['45.868490 ', ' 25.789279 '];"['polisztiren-gyartas', '', '""']";520027, Sepsiszentgy\xf6rgy, K\xf5r\xf6si Csoma S\xe1ndor u., 32\t
9;10;HOPE SPED SRL;72 711 904;67 975 344;59 908 346;51 151 233;also-haromszek;10;['45.855076 ', ' 25.786644 '];"['szallitmanyozas', '', '""']";520033, Sepsiszentgy\xf6rgy, Cigaretta u., 57\t
