;0;Helyezés;Helyezés;Cégnév;Alkalmazottak száma 2018;Alkalmazottak száma 2017;Alkalmazottak száma 2016;region;nr;coords;kws;cms
0;1;2;READY GARMENT TECHNOLOGY ROMANIA SRL;990;730;1 005;1 199;also-haromszek;1;['45.8772830', ' 25.7994510'];"['mosas-tisztitas', '', '""']";520036, Sepsiszentgy\xf6rgy, Cs\xedki u., 149/A\t
1;2;1;VALKES SRL;621;788;886;1 007;also-haromszek;2;['45.855129 ', ' 25.806651 '];"['kabelek', '', '""']";"520077, Sepsiszentgy\xf6rgy, P&#259;i&#351; David hadnagy u., 9\t"
2;3;3;BERTIS SRL;541;571;528;441;also-haromszek;3;['45.858516 ', ' 25.808773 '];"['elelmiszer-nagykereskedes', '', '""']";520077, Sepsiszentgy\xf6rgy, Uzoni u., 6\t
3;4;4;FABRICA DE LAPTE BRASOV SA;422;391;380;324;also-haromszek;4;['46.0750630', ' 25.6087250'];"['tejfeldolgozas', '', '""']";525100, Bar\xf3t, V\xedz u., 109\t
4;5;5;COVALACT SA;401;389;380;357;also-haromszek;5;['45.869573 ', ' 25.800705 '];"['tejfeldolgozas', '', '""']";520036, Sepsiszentgy\xf6rgy, Oltmez\xf5 u., 1\t
5;6;7;GOSPODARIE COMUNALA SA;342;353;346;347;also-haromszek;6;['45.861233 ', ' 25.787765 '];"['viz--es-csatornaszolgaltato', 'vizellatas', 'vizgazdalkodas', 'vizhalozatok', '', '""']";520031, Sepsiszentgy\xf6rgy, B\xe1nki Don\xe1t u., 27\t
6;7;6;TEXTILA OLTUL SA;312;362;445;485;also-haromszek;7;['45.859699', ' 25.783597'];"['textilipar', 'agynemu', '', '""']";520055, Sepsiszentgy\xf6rgy, K\xf3s K\xe1roly u., 19\t
7;8;8;TEGA SA;259;257;265;291;also-haromszek;8;['45.858434 ', ' 25.791018 '];"['hulladekbegyujtes', '\\xfajrahasznosithato-anyagok', 'koztisztasag', '', '""']";520032, Sepsiszentgy\xf6rgy, \xc1g u., 1\t
8;9;9;DUNAPACK RAMBOX PRODIMPEX SRL;237;223;211;174;also-haromszek;9;['45.861235', ' 25.818515'];"['dobozforgalmazas', 'dobozgyartas', 'dobozok', '', '""']";520077, Sepsiszentgy\xf6rgy, \xc9p\xedt\xf5k u., 11\t
9;10;10;INT. TRANSPORTE POPOVICI SRL;235;222;228;219;also-haromszek;10;['45.816837', ' 25.824051'];"['arufuvarozas', 'nemzetkozi-aruszallitas', 'szallitas', 'aruszallitas', '', '""']";520076, , , Punct de lucru: \xcentre Ozun \xbai Chilieni DJ 103B\t
10;11;12;WALOR RO SRL;213;215;176;163;also-haromszek;11;['45.861235', ' 25.818515'];"['cnc-megmunkalas', '', '""']";520077, Sepsiszentgy\xf6rgy, \xc9p\xedt\xf5k u., 2\t
11;12;11;MADEXPORT SRL;211;216;213;195;also-haromszek;12;['45.8561800', ' 25.8080930'];"['kenyer-es-pekaru', 'cukrasztermekek', 'sutemenyek-es-tortak', 'peksegek', '', '""']";520077, Sepsiszentgy\xf6rgy, \xc9p\xedt\xf5k u., 7\t
12;13;13;AIRQUEE SRL;208;194;192;161;also-haromszek;13;['45.8632520', ' 25.8139480'];"['felf\\xfajhato-szerkezetek', '', '""']";520073, Sepsiszentgy\xf6rgy, Term\xe9s u., 3\t
13;14;15;ZAMBELLI METAL SRL;205;179;162;163;also-haromszek;14;['45.861235', ' 25.818515'];"['badogosmunkak', '', '""']";520077, Sepsiszentgy\xf6rgy, \xc9p\xedt\xf5k u., 2\t
14;15;14;LRO SRL;176;184;193;209;also-haromszek;15;['45.865990 ', ' 25.813441 '];"['nadraggyartas', 'nadragok', 'textilaru', 'textilipar', '', '""']";520072, Sepsiszentgy\xf6rgy, Rom\xe1n Hadsereg u., 56\t
15;16;16;CONSTRUCTII CONICO SRL;143;150;164;173;also-haromszek;16;['45.855129 ', ' 25.806651 '];"['epitkezes', '', '""']";"520077, Sepsiszentgy\xf6rgy, P&#259;i&#351; David hadnagy u., 13A\t"
16;17;18;CAPITALY TAXI SRL;140;129;104;97;also-haromszek;17;['45.8668550', ' 25.7994730'];"['taxi', 'szemelyszallitas', 'aruszallitas', 'kul--es-belfoldi-aruszallitas', 'kulfoldi-aruszallitas', '', '""']";520028, Sepsiszentgy\xf6rgy, Mikes Kelemen u., 39\t
17;18;17;ALEX & CO SA;138;143;144;174;also-haromszek;18;['45.773468 ', ' 25.804319 '];"['koporsok', 'koporsokeszites', '', '""']";527075, K\xf6k\xf6s, F\xf5 u., 34\t
18;19;27;MECENA SRL;136;94;20;3;also-haromszek;19;['45.8669710', ' 25.7953220'];"['szemelyszallitas', '', '""']";"520013, Sepsiszentgy\xf6rgy, B&#259;lan Grigore t\xe1bornok sgt., 6/42/C/1\t"
19;20;19;EX FOR SRL;120;127;131;124;also-haromszek;20;['46.077875 ', ' 25.573940 '];"['fafeldolgozas', '', '""']";525100, Bar\xf3t, Ipar u., 12\t
20;21;21;BERTIKRIS SRL;118;112;98;90;also-haromszek;21;['45.858516 ', ' 25.808773 '];"['h\\xfasfeldolgozas', 'h\\xfas-es-hentesaru', '', '""']";520077, Sepsiszentgy\xf6rgy, Uzoni u., 6\t
21;22;20;VALDEK IMPEX SRL;115;121;130;155;also-haromszek;22;['45.8659360', ' 25.7893400'];"['epitkezes', 'utak-es-hidak', '', '""']";520080, Sepsiszentgy\xf6rgy, 1918. December 1. u., 16/E/9\t
22;23;23;COMPACT SRL;112;102;96;85;also-haromszek;23;['45.867735', ' 25.797497 '];"['epitoanyag-lerakatok', '', '""']";520036, Sepsiszentgy\xf6rgy, Oltmez\xf5 u., 26-28\t
