year,temp_avg,temp_mean,temp_mean80,temp_delta,temp_delta80,varos,value
1931,8.3,8.7,0.3,-0.4,-1.6,AUREL VLAICU,1
1932,10.4,9.1,0.3,1.3,-4.2,AUREL VLAICU,1
1933,8.1,8.7,0.3,-0.6,-7.3,AUREL VLAICU,1
1934,12.7,12.1,2.9,0.6,-8.0,AUREL VLAICU,1
1935,12.6,12.1,2.9,0.6,-6.9,AUREL VLAICU,1
1936,13.0,12.1,2.9,1.0,1.1,AUREL VLAICU,1
1937,12.8,12.1,2.9,0.8,-7.3,AUREL VLAICU,1
1938,13.1,12.1,2.9,1.0,-6.6,AUREL VLAICU,1
1939,14.3,13.7,2.9,0.7,-2.1,AUREL VLAICU,1
1952,11.4,11.0,2.9,0.4,-1.3,AUREL VLAICU,1
1953,10.4,11.0,2.9,-0.7,-3.8,AUREL VLAICU,1
1954,9.5,11.0,2.9,-1.5,-10.3,AUREL VLAICU,1
1955,10.7,11.0,2.9,-0.4,-3.4,AUREL VLAICU,1
1956,9.4,11.0,2.9,-1.6,-2.7,AUREL VLAICU,1
1957,11.2,11.0,2.9,0.2,-4.8,AUREL VLAICU,1
1958,11.4,11.0,2.9,0.4,-3.6,AUREL VLAICU,1
1959,10.4,11.0,2.9,-0.6,-4.1,AUREL VLAICU,1
1960,11.8,11.1,2.9,0.7,-2.0,AUREL VLAICU,1
1961,11.5,11.1,2.9,0.4,-5.3,AUREL VLAICU,1
1962,11.1,11.1,2.9,0.0,-4.9,AUREL VLAICU,1
1963,10.5,11.1,2.9,-0.6,-11.1,AUREL VLAICU,1
1964,10.7,11.1,2.9,-0.4,-7.1,AUREL VLAICU,1
1965,10.6,11.1,2.9,-0.6,-2.6,AUREL VLAICU,1
1966,12.1,11.1,2.9,1.0,-4.7,AUREL VLAICU,1
1967,11.0,11.1,2.9,-0.2,-7.4,AUREL VLAICU,1
1973,10.3,11.2,2.9,-0.9,-5.6,AUREL VLAICU,1
1974,10.6,11.2,2.9,-0.6,-6.2,AUREL VLAICU,1
1975,11.4,11.2,2.9,0.2,-1.6,AUREL VLAICU,1
1976,10.0,11.2,2.9,-1.2,-2.2,AUREL VLAICU,1
1977,11.1,11.2,2.9,-0.1,-3.5,AUREL VLAICU,1
1978,10.0,11.2,2.9,-1.2,-4.2,AUREL VLAICU,1
1979,10.8,11.2,2.9,-0.4,-5.5,AUREL VLAICU,1
1980,9.7,11.2,2.9,-1.5,-7.4,AUREL VLAICU,1
1981,10.9,11.2,2.9,-0.4,-4.4,AUREL VLAICU,1
1982,10.7,11.2,2.9,-0.5,-4.4,AUREL VLAICU,1
1983,11.2,11.2,2.9,-0.0,-0.4,AUREL VLAICU,1
1984,10.6,11.2,2.9,-0.6,-1.3,AUREL VLAICU,1
1985,9.7,11.2,2.9,-1.5,-8.9,AUREL VLAICU,1
1986,10.9,11.2,2.9,-0.3,-1.5,AUREL VLAICU,1
1987,10.1,11.2,2.9,-1.1,-7.1,AUREL VLAICU,1
1988,10.6,11.2,2.9,-0.6,-1.5,AUREL VLAICU,1
1989,11.6,11.2,2.9,0.4,-2.7,AUREL VLAICU,1
1990,11.7,11.2,2.9,0.4,-6.5,AUREL VLAICU,1
1991,10.0,11.2,2.9,-1.2,-1.8,AUREL VLAICU,1
1992,11.0,11.2,2.9,-0.3,-4.3,AUREL VLAICU,1
1993,10.2,11.2,2.9,-1.0,-3.4,AUREL VLAICU,1
1994,12.4,11.2,2.9,1.1,0.2,AUREL VLAICU,1
1995,10.8,11.2,2.9,-0.5,-4.5,AUREL VLAICU,1
