,share,Unnamed: 0,LOC,COUNTRY,LAT,LON,ELEVATION,Dátum,Dátums,Mondás,Jelentés,DS,Dátum:mettől,Dátum:meddig,Kondíció,Érték,Periódus:mettől,Periódus:meddig,Mennyiség,Irány,W
0,39,2,MISKOLC,HUNGARY,48.083,20.767,236.0,2019-01-06,január 6.,A vízkereszti hó tartós hó.,"Ha ezen a dátumon havazik, akkor a következő hónapban az átlagosnál hidegebb idő várható.",jan. 6,2019-01-06,2019-01-06,Snow,+,2019-01-06,2019-02-06,Temp,-,0.2
0,43,5,SZOMBATHELY ARPT / VAS,HUNGARY,47.283,16.633,223.1,2019-01-06,január 6.,A vízkereszti hó tartós hó.,"Ha ezen a dátumon havazik, akkor a következő hónapban az átlagosnál hidegebb idő várható.",jan. 6,2019-01-06,2019-01-06,Snow,+,2019-01-06,2019-02-06,Temp,-,0.2
0,30,22,SZOLNOK,HUNGARY,47.12300000000001,20.236,98.1,2019-01-06,január 6.,A vízkereszti hó tartós hó.,"Ha ezen a dátumon havazik, akkor a következő hónapban az átlagosnál hidegebb idő várható.",jan. 6,2019-01-06,2019-01-06,Snow,+,2019-01-06,2019-02-06,Temp,-,0.2
0,25,28,DEBRECEN,HUNGARY,47.489,21.615,110.0,2019-01-06,január 6.,A vízkereszti hó tartós hó.,"Ha ezen a dátumon havazik, akkor a következő hónapban az átlagosnál hidegebb idő várható.",jan. 6,2019-01-06,2019-01-06,Snow,+,2019-01-06,2019-02-06,Temp,-,0.2
0,37,41,PECS SOUTH,HUNGARY,45.99100000000001,18.241,304.8,2019-01-06,január 6.,A vízkereszti hó tartós hó.,"Ha ezen a dátumon havazik, akkor a következő hónapban az átlagosnál hidegebb idő várható.",jan. 6,2019-01-06,2019-01-06,Snow,+,2019-01-06,2019-02-06,Temp,-,0.2
0,39,5,SATU MARE,ROMANIA,47.703,22.886,126.2,2019-01-06,január 6.,A vízkereszti hó tartós hó.,"Ha ezen a dátumon havazik, akkor a következő hónapban az átlagosnál hidegebb idő várható.",jan. 6,2019-01-06,2019-01-06,Snow,+,2019-01-06,2019-02-06,Temp,-,0.2
0,58,26,ORADEA,ROMANIA,47.025,21.903000000000002,141.7,2019-01-06,január 6.,A vízkereszti hó tartós hó.,"Ha ezen a dátumon havazik, akkor a következő hónapban az átlagosnál hidegebb idő várható.",jan. 6,2019-01-06,2019-01-06,Snow,+,2019-01-06,2019-02-06,Temp,-,0.2
0,43,41,CLUJ NAPOCA,ROMANIA,46.785,23.686,315.8,2019-01-06,január 6.,A vízkereszti hó tartós hó.,"Ha ezen a dátumon havazik, akkor a következő hónapban az átlagosnál hidegebb idő várható.",jan. 6,2019-01-06,2019-01-06,Snow,+,2019-01-06,2019-02-06,Temp,-,0.2
0,57,10,ARAD,ROMANIA,46.177,21.261999999999997,107.3,2019-01-06,január 6.,A vízkereszti hó tartós hó.,"Ha ezen a dátumon havazik, akkor a következő hónapban az átlagosnál hidegebb idő várható.",jan. 6,2019-01-06,2019-01-06,Snow,+,2019-01-06,2019-02-06,Temp,-,0.2
0,42,73,DEVA,ROMANIA,45.867,22.9,231.0,2019-01-06,január 6.,A vízkereszti hó tartós hó.,"Ha ezen a dátumon havazik, akkor a következő hónapban az átlagosnál hidegebb idő várható.",jan. 6,2019-01-06,2019-01-06,Snow,+,2019-01-06,2019-02-06,Temp,-,0.2
